condition,k,seed,shortest_steps,horizon,optimal_success_bound,threshold90_feasible
benign,2,0,12,48,1.0,True
benign,2,1,16,48,1.0,True
benign,2,2,16,48,1.0,True
benign,2,3,12,48,1.0,True
benign,2,4,16,48,1.0,True
benign,2,5,16,48,1.0,True
benign,2,6,12,48,1.0,True
benign,2,7,24,48,1.0,True
benign,4,0,32,96,1.0,True
benign,4,1,36,96,1.0,True
benign,4,2,40,96,1.0,True
benign,4,3,36,96,1.0,True
benign,4,4,32,96,1.0,True
benign,4,5,44,96,1.0,True
benign,4,6,32,96,1.0,True
benign,4,7,32,96,1.0,True
benign,6,0,44,144,1.0,True
benign,6,1,56,144,1.0,True
benign,6,2,64,144,1.0,True
benign,6,3,48,144,1.0,True
benign,6,4,60,144,1.0,True
benign,6,5,64,144,1.0,True
benign,6,6,44,144,1.0,True
benign,6,7,52,144,1.0,True
benign,8,0,60,192,1.0,True
benign,8,1,84,192,1.0,True
benign,8,2,76,192,1.0,True
benign,8,3,64,192,1.0,True
benign,8,4,68,192,1.0,True
benign,8,5,80,192,1.0,True
benign,8,6,52,192,1.0,True
benign,8,7,68,192,1.0,True
