condition,k,baseline,variant,n,cost_delta,delta_low,delta_high,cost_ratio,ratio_low,ratio_high,auc_delta,auc_delta_low,auc_delta_high,wins,ties,losses
benign,2,count,flat,8,194375.0,193125.0,195000.0,35.55555555555556,29.09090909090909,40.0,-0.984375,-0.9875,-0.9781250000000001,0,0,8
benign,4,count,flat,8,188750.0,186875.0,190000.0,17.77777777777778,15.238095238095237,20.0,-0.95625,-0.9625,-0.946875,0,0,8
benign,6,count,flat,8,183125.0,179375.0,186250.0,11.851851851851851,9.696969696969697,14.545454545454545,-0.928125,-0.9437500000000001,-0.909375,0,0,8
benign,8,count,flat,8,180000.0,177500.0,182500.0,10.0,8.88888888888889,11.428571428571429,-0.9125,-0.925,-0.8999999999999999,0,0,8
benign,2,count,discovered,8,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,8,0
benign,4,count,discovered,8,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,8,0
benign,6,count,discovered,8,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,8,0
benign,8,count,discovered,8,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,8,0
benign,2,count,oracle_state,8,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,8,0
benign,4,count,oracle_state,8,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,8,0
benign,6,count,oracle_state,8,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,8,0
benign,8,count,oracle_state,8,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,8,0
benign,2,count,progressive,8,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,8,0
benign,4,count,progressive,8,0.0,-1875.0,1875.0,1.0,0.85,1.1764705882352942,0.0,-0.009375000000000008,0.009375000000000008,1,6,1
benign,6,count,progressive,8,0.0,-1875.0,1875.0,1.0,0.90625,1.125,0.0,-0.009375000000000008,0.009375000000000008,1,6,1
benign,8,count,progressive,8,0.0,-1875.0,1875.0,1.0,0.9142857142857143,1.103448275862069,0.0,-0.009375000000000008,0.009375000000000008,1,6,1
benign,2,count,count_frontier,8,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,8,0
benign,4,count,count_frontier,8,0.0,-1875.0,1875.0,1.0,0.85,1.1764705882352942,0.0,-0.009375000000000008,0.009375000000000008,1,6,1
benign,6,count,count_frontier,8,0.0,-1875.0,1875.0,1.0,0.90625,1.125,0.0,-0.009375000000000008,0.009375000000000008,1,6,1
benign,8,count,count_frontier,8,0.0,-1875.0,1875.0,1.0,0.9142857142857143,1.103448275862069,0.0,-0.009375000000000008,0.009375000000000008,1,6,1
benign,2,count,learned_qrm,8,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,8,0
benign,4,count,learned_qrm,8,-3125.0,-4375.0,-1250.0,0.7222222222222222,0.5882352941176471,0.8823529411764706,0.015625000000000014,0.0062500000000000056,0.02187500000000002,5,3,0
benign,6,count,learned_qrm,8,-7500.0,-10625.0,-4375.0,0.5555555555555556,0.48,0.6666666666666666,0.03750000000000003,0.02187500000000002,0.05312500000000005,7,1,0
benign,8,count,learned_qrm,8,-9375.0,-11250.0,-7500.0,0.53125,0.47058823529411764,0.5925925925925926,0.04687500000000004,0.03750000000000003,0.05625000000000005,8,0,0
benign,2,count,progressive_qrm,8,1250.0,0.0,3125.0,1.2222222222222223,1.0,1.5555555555555556,-0.0062500000000000056,-0.015625000000000014,0.0,0,6,2
benign,4,count,progressive_qrm,8,-1875.0,-3750.0,-625.0,0.8333333333333334,0.7,0.9411764705882353,0.009375000000000008,0.0031250000000000028,0.018750000000000017,3,5,0
benign,6,count,progressive_qrm,8,-5625.0,-8125.0,-3125.0,0.6666666666666666,0.5757575757575758,0.782608695652174,0.028125000000000025,0.015625000000000014,0.040625000000000036,6,2,0
benign,8,count,progressive_qrm,8,-9375.0,-11250.0,-7500.0,0.53125,0.47058823529411764,0.5925925925925926,0.04687500000000004,0.03750000000000003,0.05625000000000005,8,0,0
benign,2,count,oracle_qrm,8,-625.0,-1875.0,0.0,0.8888888888888888,0.7272727272727273,1.0,0.0031250000000000028,0.0,0.009375000000000008,1,7,0
benign,4,count,oracle_qrm,8,-6250.0,-8125.0,-5000.0,0.4444444444444444,0.38095238095238093,0.5,0.03125000000000003,0.025000000000000022,0.040625000000000036,8,0,0
benign,6,count,oracle_qrm,8,-11250.0,-13750.0,-8125.0,0.3333333333333333,0.27586206896551724,0.4,0.05625000000000005,0.040625000000000036,0.06875000000000006,8,0,0
benign,8,count,oracle_qrm,8,-13750.0,-16250.0,-11250.0,0.3125,0.25,0.3870967741935484,0.06875000000000006,0.05625000000000005,0.08125000000000007,8,0,0
