condition,variant,k,n,mean_capped_first90,ci_low,ci_high,median_capped_first90,solved,stable_solved,mean_capped_stable90,auc,final_success,final90,updates_per_step
benign,flat,2,8,200000.0,200000.0,200000.0,200000.0,0,0,200000.0,0.0,0.0,0,1.0
benign,flat,4,8,200000.0,200000.0,200000.0,200000.0,0,0,200000.0,0.0,0.0,0,1.0
benign,flat,6,8,200000.0,200000.0,200000.0,200000.0,0,0,200000.0,0.0,0.0,0,1.0
benign,flat,8,8,200000.0,200000.0,200000.0,200000.0,0,0,200000.0,0.0,0.0,0,1.0
benign,count,2,8,5625.0,5000.0,6875.0,5000.0,8,8,5625.0,0.984375,1.0,8,1.0
benign,count,4,8,11250.0,10000.0,13125.0,10000.0,8,8,11250.0,0.95625,1.0,8,1.0
benign,count,6,8,16875.0,13750.0,20000.0,17500.0,8,8,16875.0,0.928125,1.0,8,1.0
benign,count,8,8,20000.0,17500.0,22500.0,20000.0,8,8,20000.0,0.9125,1.0,8,1.0
benign,discovered,2,8,5625.0,5000.0,6875.0,5000.0,8,8,5625.0,0.984375,1.0,8,1.0
benign,discovered,4,8,11250.0,10000.0,13125.0,10000.0,8,8,11250.0,0.95625,1.0,8,1.0
benign,discovered,6,8,16875.0,13750.0,20000.0,17500.0,8,8,16875.0,0.928125,1.0,8,1.0
benign,discovered,8,8,20000.0,17500.0,22500.0,20000.0,8,8,20000.0,0.9125,1.0,8,1.0
benign,oracle_state,2,8,5625.0,5000.0,6875.0,5000.0,8,8,5625.0,0.984375,1.0,8,1.0
benign,oracle_state,4,8,11250.0,10000.0,13125.0,10000.0,8,8,11250.0,0.95625,1.0,8,1.0
benign,oracle_state,6,8,16875.0,13750.0,20000.0,17500.0,8,8,16875.0,0.928125,1.0,8,1.0
benign,oracle_state,8,8,20000.0,17500.0,22500.0,20000.0,8,8,20000.0,0.9125,1.0,8,1.0
benign,progressive,2,8,5625.0,5000.0,6875.0,5000.0,8,8,5625.0,0.984375,1.0,8,1.0
benign,progressive,4,8,11250.0,10000.0,13125.0,10000.0,8,8,11250.0,0.95625,1.0,8,1.0
benign,progressive,6,8,16875.0,14375.0,19375.0,17500.0,8,8,16875.0,0.9281250000000001,1.0,8,1.0
benign,progressive,8,8,20000.0,18125.0,21875.0,20000.0,8,8,20000.0,0.9125,1.0,8,1.0
benign,count_frontier,2,8,5625.0,5000.0,6875.0,5000.0,8,8,5625.0,0.984375,1.0,8,1.0
benign,count_frontier,4,8,11250.0,10000.0,13125.0,10000.0,8,8,11250.0,0.95625,1.0,8,1.0
benign,count_frontier,6,8,16875.0,14375.0,19375.0,17500.0,8,8,16875.0,0.9281250000000001,1.0,8,1.0
benign,count_frontier,8,8,20000.0,18125.0,21875.0,20000.0,8,8,20000.0,0.9125,1.0,8,1.0
benign,learned_qrm,2,8,5625.0,5000.0,6875.0,5000.0,8,8,5625.0,0.984375,1.0,8,1.996153125
benign,learned_qrm,4,8,8125.0,6250.0,9375.0,10000.0,8,8,8125.0,0.971875,1.0,8,3.9731425
benign,learned_qrm,6,8,9375.0,8125.0,10000.0,10000.0,8,8,9375.0,0.965625,1.0,8,5.94481
benign,learned_qrm,8,8,10625.0,10000.0,11875.0,10000.0,8,8,10625.0,0.9593750000000001,1.0,8,7.9120437500000005
benign,progressive_qrm,2,8,6875.0,5625.0,8750.0,5000.0,8,8,6875.0,0.9781250000000001,1.0,8,1.9956506250000001
benign,progressive_qrm,4,8,9375.0,8125.0,10000.0,10000.0,8,8,9375.0,0.965625,1.0,8,3.9670493749999998
benign,progressive_qrm,6,8,11250.0,10000.0,13125.0,10000.0,8,8,11250.0,0.95625,1.0,8,5.933415625
benign,progressive_qrm,8,8,10625.0,10000.0,11875.0,10000.0,8,8,10625.0,0.9593750000000001,1.0,8,7.896715625000001
benign,oracle_qrm,2,8,5000.0,5000.0,5000.0,5000.0,8,8,5000.0,0.9875,1.0,8,2.0
benign,oracle_qrm,4,8,5000.0,5000.0,5000.0,5000.0,8,8,5000.0,0.9875,1.0,8,4.0
benign,oracle_qrm,6,8,5625.0,5000.0,6875.0,5000.0,8,8,5625.0,0.984375,1.0,8,6.0
benign,oracle_qrm,8,8,6250.0,5000.0,8125.0,5000.0,8,8,6250.0,0.9812500000000001,1.0,8,8.0
