condition,variant,k,n,mean_capped_first90,ci_low,ci_high,median_capped_first90,solved,stable_solved,mean_capped_stable90,auc,final_success,final90,updates_per_step
benign,count_e0.05,4,12,8000.0,6833.333333333333,9250.0,8000.0,12,12,8000.0,0.8750000000000834,1.0,12,1.0
benign,count_e0.05,8,12,15750.0,13916.666666666666,17500.0,16500.0,12,12,15916.666666666666,0.7444444444443333,1.0,12,1.0
benign,count_e0.2,4,12,8416.666666666666,7250.0,9583.333333333334,8000.0,12,12,8416.666666666666,0.8680555555555833,1.0,12,1.0
benign,count_e0.2,8,12,16666.666666666668,14416.666666666666,18750.0,17000.0,12,12,17333.333333333332,0.7236111111110001,1.0,12,1.0
benign,count_e0.5,4,12,11250.0,9000.0,13666.666666666666,10500.0,12,12,11750.0,0.8138888888888333,1.0,12,1.0
benign,count_e0.5,8,12,24500.0,20166.666666666668,29666.666666666668,23000.0,12,12,25250.0,0.5916666666665833,1.0,12,1.0
benign,learned_qrm_e0.05,4,12,5166.666666666667,4500.0,5750.0,5000.0,12,12,5166.666666666667,0.92222222222225,1.0,12,3.932286111111111
benign,learned_qrm_e0.05,8,12,7333.333333333333,6666.666666666667,7916.666666666667,8000.0,12,12,7333.333333333333,0.8861111111111667,1.0,12,7.748070833333334
benign,learned_qrm_e0.2,4,12,5250.0,4500.0,6000.0,5000.0,12,12,5250.0,0.9208333333333334,1.0,12,3.9223083333333335
benign,learned_qrm_e0.2,8,12,7750.0,6750.0,8750.0,7500.0,12,12,7750.0,0.8791666666668333,1.0,12,7.731461111111112
benign,learned_qrm_e0.5,4,12,6416.666666666667,5333.333333333333,7500.0,6000.0,12,12,6583.333333333333,0.9,1.0,12,3.888138888888889
benign,learned_qrm_e0.5,8,12,10333.333333333334,8916.666666666666,11833.333333333334,10000.0,12,12,10333.333333333334,0.8361111111110833,1.0,12,7.588479166666667
benign,progressive_h0.2,4,12,8166.666666666667,7083.333333333333,9166.666666666666,8500.0,12,12,8166.666666666667,0.8722222222221667,1.0,12,1.0
benign,progressive_h0.2,8,12,15583.333333333334,13666.666666666666,17416.666666666668,16000.0,12,12,15583.333333333334,0.7486111111111667,1.0,12,1.0
benign,progressive_h0.5,4,12,8416.666666666666,7250.0,9583.333333333334,8500.0,12,12,8583.333333333334,0.8666666666665832,1.0,12,1.0
benign,progressive_h0.5,8,12,16583.333333333332,14916.666666666666,18333.333333333332,16500.0,12,12,16750.0,0.7305555555556666,1.0,12,1.0
benign,progressive_h0.8,4,12,11000.0,9416.666666666666,12500.0,11000.0,12,12,11000.0,0.8249999999999167,1.0,12,1.0
benign,progressive_h0.8,8,12,19583.333333333332,16833.333333333332,22333.333333333332,19000.0,12,12,19916.666666666668,0.6791666666666667,1.0,12,1.0
benign,progressive_low0,4,12,8250.0,7166.666666666667,9250.0,8500.0,12,12,8250.0,0.87083333333325,1.0,12,1.0
benign,progressive_low0,8,12,15833.333333333334,13916.666666666666,17750.0,16000.0,12,12,16166.666666666666,0.7416666666667501,1.0,12,1.0
benign,progressive_fastgate,4,12,8500.0,7333.333333333333,9750.0,8500.0,12,12,8500.0,0.8666666666665832,1.0,12,1.0
benign,progressive_fastgate,8,12,16416.666666666668,14583.333333333334,18250.0,16500.0,12,12,16416.666666666668,0.7347222222223334,1.0,12,1.0
benign,progressive_qrm_h0.2,4,12,5333.333333333333,4666.666666666667,6000.0,5500.0,12,12,5333.333333333333,0.9194444444444168,1.0,12,3.925454166666667
benign,progressive_qrm_h0.2,8,12,7416.666666666667,6583.333333333333,8083.333333333333,8000.0,12,12,7416.666666666667,0.8847222222222499,1.0,12,7.731933333333333
benign,progressive_qrm_h0.5,4,12,6250.0,5250.0,7250.0,6500.0,12,12,6250.0,0.9041666666666668,1.0,12,3.9036458333333335
benign,progressive_qrm_h0.5,8,12,8166.666666666667,7333.333333333333,9000.0,8000.0,12,12,8166.666666666667,0.8722222222222499,1.0,12,7.674893055555557
benign,progressive_qrm_h0.8,4,12,8000.0,6500.0,9500.0,9000.0,12,12,8000.0,0.8749999999998334,1.0,12,3.8534597222222224
benign,progressive_qrm_h0.8,8,12,11083.333333333334,9750.0,12583.333333333334,11000.0,12,12,11083.333333333334,0.8236111111111666,1.0,12,7.51152638888889
benign,progressive_qrm_low0,4,12,5666.666666666667,4750.0,6500.0,6000.0,12,12,5666.666666666667,0.9138888888887501,1.0,12,3.9081513888888892
benign,progressive_qrm_low0,8,12,8166.666666666667,7333.333333333333,9000.0,8000.0,12,12,8166.666666666667,0.8722222222221666,1.0,12,7.6683111111111115
benign,progressive_qrm_fastgate,4,12,5916.666666666667,4833.333333333333,7000.0,6000.0,12,12,5916.666666666667,0.9097222222220833,1.0,12,3.907073611111111
benign,progressive_qrm_fastgate,8,12,8000.0,7166.666666666667,8833.333333333334,8000.0,12,12,8000.0,0.8750000000001666,1.0,12,7.6614194444444434
benign,oracle_qrm,4,12,3666.6666666666665,3083.3333333333335,4250.0,4000.0,12,12,3666.6666666666665,0.9472222222222499,1.0,12,4.0
benign,oracle_qrm,8,12,4500.0,4000.0,5000.0,4500.0,12,12,4500.0,0.9333333333333335,1.0,12,8.0
tight,count_e0.05,4,12,10500.0,7833.333333333333,13500.0,9500.0,12,12,10500.0,0.8333333333331665,1.0,12,1.0
tight,count_e0.05,8,12,20250.0,16166.666666666666,25333.333333333332,19500.0,12,12,20250.0,0.6708333333334168,1.0,12,1.0
tight,count_e0.2,4,12,15000.0,9750.0,21750.0,12500.0,12,12,15000.0,0.7583333333333333,1.0,12,1.0
tight,count_e0.2,8,12,27750.0,19581.25,37500.0,23500.0,10,10,28166.666666666668,0.54027777777775,0.8333333333333334,10,1.0
tight,count_e0.5,4,12,39916.666666666664,27666.666666666668,51170.83333333327,45500.0,7,6,42583.333333333336,0.2958333333333583,0.5,6,1.0
tight,count_e0.5,8,12,54916.666666666664,47250.0,60000.0,60000.0,3,2,55000.0,0.08611111111114167,0.16666666666666666,2,1.0
tight,learned_qrm_e0.05,4,12,7666.666666666667,6000.0,9333.333333333334,7500.0,12,12,7833.333333333333,0.8791666666666668,1.0,12,3.8667013888888895
tight,learned_qrm_e0.05,8,12,11083.333333333334,8833.333333333334,13583.333333333334,10000.0,12,12,11666.666666666666,0.8152777777778334,1.0,12,7.5172375
tight,learned_qrm_e0.2,4,12,13083.333333333334,7583.333333333333,20666.666666666668,9500.0,12,12,13083.333333333334,0.7902777777778334,1.0,12,3.7886458333333337
tight,learned_qrm_e0.2,8,12,17333.333333333332,12083.333333333334,23416.666666666668,15000.0,12,12,17333.333333333332,0.7194444444444167,1.0,12,7.337194444444445
tight,learned_qrm_e0.5,4,12,31666.666666666668,18833.333333333332,44752.08333333331,24500.0,9,9,35666.666666666664,0.3923611111110583,0.75,9,3.324819444444444
tight,learned_qrm_e0.5,8,12,47583.333333333336,37000.0,56833.333333333336,60000.0,4,4,47583.333333333336,0.1638888888889167,0.3333333333333333,4,5.80515
tight,progressive_h0.2,4,12,9916.666666666666,7583.333333333333,12500.0,10000.0,12,12,10083.333333333334,0.8416666666667498,1.0,12,1.0
tight,progressive_h0.2,8,12,19750.0,15750.0,24500.0,19500.0,12,12,20666.666666666668,0.6680555555555,1.0,12,1.0
tight,progressive_h0.5,4,12,11833.333333333334,8583.333333333334,15916.666666666666,10500.0,12,12,12000.0,0.8083333333333332,1.0,12,1.0
tight,progressive_h0.5,8,12,22000.0,17500.0,27666.666666666668,21500.0,12,12,22666.666666666668,0.6361111111112501,1.0,12,1.0
tight,progressive_h0.8,4,12,40416.666666666664,28081.25,52166.666666666664,50000.0,7,6,41583.333333333336,0.27291666666655834,0.4166666666666667,5,1.0
tight,progressive_h0.8,8,12,39333.333333333336,29331.25,49500.0,33000.0,9,8,39333.333333333336,0.3222222222222525,0.6666666666666666,8,1.0
tight,progressive_low0,4,12,11666.666666666666,8500.0,15750.0,10500.0,12,12,11833.333333333334,0.8125,1.0,12,1.0
tight,progressive_low0,8,12,20583.333333333332,16833.333333333332,24916.666666666668,19500.0,12,12,20750.0,0.6638888888888332,1.0,12,1.0
tight,progressive_fastgate,4,12,11833.333333333334,8583.333333333334,15916.666666666666,10500.0,12,12,12000.0,0.8083333333333332,1.0,12,1.0
tight,progressive_fastgate,8,12,23333.333333333332,17583.333333333332,31333.333333333332,20000.0,11,11,23583.333333333332,0.6159722222221666,0.9166666666666666,11,1.0
tight,progressive_qrm_h0.2,4,12,7666.666666666667,6000.0,9333.333333333334,8000.0,12,12,7666.666666666667,0.8805555555555834,1.0,12,3.8693569444444447
tight,progressive_qrm_h0.2,8,12,13000.0,10250.0,16333.333333333334,13000.0,12,12,13000.0,0.7916666666665835,1.0,12,7.4633916666666655
tight,progressive_qrm_h0.5,4,12,9666.666666666666,7000.0,12583.333333333334,8000.0,12,12,9666.666666666666,0.8472222222223333,1.0,12,3.8235638888888883
tight,progressive_qrm_h0.5,8,12,15666.666666666666,12250.0,19500.0,15500.0,12,12,15833.333333333334,0.7458333333332501,1.0,12,7.331701388888889
tight,progressive_qrm_h0.8,4,12,40416.666666666664,28000.0,52083.333333333336,49500.0,7,7,40583.333333333336,0.32847222222225,0.5833333333333334,7,3.0372125000000003
tight,progressive_qrm_h0.8,8,12,33500.0,23164.583333333336,44252.08333333331,29000.0,10,10,33833.333333333336,0.44305555555555837,0.8333333333333334,10,6.488381944444445
tight,progressive_qrm_low0,4,12,9833.333333333334,6664.583333333334,13750.0,8000.0,12,12,10250.0,0.8069444444445001,1.0,12,3.814427777777777
