condition,k,seed,shortest_steps,horizon,optimal_success_bound,threshold90_feasible
benign,4,0,32,96,1.0,True
benign,4,1,36,96,1.0,True
benign,4,2,40,96,1.0,True
benign,4,3,36,96,1.0,True
benign,4,4,32,96,1.0,True
benign,4,5,44,96,1.0,True
benign,4,6,32,96,1.0,True
benign,4,7,32,96,1.0,True
benign,4,8,24,96,1.0,True
benign,4,9,24,96,1.0,True
benign,4,10,28,96,1.0,True
benign,4,11,36,96,1.0,True
benign,8,0,60,192,1.0,True
benign,8,1,84,192,1.0,True
benign,8,2,76,192,1.0,True
benign,8,3,64,192,1.0,True
benign,8,4,68,192,1.0,True
benign,8,5,80,192,1.0,True
benign,8,6,52,192,1.0,True
benign,8,7,68,192,1.0,True
benign,8,8,52,192,1.0,True
benign,8,9,48,192,1.0,True
benign,8,10,56,192,1.0,True
benign,8,11,68,192,1.0,True
tight,4,0,32,48,1.0,True
tight,4,1,36,48,1.0,True
tight,4,2,40,48,1.0,True
tight,4,3,36,48,1.0,True
tight,4,4,32,48,1.0,True
tight,4,5,44,48,1.0,True
tight,4,6,32,48,1.0,True
tight,4,7,32,48,1.0,True
tight,4,8,24,48,1.0,True
tight,4,9,24,48,1.0,True
tight,4,10,28,48,1.0,True
tight,4,11,36,48,1.0,True
tight,8,0,60,96,1.0,True
tight,8,1,84,96,1.0,True
tight,8,2,76,96,1.0,True
tight,8,3,64,96,1.0,True
tight,8,4,68,96,1.0,True
tight,8,5,80,96,1.0,True
tight,8,6,52,96,1.0,True
tight,8,7,68,96,1.0,True
tight,8,8,52,96,1.0,True
tight,8,9,48,96,1.0,True
tight,8,10,56,96,1.0,True
tight,8,11,68,96,1.0,True
noisy_tight,4,0,32,48,0.9884408053377872,True
noisy_tight,4,1,36,48,0.9397195252615975,True
noisy_tight,4,2,40,48,0.65945816144597,False
noisy_tight,4,3,36,48,0.9396747226866943,True
noisy_tight,4,4,32,48,0.9832377074895875,True
noisy_tight,4,5,44,48,0.27534713243774983,False
noisy_tight,4,6,32,48,0.991264881742554,True
noisy_tight,4,7,32,48,0.9911504893713055,True
noisy_tight,4,8,24,48,0.9999270321086778,True
noisy_tight,4,9,24,48,0.9999583535673899,True
noisy_tight,4,10,28,48,0.999221546943168,True
noisy_tight,4,11,36,48,0.9397195252615975,True
noisy_tight,8,0,60,96,0.9999321410095938,True
noisy_tight,8,1,84,96,0.4010346491865687,False
noisy_tight,8,2,76,96,0.8850838612577949,False
noisy_tight,8,3,64,96,0.9991495377981952,True
noisy_tight,8,4,68,96,0.9937543701060312,True
noisy_tight,8,5,80,96,0.7358810435993596,False
noisy_tight,8,6,52,96,0.9999993833974283,True
noisy_tight,8,7,68,96,0.9946414370552634,True
noisy_tight,8,8,52,96,0.9999983704818606,True
noisy_tight,8,9,48,96,0.9999999668243484,True
noisy_tight,8,10,56,96,0.9999847287137644,True
noisy_tight,8,11,68,96,0.9955556534018886,True
