condition,k,baseline,variant,n,cost_delta,delta_low,delta_high,cost_ratio,ratio_low,ratio_high,auc_delta,auc_delta_low,auc_delta_high,wins,ties,losses
benign,4,count,progressive,12,166.66666666666666,-416.6666666666667,666.6666666666666,1.0208333333333335,0.9560366624525917,1.0833333333333333,-0.0027777777779166755,-0.011111111111333338,0.006944444444249974,2,5,5
benign,8,count,progressive,12,-166.66666666666666,-583.3333333333334,250.0,0.9894179894179894,0.964642729065806,1.0151534379326257,0.004166666666833342,-0.0027777777776666532,0.011111111111333338,4,6,2
benign,4,count,learned_qrm,12,-2833.3333333333335,-3750.0,-2083.3333333333335,0.6458333333333334,0.5894689849624061,0.7127659574468085,0.04722222222216669,0.03472222222200002,0.06249999999983336,12,0,0
benign,8,count,learned_qrm,12,-8416.666666666666,-9835.416666666666,-7000.0,0.4656084656084656,0.42583495191624426,0.5081989855991305,0.14166666666683336,0.1180555555557479,0.16527777777799998,12,0,0
benign,4,count,option_count,12,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,12,0
benign,8,count,option_count,12,-83.33333333333333,-250.0,0.0,0.9947089947089947,0.9836065573770492,1.0,0.0013888888889166673,0.0,0.004166666666750002,1,11,0
benign,4,count,option_progressive,12,166.66666666666666,-416.6666666666667,666.6666666666666,1.0208333333333335,0.9560366624525917,1.0833333333333333,-0.0027777777779166755,-0.011111111111333338,0.006944444444249974,2,5,5
benign,8,count,option_progressive,12,0.0,-416.6666666666667,416.6666666666667,1.0,0.9743589743589745,1.0259067357512952,0.001388888889000008,-0.005555555555583329,0.008333333333500004,3,6,3
benign,4,count,option_qrm,12,-2833.3333333333335,-3750.0,-2083.3333333333335,0.6458333333333334,0.5894689849624061,0.7127659574468085,0.04722222222216669,0.03472222222200002,0.06249999999983336,12,0,0
benign,8,count,option_qrm,12,-8750.0,-10166.666666666666,-7250.0,0.4444444444444444,0.4065420560747664,0.4878085512782839,0.14722222222233336,0.12222222222241667,0.1708333333335,12,0,0
