condition,variant,k,n,mean_capped_first90,ci_low,ci_high,median_capped_first90,solved,stable_solved,mean_capped_stable90,auc,final_success,final90,updates_per_step
benign,count,4,12,8000.0,6833.333333333333,9250.0,8000.0,12,12,8000.0,0.8750000000000834,1.0,12,1.0
benign,count,8,12,15750.0,13916.666666666666,17500.0,16500.0,12,12,15916.666666666666,0.7444444444443333,1.0,12,1.0
benign,progressive,4,12,8166.666666666667,7083.333333333333,9166.666666666666,8500.0,12,12,8166.666666666667,0.8722222222221667,1.0,12,1.0
benign,progressive,8,12,15583.333333333334,13666.666666666666,17416.666666666668,16000.0,12,12,15583.333333333334,0.7486111111111667,1.0,12,1.0
benign,learned_qrm,4,12,5166.666666666667,4500.0,5750.0,5000.0,12,12,5166.666666666667,0.92222222222225,1.0,12,3.932286111111111
benign,learned_qrm,8,12,7333.333333333333,6666.666666666667,7916.666666666667,8000.0,12,12,7333.333333333333,0.8861111111111667,1.0,12,7.748070833333334
benign,option_count,4,12,8000.0,6833.333333333333,9250.0,8000.0,12,12,8000.0,0.8750000000000834,1.0,12,1.0
benign,option_count,8,12,15666.666666666666,13833.333333333334,17416.666666666668,16000.0,12,12,15833.333333333334,0.74583333333325,1.0,12,1.0
benign,option_progressive,4,12,8166.666666666667,7083.333333333333,9166.666666666666,8500.0,12,12,8166.666666666667,0.8722222222221667,1.0,12,1.0
benign,option_progressive,8,12,15750.0,13833.333333333334,17583.333333333332,16000.0,12,12,15750.0,0.7458333333333335,1.0,12,1.0
benign,option_qrm,4,12,5166.666666666667,4500.0,5750.0,5000.0,12,12,5166.666666666667,0.92222222222225,1.0,12,3.932198611111111
benign,option_qrm,8,12,7000.0,6333.333333333333,7583.333333333333,7500.0,12,12,7000.0,0.8916666666666666,1.0,12,7.756991666666667
benign,option_progressive_qrm,4,12,5416.666666666667,4666.666666666667,6166.666666666667,5500.0,12,12,5416.666666666667,0.9180555555555001,1.0,12,3.924951388888889
benign,option_progressive_qrm,8,12,7583.333333333333,6666.666666666667,8333.333333333334,8000.0,12,12,7583.333333333333,0.8819444444445,1.0,12,7.728177777777778
benign,goal_reuse,4,12,3833.3333333333335,3166.6666666666665,4416.666666666667,4000.0,12,12,3833.3333333333335,0.9444444444445,1.0,12,9.0
benign,goal_reuse,8,12,4583.333333333333,4166.666666666667,5000.0,5000.0,12,12,4583.333333333333,0.9319444444445001,1.0,12,9.0
benign,progressive_goal,4,12,3750.0,3250.0,4250.0,4000.0,12,12,3750.0,0.9458333333333333,1.0,12,9.0
benign,progressive_goal,8,12,4750.0,4083.3333333333335,5416.666666666667,5000.0,12,12,4916.666666666667,0.9277777777777501,1.0,12,9.0
benign,oracle_goal,4,12,3333.3333333333335,2916.6666666666665,3750.0,3500.0,12,12,3333.3333333333335,0.9527777777778333,1.0,12,9.0
benign,oracle_goal,8,12,4250.0,3750.0,4750.0,4000.0,12,12,4250.0,0.9375000000000001,1.0,12,9.0
benign,count_replay,4,12,3000.0,2583.3333333333335,3416.6666666666665,3000.0,12,12,3000.0,0.9583333333332499,1.0,12,9.0
benign,count_replay,8,12,5166.666666666667,4416.666666666667,6000.0,5000.0,12,12,5166.666666666667,0.9222222222221669,1.0,12,9.0
benign,option_replay,4,12,3000.0,2583.3333333333335,3416.6666666666665,3000.0,12,12,3000.0,0.9583333333332499,1.0,12,9.0
benign,option_replay,8,12,5166.666666666667,4416.666666666667,6000.0,5000.0,12,12,5166.666666666667,0.9222222222221669,1.0,12,9.0
benign,count_a0.1,4,12,14750.0,12000.0,17500.0,14000.0,12,12,14916.666666666666,0.76111111111125,1.0,12,1.0
benign,count_a0.1,8,12,28750.0,24250.0,33500.0,27500.0,12,12,29583.333333333332,0.5208333333335,1.0,12,1.0
benign,learned_qrm_a0.1,4,12,9750.0,8250.0,11166.666666666666,10000.0,12,12,9750.0,0.8458333333333332,1.0,12,3.9025180555555554
benign,learned_qrm_a0.1,8,12,12750.0,10750.0,14666.666666666666,12500.0,12,12,13166.666666666666,0.7902777777776667,1.0,12,7.637047222222223
benign,goal_reuse_a0.1,4,12,7666.666666666667,6333.333333333333,8916.666666666666,8500.0,12,12,7833.333333333333,0.8791666666666665,1.0,12,9.0
benign,goal_reuse_a0.1,8,12,10000.0,8333.333333333334,11585.416666666637,11000.0,12,12,10166.666666666666,0.8402777777776665,1.0,12,9.0
benign,count_replay_a0.1,4,12,4333.333333333333,3583.3333333333335,5085.416666666636,4000.0,12,12,4333.333333333333,0.9361111111111667,1.0,12,9.0
benign,count_replay_a0.1,8,12,9500.0,8083.333333333333,10916.666666666666,10000.0,12,12,9500.0,0.8500000000000001,1.0,12,9.0
benign,option_replay_a0.1,4,12,4333.333333333333,3583.3333333333335,5085.416666666636,4000.0,12,12,4333.333333333333,0.9361111111111667,1.0,12,9.0
benign,option_replay_a0.1,8,12,9666.666666666666,8166.666666666667,11250.0,10000.0,12,12,9666.666666666666,0.8472222222221668,1.0,12,9.0
tight,count,4,12,10500.0,7833.333333333333,13500.0,9500.0,12,12,10500.0,0.8333333333331665,1.0,12,1.0
tight,count,8,12,20250.0,16166.666666666666,25333.333333333332,19500.0,12,12,20250.0,0.6708333333334168,1.0,12,1.0
tight,progressive,4,12,9916.666666666666,7583.333333333333,12500.0,10000.0,12,12,10083.333333333334,0.8416666666667498,1.0,12,1.0
tight,progressive,8,12,19750.0,15750.0,24500.0,19500.0,12,12,20666.666666666668,0.6680555555555,1.0,12,1.0
tight,learned_qrm,4,12,7666.666666666667,6000.0,9333.333333333334,7500.0,12,12,7833.333333333333,0.8791666666666668,1.0,12,3.8667013888888895
tight,learned_qrm,8,12,11083.333333333334,8833.333333333334,13583.333333333334,10000.0,12,12,11666.666666666666,0.8152777777778334,1.0,12,7.5172375
tight,option_count,4,12,10500.0,7833.333333333333,13500.0,9500.0,12,12,10500.0,0.8333333333331665,1.0,12,1.0
tight,option_count,8,12,20083.333333333332,16250.0,24416.666666666668,19500.0,12,12,20083.333333333332,0.67361111111125,1.0,12,1.0
tight,option_progressive,4,12,9916.666666666666,7583.333333333333,12500.0,10000.0,12,12,10083.333333333334,0.8416666666667498,1.0,12,1.0
tight,option_progressive,8,12,19833.333333333332,15750.0,24666.666666666668,19500.0,12,12,20750.0,0.6666666666665834,1.0,12,1.0
tight,option_qrm,4,12,8083.333333333333,6083.333333333333,10335.416666666637,7500.0,12,12,8083.333333333333,0.8736111111110834,1.0,12,3.8602930555555557
tight,option_qrm,8,12,11583.333333333334,9333.333333333334,14083.333333333334,11000.0,12,12,12083.333333333334,0.8083333333332501,1.0,12,7.508183333333334
