condition,k,seed,shortest_steps,horizon,optimal_success_bound,threshold90_feasible
benign,4,0,32,96,1.0,True
benign,4,1,36,96,1.0,True
benign,4,2,40,96,1.0,True
benign,4,3,36,96,1.0,True
benign,4,4,32,96,1.0,True
benign,4,5,44,96,1.0,True
benign,4,6,32,96,1.0,True
benign,4,7,32,96,1.0,True
benign,4,8,24,96,1.0,True
benign,4,9,24,96,1.0,True
benign,4,10,28,96,1.0,True
benign,4,11,36,96,1.0,True
benign,8,0,60,192,1.0,True
benign,8,1,84,192,1.0,True
benign,8,2,76,192,1.0,True
benign,8,3,64,192,1.0,True
benign,8,4,68,192,1.0,True
benign,8,5,80,192,1.0,True
benign,8,6,52,192,1.0,True
benign,8,7,68,192,1.0,True
benign,8,8,52,192,1.0,True
benign,8,9,48,192,1.0,True
benign,8,10,56,192,1.0,True
benign,8,11,68,192,1.0,True
deadline,4,0,32,64,1.0,True
deadline,4,1,36,64,1.0,True
deadline,4,2,40,64,1.0,True
deadline,4,3,36,64,1.0,True
deadline,4,4,32,64,1.0,True
deadline,4,5,44,64,1.0,True
deadline,4,6,32,64,1.0,True
deadline,4,7,32,64,1.0,True
deadline,4,8,24,64,1.0,True
deadline,4,9,24,64,1.0,True
deadline,4,10,28,64,1.0,True
deadline,4,11,36,64,1.0,True
deadline,8,0,60,128,1.0,True
deadline,8,1,84,128,1.0,True
deadline,8,2,76,128,1.0,True
deadline,8,3,64,128,1.0,True
deadline,8,4,68,128,1.0,True
deadline,8,5,80,128,1.0,True
deadline,8,6,52,128,1.0,True
deadline,8,7,68,128,1.0,True
deadline,8,8,52,128,1.0,True
deadline,8,9,48,128,1.0,True
deadline,8,10,56,128,1.0,True
deadline,8,11,68,128,1.0,True
noisy,4,0,32,80,0.999999861440352,True
noisy,4,1,36,80,0.9999993460008847,True
noisy,4,2,40,80,0.9999785651387391,True
noisy,4,3,36,80,0.9999993404673064,True
noisy,4,4,32,80,0.9999997074969438,True
noisy,4,5,44,80,0.9998903514452335,True
noisy,4,6,32,80,0.9999999370886584,True
noisy,4,7,32,80,0.9999999224298302,True
noisy,4,8,24,80,0.9999999995009532,True
noisy,4,9,24,80,0.9999999998037066,True
noisy,4,10,28,80,0.9999999962227462,True
noisy,4,11,36,80,0.9999993460008847,True
noisy,8,0,60,160,0.9999999999999956,True
noisy,8,1,84,160,0.9999999799849459,True
noisy,8,2,76,160,0.9999999996554517,True
noisy,8,3,64,160,0.9999999999998681,True
noisy,8,4,68,160,0.9999999999969811,True
noisy,8,5,80,160,0.9999999987671835,True
noisy,8,6,52,160,1.0,True
noisy,8,7,68,160,0.9999999999982302,True
noisy,8,8,52,160,1.0,True
noisy,8,9,48,160,1.0,True
noisy,8,10,56,160,0.9999999999999991,True
noisy,8,11,68,160,0.9999999999989396,True
