condition,k,baseline,variant,n,cost_delta,delta_low,delta_high,cost_ratio,ratio_low,ratio_high,auc_delta,auc_delta_low,auc_delta_high,wins,ties,losses
benign,4,count_replay_e0.05,count_e0,12,4750.0,3916.6666666666665,5583.333333333333,2.8387096774193545,2.596774193548387,3.086206896551724,-0.1208333333333333,-0.14062499999999997,-0.09999999999999998,0,0,12
benign,8,count_replay_e0.05,count_e0,12,9583.333333333334,8500.0,10708.333333333334,2.949152542372881,2.717373188405797,3.240009615384615,-0.24166666666666667,-0.26979166666666665,-0.21354166666666666,0,0,12
benign,4,count_replay_e0.05,count_e0.005,12,4833.333333333333,3958.3333333333335,5666.666666666667,2.870967741935484,2.6206896551724137,3.1273167155425217,-0.121875,-0.1427083333333333,-0.09999999999999999,0,0,12
benign,8,count_replay_e0.05,count_e0.005,12,9875.0,8458.333333333334,11250.0,3.008474576271186,2.801382978723404,3.3300024271844655,-0.2479166666666667,-0.28125,-0.21354166666666666,0,0,12
benign,4,count_replay_e0.05,count_e0.02,12,4791.666666666667,4000.0,5583.333333333333,2.854838709677419,2.615384615384615,3.083333333333333,-0.1208333333333333,-0.1395833333333333,-0.1020833333333333,0,0,12
benign,8,count_replay_e0.05,count_e0.02,12,10208.333333333334,8916.666666666666,11625.0,3.0762711864406778,2.8203125,3.378640776699029,-0.2614583333333333,-0.29687499999999994,-0.23020833333333326,0,0,12
benign,4,count_replay_e0.05,count_e0.05,12,5125.0,4250.0,6083.333333333333,2.983870967741935,2.7,3.2857142857142856,-0.12812499999999996,-0.15208333333333335,-0.10624999999999997,0,0,12
benign,8,count_replay_e0.05,count_e0.05,12,10583.333333333334,9333.333333333334,11708.333333333334,3.1525423728813555,2.9224789494787493,3.4499999999999997,-0.26770833333333327,-0.2979166666666666,-0.23541666666666664,0,0,12
benign,4,count_replay_e0.05,learned_qrm_e0,12,2166.6666666666665,1666.6666666666667,2625.0,1.8387096774193548,1.6779661016949152,2.0,-0.05416666666666667,-0.065625,-0.04166666666666668,0,0,12
benign,8,count_replay_e0.05,learned_qrm_e0,12,1625.0,1041.6666666666667,2083.3333333333335,1.3305084745762712,1.1935311059907834,1.4851485148514854,-0.041666666666666664,-0.05208333333333332,-0.029166666666666674,1,0,11
benign,4,count_replay_e0.05,learned_qrm_e0.005,12,2083.3333333333335,1583.3333333333333,2541.6666666666665,1.8064516129032258,1.6119402985074627,2.0,-0.05312499999999998,-0.06354166666666668,-0.040624999999999974,0,1,11
benign,8,count_replay_e0.05,learned_qrm_e0.005,12,2041.6666666666667,1375.0,2750.0,1.4152542372881354,1.2777777777777777,1.6052691936262675,-0.049999999999999996,-0.06562500000000003,-0.034374999999999996,0,1,11
