condition,variant,k,n,mean_capped_first90,ci_low,ci_high,median_capped_first90,solved,stable_solved,mean_capped_stable90,auc,final_success,final90,updates_per_step
benign,count_e0,4,12,7333.333333333333,6208.333333333333,8416.666666666666,7000.0,12,12,7500.0,0.8208333333333334,1.0,12,1.0
benign,count_e0,8,12,14500.0,12875.0,16125.0,14750.0,12,12,14666.666666666666,0.640625,1.0,12,1.0
benign,count_e0.005,4,12,7416.666666666667,6250.0,8541.666666666666,7500.0,12,12,7500.0,0.8197916666666666,1.0,12,1.0
benign,count_e0.005,8,12,14791.666666666666,12833.333333333334,16750.0,14500.0,12,12,14958.333333333334,0.634375,1.0,12,1.0
benign,count_e0.02,4,12,7375.0,6333.333333333333,8416.666666666666,7500.0,12,12,7458.333333333333,0.8208333333333333,1.0,12,1.0
benign,count_e0.02,8,12,15125.0,13333.333333333334,17166.666666666668,14500.0,12,12,15458.333333333334,0.6208333333333333,1.0,12,1.0
benign,count_e0.05,4,12,7708.333333333333,6541.666666666667,8876.041666666652,7750.0,12,12,7708.333333333333,0.8135416666666667,1.0,12,1.0
benign,count_e0.05,8,12,15500.0,13666.666666666666,17250.0,16250.0,12,12,15750.0,0.6145833333333334,1.0,12,1.0
benign,learned_qrm_e0,4,12,4750.0,3958.3333333333335,5458.333333333333,5000.0,12,12,4750.0,0.8874999999999998,1.0,12,3.901022916666667
benign,learned_qrm_e0,8,12,6541.666666666667,5958.333333333333,7166.666666666667,6250.0,12,12,6708.333333333333,0.8406250000000001,1.0,12,7.629391666666666
benign,learned_qrm_e0.005,4,12,4666.666666666667,3916.6666666666665,5291.666666666667,5250.0,12,12,4750.0,0.8885416666666668,1.0,12,3.90451875
benign,learned_qrm_e0.005,8,12,6958.333333333333,5958.333333333333,7833.333333333333,7250.0,12,12,6958.333333333333,0.8322916666666668,1.0,12,7.627891666666667
benign,learned_qrm_e0.02,4,12,4541.666666666667,3875.0,5125.0,4500.0,12,12,4541.666666666667,0.8927083333333333,1.0,12,3.906966666666667
benign,learned_qrm_e0.02,8,12,6375.0,5750.0,6958.333333333333,6250.0,12,12,6458.333333333333,0.8458333333333332,1.0,12,7.643495833333333
benign,learned_qrm_e0.05,4,12,4583.333333333333,3833.3333333333335,5291.666666666667,4750.0,12,12,4791.666666666667,0.8875000000000001,1.0,12,3.898429166666667
benign,learned_qrm_e0.05,8,12,6791.666666666667,6250.0,7250.0,7250.0,12,12,7000.0,0.8333333333333331,1.0,12,7.622106250000001
benign,count_replay_e0,4,12,2125.0,1791.6666666666667,2500.0,2000.0,12,12,2125.0,0.953125,1.0,12,9.0
benign,count_replay_e0,8,12,4791.666666666667,4041.6666666666665,5625.0,4500.0,12,12,4791.666666666667,0.8864583333333335,1.0,12,9.0
benign,count_replay_e0.005,4,12,2208.3333333333335,1750.0,2708.3333333333335,2000.0,12,12,2208.3333333333335,0.9510416666666667,1.0,12,9.0
benign,count_replay_e0.005,8,12,4916.666666666667,4166.666666666667,5666.666666666667,4750.0,12,12,4916.666666666667,0.8833333333333334,1.0,12,9.0
benign,count_replay_e0.02,4,12,2375.0,1958.3333333333333,2875.0,2250.0,12,12,2375.0,0.946875,1.0,12,9.0
benign,count_replay_e0.02,8,12,4666.666666666667,4083.3333333333335,5291.666666666667,4500.0,12,12,4666.666666666667,0.8895833333333333,1.0,12,9.0
benign,count_replay_e0.05,4,12,2583.3333333333335,2208.3333333333335,2958.3333333333335,2500.0,12,12,2583.3333333333335,0.9416666666666665,1.0,12,9.0
benign,count_replay_e0.05,8,12,4916.666666666667,4166.666666666667,5708.333333333333,5000.0,12,12,5000.0,0.8822916666666667,1.0,12,9.0
benign,goal_reuse_e0,4,12,3416.6666666666665,2916.6666666666665,3875.0,3500.0,12,12,3416.6666666666665,0.9208333333333334,1.0,12,9.0
benign,goal_reuse_e0,8,12,4375.0,3750.0,4958.333333333333,4250.0,12,12,4375.0,0.896875,1.0,12,9.0
benign,goal_reuse_e0.005,4,12,3541.6666666666665,2916.6666666666665,4125.0,3750.0,12,12,3541.6666666666665,0.9177083333333335,1.0,12,9.0
benign,goal_reuse_e0.005,8,12,4333.333333333333,3791.6666666666665,4833.333333333333,4250.0,12,12,4333.333333333333,0.8979166666666667,1.0,12,9.0
benign,goal_reuse_e0.02,4,12,3291.6666666666665,2875.0,3750.0,3250.0,12,12,3416.6666666666665,0.921875,1.0,12,9.0
benign,goal_reuse_e0.02,8,12,4375.0,3875.0,4875.0,4500.0,12,12,4458.333333333333,0.8958333333333334,1.0,12,9.0
benign,goal_reuse_e0.05,4,12,3500.0,3000.0,3958.3333333333335,3500.0,12,12,3500.0,0.9187500000000001,1.0,12,9.0
benign,goal_reuse_e0.05,8,12,4250.0,3750.0,4750.0,4250.0,12,12,4333.333333333333,0.8989583333333333,1.0,12,9.0
benign,progressive_h0.05,4,12,7333.333333333333,6208.333333333333,8416.666666666666,7500.0,12,12,7416.666666666667,0.821875,1.0,12,1.0
benign,progressive_h0.05,8,12,15083.333333333334,13083.333333333334,17125.0,15000.0,12,12,15166.666666666666,0.6270833333333333,1.0,12,1.0
benign,progressive_h0.2,4,12,7666.666666666667,6666.666666666667,8625.0,7750.0,12,12,7833.333333333333,0.8125,1.0,12,1.0
benign,progressive_h0.2,8,12,15541.666666666666,13458.333333333334,17625.0,15250.0,12,12,15708.333333333334,0.6145833333333334,1.0,12,1.0
benign,progressive_goal_h0.05,4,12,3416.6666666666665,2958.3333333333335,3875.0,3500.0,12,12,3500.0,0.9197916666666668,1.0,12,9.0
benign,progressive_goal_h0.05,8,12,4125.0,3583.3333333333335,4625.0,4250.0,12,12,4208.333333333333,0.9020833333333332,1.0,12,9.0
benign,progressive_goal_h0.2,4,12,3666.6666666666665,3083.3333333333335,4208.333333333333,3500.0,12,12,3666.6666666666665,0.9145833333333333,1.0,12,9.0
benign,progressive_goal_h0.2,8,12,4125.0,3583.3333333333335,4625.0,4250.0,12,12,4250.0,0.9010416666666665,1.0,12,9.0
benign,oracle_goal,4,12,3291.6666666666665,2833.3333333333335,3750.0,3250.0,12,12,3375.0,0.9229166666666666,1.0,12,9.0
benign,oracle_goal,8,12,3750.0,3208.3333333333335,4291.666666666667,3750.0,12,12,3916.6666666666665,0.9104166666666668,1.0,12,9.0
deadline,count_e0,4,12,8083.333333333333,6708.333333333333,9541.666666666666,8000.0,12,12,8208.333333333334,0.8020833333333334,1.0,12,1.0
deadline,count_e0,8,12,16000.0,13458.333333333334,18708.333333333332,15750.0,12,12,16000.0,0.6062500000000001,1.0,12,1.0
deadline,count_e0.005,4,12,7625.0,6416.666666666667,8875.0,7500.0,12,12,7791.666666666667,0.8125,1.0,12,1.0
deadline,count_e0.005,8,12,16375.0,13750.0,19167.708333333318,16750.0,12,12,16583.333333333332,0.59375,1.0,12,1.0
deadline,count_e0.02,4,12,8250.0,7041.666666666667,9500.0,8500.0,12,12,8500.0,0.796875,1.0,12,1.0
deadline,count_e0.02,8,12,16250.0,14040.625,18791.666666666668,15250.0,12,12,16375.0,0.5979166666666668,1.0,12,1.0
deadline,count_e0.05,4,12,8416.666666666666,6875.0,9958.333333333334,8500.0,12,12,8416.666666666666,0.7958333333333333,1.0,12,1.0
deadline,count_e0.05,8,12,16208.333333333334,13958.333333333334,18541.666666666668,16000.0,12,12,16666.666666666668,0.5947916666666667,1.0,12,1.0
deadline,learned_qrm_e0,4,12,5375.0,4333.333333333333,6416.666666666667,5000.0,12,12,5458.333333333333,0.8708333333333335,1.0,12,3.864960416666667
deadline,learned_qrm_e0,8,12,8166.666666666667,7125.0,9083.333333333334,8250.0,12,12,8250.0,0.8010416666666665,1.0,12,7.518660416666667
deadline,learned_qrm_e0.005,4,12,5333.333333333333,4333.333333333333,6376.0416666666515,5000.0,12,12,5416.666666666667,0.8718750000000001,1.0,12,3.8648333333333333
deadline,learned_qrm_e0.005,8,12,7833.333333333333,6916.666666666667,8750.0,7500.0,12,12,7833.333333333333,0.8104166666666668,1.0,12,7.503545833333334
deadline,learned_qrm_e0.02,4,12,5500.0,4541.666666666667,6375.0,5750.0,12,12,5583.333333333333,0.8677083333333334,1.0,12,3.8712395833333333
deadline,learned_qrm_e0.02,8,12,8083.333333333333,6958.333333333333,9250.0,7750.0,12,12,8166.666666666667,0.8031250000000001,1.0,12,7.52185625
deadline,learned_qrm_e0.05,4,12,5541.666666666667,4625.0,6375.0,5750.0,12,12,5541.666666666667,0.8677083333333334,1.0,12,3.857616666666667
deadline,learned_qrm_e0.05,8,12,8583.333333333334,7458.333333333333,9583.333333333334,8750.0,12,12,8666.666666666666,0.790625,1.0,12,7.452704166666667
deadline,count_replay_e0,4,12,2666.6666666666665,2166.6666666666665,3208.3333333333335,2500.0,12,12,2666.6666666666665,0.9395833333333333,1.0,12,9.0
deadline,count_replay_e0,8,12,5708.333333333333,4833.333333333333,6666.666666666667,5500.0,12,12,5708.333333333333,0.8635416666666668,1.0,12,9.0
deadline,count_replay_e0.005,4,12,2500.0,2083.3333333333335,2958.3333333333335,2500.0,12,12,2500.0,0.9437500000000001,1.0,12,9.0
deadline,count_replay_e0.005,8,12,5208.333333333333,4416.666666666667,5958.333333333333,5500.0,12,12,5208.333333333333,0.8760416666666667,1.0,12,9.0
deadline,count_replay_e0.02,4,12,2583.3333333333335,1833.3333333333333,3375.0,2500.0,12,12,2666.6666666666665,0.9406249999999999,1.0,12,9.0
deadline,count_replay_e0.02,8,12,5791.666666666667,4666.666666666667,7041.666666666667,5500.0,12,12,5791.666666666667,0.8614583333333332,1.0,12,9.0
deadline,count_replay_e0.05,4,12,2791.6666666666665,2208.3333333333335,3375.0,2500.0,12,12,2791.6666666666665,0.9364583333333333,1.0,12,9.0
deadline,count_replay_e0.05,8,12,5333.333333333333,4541.666666666667,6125.0,5500.0,12,12,5500.0,0.8708333333333332,1.0,12,9.0
deadline,goal_reuse_e0,4,12,3541.6666666666665,2833.3333333333335,4208.333333333333,4000.0,12,12,3541.6666666666665,0.9177083333333332,1.0,12,9.0
deadline,goal_reuse_e0,8,12,4583.333333333333,3875.0,5333.333333333333,4500.0,12,12,4666.666666666667,0.8906250000000001,1.0,12,9.0
deadline,goal_reuse_e0.005,4,12,3625.0,3000.0,4208.333333333333,3750.0,12,12,3625.0,0.915625,1.0,12,9.0
deadline,goal_reuse_e0.005,8,12,4541.666666666667,4083.3333333333335,5041.666666666667,4500.0,12,12,4625.0,0.8916666666666667,1.0,12,9.0
deadline,goal_reuse_e0.02,4,12,3458.3333333333335,2875.0,4041.6666666666665,3500.0,12,12,3541.6666666666665,0.9187500000000002,1.0,12,9.0
deadline,goal_reuse_e0.02,8,12,4583.333333333333,4000.0,5166.666666666667,4500.0,12,12,4583.333333333333,0.8916666666666666,1.0,12,9.0
deadline,goal_reuse_e0.05,4,12,3666.6666666666665,3000.0,4291.666666666667,4000.0,12,12,3666.6666666666665,0.9145833333333336,1.0,12,9.0
deadline,goal_reuse_e0.05,8,12,4625.0,4041.6666666666665,5208.333333333333,4500.0,12,12,4625.0,0.8906249999999999,1.0,12,9.0
deadline,progressive_h0.05,4,12,7875.0,6708.333333333333,9083.333333333334,8000.0,12,12,8166.666666666667,0.8052083333333332,1.0,12,1.0
deadline,progressive_h0.05,8,12,15541.666666666666,13625.0,17541.666666666668,16000.0,12,12,15958.333333333334,0.6104166666666666,1.0,12,1.0
deadline,progressive_h0.2,4,12,8458.333333333334,6833.333333333333,10167.708333333318,8250.0,12,12,8583.333333333334,0.7927083333333331,1.0,12,1.0
deadline,progressive_h0.2,8,12,15750.0,13416.666666666666,18167.708333333318,15000.0,12,12,16166.666666666666,0.6052083333333333,1.0,12,1.0
deadline,progressive_goal_h0.05,4,12,3625.0,3000.0,4291.666666666667,3500.0,12,12,3625.0,0.9145833333333333,1.0,12,9.0
deadline,progressive_goal_h0.05,8,12,4333.333333333333,3791.6666666666665,4833.333333333333,4250.0,12,12,4333.333333333333,0.8979166666666666,1.0,12,9.0
deadline,progressive_goal_h0.2,4,12,3666.6666666666665,3125.0,4250.0,3750.0,12,12,3833.3333333333335,0.9114583333333334,1.0,12,9.0
deadline,progressive_goal_h0.2,8,12,4625.0,3958.3333333333335,5292.7083333333185,4750.0,12,12,4625.0,0.890625,1.0,12,9.0
deadline,oracle_goal,4,12,3333.3333333333335,2833.3333333333335,3833.3333333333335,3500.0,12,12,3333.3333333333335,0.9229166666666666,1.0,12,9.0
deadline,oracle_goal,8,12,3916.6666666666665,3333.3333333333335,4458.333333333333,4000.0,12,12,4000.0,0.9072916666666667,1.0,12,9.0
noisy,count_e0,4,12,28166.666666666668,20291.666666666668,35625.0,40000.0,5,5,28333.333333333332,0.5678589961563334,0.8047204223784167,5,1.0
noisy,count_e0,8,12,24375.0,19791.666666666668,29083.333333333332,23500.0,11,11,24583.333333333332,0.4693734880938332,0.9520249530263335,11,1.0
noisy,count_e0.005,4,12,10875.0,9083.333333333334,12708.333333333334,10000.0,12,12,11166.666666666666,0.7486292642780833,0.9847263676419166,12,1.0
noisy,count_e0.005,8,12,24916.666666666668,20998.958333333332,29000.0,24500.0,12,12,25291.666666666668,0.4557582695875834,0.9705919256933333,12,1.0
noisy,count_e0.02,4,12,10708.333333333334,9083.333333333334,12376.041666666652,10500.0,12,12,10916.666666666666,0.7538693252889167,0.9928700509475834,12,1.0
noisy,count_e0.02,8,12,21875.0,18833.333333333332,25041.666666666668,21500.0,12,12,22041.666666666668,0.49684117795574995,0.9786103617374167,12,1.0
noisy,count_e0.05,4,12,11125.0,9083.333333333334,13416.666666666666,10000.0,12,12,11500.0,0.7468779595674166,0.9948457287620833,12,1.0
noisy,count_e0.05,8,12,21083.333333333332,17916.666666666668,24333.333333333332,21000.0,12,12,21375.0,0.5092581620460833,0.9858480237255832,12,1.0
noisy,learned_qrm_e0,4,12,9500.0,5583.333333333333,15542.708333333318,6250.0,11,11,9625.0,0.7852781124241668,0.9402184173784166,10,3.836889583333333
noisy,learned_qrm_e0,8,12,8666.666666666666,7333.333333333333,10041.666666666666,8500.0,12,12,9000.0,0.7816430984461666,0.9782248165637499,11,7.489158333333333
noisy,learned_qrm_e0.005,4,12,6375.0,5290.625000000001,7458.333333333333,6000.0,12,12,6625.0,0.8380731188537499,0.9863472466365001,12,3.860891666666667
