condition,k,seed,shortest_steps,horizon,optimal_success_bound,threshold90_feasible
benign,2,100,16,48,1.0,True
benign,2,101,16,48,1.0,True
benign,2,102,12,48,1.0,True
benign,2,103,16,48,1.0,True
benign,2,104,20,48,1.0,True
benign,2,105,20,48,1.0,True
benign,2,106,24,48,1.0,True
benign,2,107,24,48,1.0,True
benign,2,108,16,48,1.0,True
benign,2,109,16,48,1.0,True
benign,2,110,12,48,1.0,True
benign,2,111,12,48,1.0,True
benign,2,112,8,48,1.0,True
benign,2,113,20,48,1.0,True
benign,2,114,8,48,1.0,True
benign,2,115,12,48,1.0,True
benign,2,116,16,48,1.0,True
benign,2,117,16,48,1.0,True
benign,2,118,12,48,1.0,True
benign,2,119,12,48,1.0,True
benign,2,120,20,48,1.0,True
benign,2,121,24,48,1.0,True
benign,2,122,16,48,1.0,True
benign,2,123,24,48,1.0,True
benign,2,124,8,48,1.0,True
benign,2,125,16,48,1.0,True
benign,2,126,12,48,1.0,True
benign,2,127,12,48,1.0,True
benign,2,128,16,48,1.0,True
benign,2,129,12,48,1.0,True
benign,2,130,20,48,1.0,True
benign,2,131,16,48,1.0,True
benign,4,100,28,96,1.0,True
benign,4,101,36,96,1.0,True
benign,4,102,24,96,1.0,True
benign,4,103,28,96,1.0,True
benign,4,104,44,96,1.0,True
benign,4,105,36,96,1.0,True
benign,4,106,44,96,1.0,True
benign,4,107,52,96,1.0,True
benign,4,108,24,96,1.0,True
benign,4,109,32,96,1.0,True
benign,4,110,28,96,1.0,True
benign,4,111,24,96,1.0,True
benign,4,112,28,96,1.0,True
benign,4,113,36,96,1.0,True
benign,4,114,32,96,1.0,True
benign,4,115,28,96,1.0,True
benign,4,116,28,96,1.0,True
benign,4,117,40,96,1.0,True
benign,4,118,40,96,1.0,True
benign,4,119,36,96,1.0,True
benign,4,120,44,96,1.0,True
benign,4,121,36,96,1.0,True
benign,4,122,28,96,1.0,True
benign,4,123,44,96,1.0,True
benign,4,124,24,96,1.0,True
benign,4,125,36,96,1.0,True
benign,4,126,40,96,1.0,True
benign,4,127,32,96,1.0,True
benign,4,128,36,96,1.0,True
benign,4,129,36,96,1.0,True
