condition,k,baseline,variant,n,cost_delta,delta_low,delta_high,cost_ratio,ratio_low,ratio_high,auc_delta,auc_delta_low,auc_delta_high,wins,ties,losses
benign,2,count,progressive,32,-156.25,-437.5,125.0,0.9603174603174603,0.8914728682170543,1.031496062992126,0.0015625000000000083,-0.0012499999999999872,0.004375000000000007,11,14,7
benign,4,count,progressive,32,156.25,-218.75,531.25,1.0190839694656488,0.974169741697417,1.064,-0.0009375000000000008,-0.004374999999999997,0.0024999999999999988,9,10,13
benign,6,count,progressive,32,406.25,-31.25,843.75,1.0330788804071247,0.9974619289340102,1.0682442938303598,-0.0034374999999999996,-0.007500000000000007,0.0009375000000000008,7,9,16
benign,8,count,progressive,32,-218.75,-687.5,281.25,0.9872262773722628,0.9609929078014184,1.0162162162162163,0.0015625000000000014,-0.003437499999999996,0.006249999999999999,14,10,8
benign,12,count,progressive,32,-93.75,-782.0312499999993,625.0,0.9963592233009708,0.9691512742391063,1.0237819206160466,0.0009375000000000112,-0.004999999999999994,0.007187500000000017,14,5,13
benign,16,count,progressive,32,-343.75,-1125.0,437.5,0.9898242368177613,0.9675675675675676,1.0132325141776937,0.006249999999999992,-0.00031250000000000375,0.013124999999999987,14,7,11
benign,2,count,learned_qrm,32,-656.25,-968.75,-375.0,0.8333333333333334,0.768595041322314,0.8968253968253969,0.005937499999999998,0.0037499999999999964,0.008125,18,13,1
benign,4,count,learned_qrm,32,-3281.25,-3750.0,-2812.5,0.5992366412213741,0.5612648221343873,0.6382998351260109,0.03343749999999997,0.028437499999999984,0.038437499999999965,32,0,0
benign,6,count,learned_qrm,32,-6062.5,-6562.5,-5562.5,0.5063613231552163,0.48214285714285715,0.5309978062108311,0.061249999999999985,0.05624999999999997,0.0665625,32,0,0
benign,8,count,learned_qrm,32,-9781.25,-10625.0,-8968.75,0.42883211678832117,0.40808823529411764,0.4521284080475829,0.09812500000000003,0.08968750000000003,0.10656250000000003,32,0,0
benign,12,count,learned_qrm,32,-16531.25,-17656.25,-15406.25,0.3580097087378641,0.34487021013597036,0.37121235022534904,0.16656250000000006,0.15531250000000005,0.17782031249999997,32,0,0
benign,16,count,learned_qrm,32,-23531.25,-25281.25,-21843.75,0.303422756706753,0.2899912201707557,0.3180040974728579,0.24000000000000005,0.22312500000000005,0.2575,32,0,0
benign,2,count,count_replay,32,-2531.25,-2968.75,-2093.75,0.35714285714285715,0.3233082706766917,0.39344262295081966,0.025312500000000016,0.020937500000000015,0.02968750000000002,31,1,0
benign,4,count,count_replay,32,-5437.5,-6062.5,-4812.5,0.33587786259541985,0.3154121863799283,0.3590733590733591,0.054999999999999966,0.04843749999999998,0.06156249999999996,32,0,0
benign,6,count,count_replay,32,-8062.5,-8656.25,-7437.5,0.3435114503816794,0.3239795918367347,0.36243386243386244,0.08124999999999996,0.07499999999999996,0.08749999999999997,32,0,0
benign,8,count,count_replay,32,-11406.25,-12218.75,-10562.5,0.33394160583941607,0.32035398230088497,0.34774774774774775,0.11437499999999999,0.10593749999999999,0.12281249999999999,32,0,0
benign,12,count,count_replay,32,-17125.0,-18125.0,-16093.75,0.33495145631067963,0.3196122885134502,0.350920245398773,0.17218750000000002,0.16218750000000004,0.18218750000000006,32,0,0
benign,16,count,count_replay,32,-22000.0,-23500.0,-20562.5,0.34875115633672527,0.34008774131899455,0.3585810162991371,0.2246875,0.2103125,0.239375,32,0,0
benign,2,count,goal_reuse,32,-1343.75,-1625.0,-1062.5,0.6587301587301587,0.609375,0.7086633284917054,0.013437500000000005,0.010625000000000002,0.01625000000000001,27,5,0
