condition,k,baseline,variant,n,cost_delta,delta_low,delta_high,cost_ratio,ratio_low,ratio_high,auc_delta,auc_delta_low,auc_delta_high,wins,ties,losses
benign,2,count_replay,count,32,2531.25,2093.75,2968.75,2.8,2.5416666666666665,3.0930232558139537,-0.025312500000000016,-0.02968750000000002,-0.020937500000000015,0,1,31
benign,4,count_replay,count,32,5437.5,4812.5,6062.5,2.977272727272727,2.78494623655914,3.1704545454545454,-0.054999999999999966,-0.06156249999999996,-0.04843749999999998,0,0,32
benign,6,count_replay,count,32,8062.5,7437.5,8656.25,2.911111111111111,2.759124087591241,3.0866141732283463,-0.08124999999999996,-0.08749999999999997,-0.07499999999999996,0,0,32
benign,8,count_replay,count,32,11406.25,10562.5,12218.75,2.9945355191256833,2.8756476683937824,3.1215469613259668,-0.11437499999999999,-0.12281249999999999,-0.10593749999999999,0,0,32
benign,12,count_replay,count,32,17125.0,16093.75,18125.0,2.9855072463768115,2.8496503496503496,3.128790838068182,-0.17218750000000002,-0.18218750000000006,-0.16218750000000004,0,0,32
benign,16,count_replay,count,32,22000.0,20562.5,23500.0,2.86737400530504,2.7887700534759357,2.9404176585912336,-0.2246875,-0.239375,-0.2103125,0,0,32
benign,2,count_replay,progressive,32,2375.0,1906.25,2875.0,2.688888888888889,2.404255319148936,3.0,-0.023750000000000007,-0.028749999999999998,-0.01906250000000001,0,1,31
benign,4,count_replay,progressive,32,5593.75,4937.5,6312.5,3.034090909090909,2.807218647316539,3.260881916996047,-0.055937499999999966,-0.06312499999999996,-0.04937499999999996,0,0,32
benign,6,count_replay,progressive,32,8468.75,7750.0,9218.75,3.0074074074074075,2.8187766931055522,3.212121212121212,-0.08468749999999997,-0.09218749999999996,-0.07749999999999996,0,0,32
benign,8,count_replay,progressive,32,11187.5,10312.5,12125.0,2.9562841530054644,2.8297872340425534,3.0977011494252875,-0.11281249999999998,-0.12187500000000001,-0.10406249999999997,0,0,32
benign,12,count_replay,progressive,32,17031.25,15968.75,18093.75,2.9746376811594204,2.855218855218855,3.1043205733920325,-0.17125,-0.181875,-0.16062500000000002,0,0,32
benign,16,count_replay,progressive,32,21656.25,20375.0,23000.0,2.8381962864721486,2.7609254498714653,2.916442224458629,-0.2184375,-0.23187500000000003,-0.20531250000000004,0,0,32
