condition,k,baseline,variant,n,cost_delta,delta_low,delta_high,cost_ratio,ratio_low,ratio_high,auc_delta,auc_delta_low,auc_delta_high,wins,ties,losses
benign,2,goal_reuse,count,32,1343.75,1062.5,1625.0,1.5180722891566265,1.4111073059360733,1.641025641025641,-0.013437500000000005,-0.01625000000000001,-0.010625000000000002,0,5,27
benign,4,goal_reuse,count,32,4656.25,4031.25,5312.5,2.3185840707964602,2.130081300813008,2.518181818181818,-0.04718749999999996,-0.05374999999999995,-0.04062499999999997,0,0,32
benign,6,goal_reuse,count,32,7937.5,7250.0,8594.531249999989,2.827338129496403,2.664285714285714,3.0,-0.07999999999999996,-0.08687499999999997,-0.07312499999999995,0,0,32
benign,8,goal_reuse,count,32,12406.25,11406.25,13406.25,3.629139072847682,3.4125,3.8503654164368446,-0.12437499999999999,-0.13437499999999997,-0.11406249999999998,0,0,32
benign,12,goal_reuse,count,32,20281.25,18937.5,21687.5,4.708571428571428,4.541429964250894,4.885073891625615,-0.2034375,-0.21812499999999996,-0.18937499999999996,0,0,32
benign,16,goal_reuse,count,32,27718.75,25999.21875,29531.25,5.572164948453608,5.340098984771573,5.818691672648959,-0.281875,-0.2996875,-0.26468749999999996,0,0,32
benign,2,goal_reuse,progressive,32,1187.5,875.0,1531.25,1.4578313253012047,1.337837837837838,1.5833567415730332,-0.011874999999999997,-0.015312499999999986,-0.008749999999999994,0,9,23
benign,4,goal_reuse,progressive,32,4812.5,4156.25,5500.0,2.3628318584070795,2.180324176635652,2.5514018691588785,-0.04812499999999996,-0.05499999999999995,-0.04156249999999996,0,0,32
benign,6,goal_reuse,progressive,32,8343.75,7593.75,9125.0,2.920863309352518,2.74468085106383,3.107142857142857,-0.08343749999999997,-0.09124999999999996,-0.07593749999999996,0,0,32
benign,8,goal_reuse,progressive,32,12187.5,11125.0,13250.0,3.5827814569536423,3.3703643578643576,3.7987012987012987,-0.12281249999999996,-0.1334375,-0.11249999999999998,0,0,32
benign,12,goal_reuse,progressive,32,20187.5,18718.75,21687.5,4.691428571428571,4.511494252873563,4.866279069767442,-0.20249999999999996,-0.21812499999999996,-0.18781249999999994,0,0,32
benign,16,goal_reuse,progressive,32,27375.0,25812.5,29000.0,5.515463917525773,5.304568527918781,5.740545545545546,-0.275625,-0.29218750000000004,-0.25968749999999996,0,0,32
benign,2,goal_reuse,learned_qrm,32,687.5,437.5,968.75,1.2650602409638554,1.1604938271604939,1.382716049382716,-0.007500000000000007,-0.010000000000000009,-0.0050000000000000044,1,13,18
benign,4,goal_reuse,learned_qrm,32,1375.0,968.75,1781.25,1.3893805309734513,1.2719298245614035,1.508624470659407,-0.013749999999999991,-0.01781249999999998,-0.009687499999999995,2,6,24
benign,6,goal_reuse,learned_qrm,32,1875.0,1500.0,2250.0,1.4316546762589928,1.345857750995135,1.5179856115107915,-0.01874999999999997,-0.022499999999999958,-0.014999999999999982,0,3,29
benign,8,goal_reuse,learned_qrm,32,2625.0,2218.75,3031.25,1.5562913907284768,1.465744809166882,1.6503496503496504,-0.02624999999999994,-0.03031249999999994,-0.022187499999999936,0,1,31
benign,12,goal_reuse,learned_qrm,32,3750.0,3343.75,4218.75,1.6857142857142857,1.6176470588235294,1.7586206896551724,-0.03687499999999993,-0.04156249999999994,-0.032499999999999925,0,0,32
benign,16,goal_reuse,learned_qrm,32,4187.5,3781.25,4593.75,1.690721649484536,1.6119402985074627,1.7743589743589743,-0.04187499999999997,-0.045937499999999964,-0.03781249999999996,0,0,32
benign,2,goal_reuse,count_replay,32,-1187.5,-1531.25,-875.0,0.5421686746987951,0.47474747474747475,0.6212121212121212,0.01187500000000001,0.008750000000000008,0.015312500000000014,24,8,0
benign,4,goal_reuse,count_replay,32,-781.25,-1062.5,-500.0,0.7787610619469026,0.7142857142857143,0.8504672897196262,0.007812500000000007,0.0050000000000000044,0.01062500000000001,19,12,1
benign,6,goal_reuse,count_replay,32,-125.0,-406.25,156.25,0.9712230215827338,0.9071428571428571,1.037037037037037,0.0012500000000000011,-0.0015625000000000014,0.004062500000000004,11,13,8
benign,8,goal_reuse,count_replay,32,1000.0,656.25,1375.0,1.2119205298013245,1.1346153846153846,1.2930021231422504,-0.009999999999999981,-0.01374999999999996,-0.006562499999999985,1,11,20
benign,12,goal_reuse,count_replay,32,3156.25,2593.75,3750.0,1.5771428571428572,1.4857142857142858,1.6723163841807909,-0.031249999999999938,-0.03749999999999994,-0.025624999999999926,0,0,32
benign,16,goal_reuse,count_replay,32,5718.75,5312.5,6187.5,1.943298969072165,1.8725490196078431,2.0211640211640214,-0.057187499999999974,-0.06187499999999997,-0.053124999999999964,0,0,32
benign,2,goal_reuse,progressive_goal,32,-125.0,-375.0,125.0,0.9518072289156626,0.8636363636363636,1.0465116279069768,0.0012500000000000011,-0.0012500000000000011,0.0037500000000000033,10,16,6
benign,4,goal_reuse,progressive_goal,32,125.0,-93.75,343.75,1.0353982300884956,0.9749947478991596,1.0956521739130434,-0.0012500000000000011,-0.003437500000000003,0.0009375000000000008,4,20,8
benign,6,goal_reuse,progressive_goal,32,-31.25,-218.75,156.25,0.9928057553956835,0.951048951048951,1.036231884057971,0.0003125000000000003,-0.0015625000000000014,0.002187500000000002,5,23,4
benign,8,goal_reuse,progressive_goal,32,93.75,-156.25,312.5,1.0198675496688743,0.9685534591194969,1.070921985815603,-0.0009375000000000008,-0.0031250000000000028,0.0015625000000000014,6,17,9
benign,12,goal_reuse,progressive_goal,32,125.0,-93.75,343.75,1.022857142857143,0.9830508474576272,1.0658682634730539,-0.0006249999999999901,-0.002499999999999985,0.0012500000000000046,4,21,7
benign,16,goal_reuse,progressive_goal,32,31.25,-218.75,281.25,1.0051546391752577,0.965,1.0476253799392097,-0.0003124999999999968,-0.0028124999999999817,0.002187499999999988,8,15,9
benign,2,goal_reuse,oracle_goal,32,-125.0,-406.25,156.25,0.9518072289156626,0.8452380952380952,1.0635073260073258,0.0012500000000000011,-0.0015625000000000014,0.004062500000000004,10,16,6
benign,4,goal_reuse,oracle_goal,32,-250.0,-406.25,-93.75,0.9292035398230089,0.8907563025210085,0.97,0.0025000000000000022,0.0009375000000000008,0.004062500000000004,8,24,0
benign,6,goal_reuse,oracle_goal,32,-125.0,-343.75,62.5,0.9712230215827338,0.9214285714285714,1.0150375939849625,0.0012500000000000011,-0.0006250000000000006,0.003437500000000003,6,23,3
benign,8,goal_reuse,oracle_goal,32,-406.25,-625.0,-156.25,0.9139072847682119,0.8662420382165605,0.9655172413793104,0.004062500000000004,0.0015625000000000014,0.0062500000000000056,15,14,3
benign,12,goal_reuse,oracle_goal,32,-593.75,-781.25,-406.25,0.8914285714285715,0.8611111111111112,0.9239766081871345,0.005937500000000002,0.0037500000000000103,0.007812500000000007,18,14,0
benign,16,goal_reuse,oracle_goal,32,-875.0,-1156.25,-562.5,0.8556701030927835,0.8134715025906736,0.9010989010989011,0.00874999999999997,0.005624999999999988,0.011562499999999976,23,7,2
benign,2,goal_reuse,oracle_qrm,32,-125.0,-406.25,156.25,0.9518072289156626,0.8452380952380952,1.0635073260073258,0.0012500000000000011,-0.0015625000000000014,0.004062500000000004,10,16,6
benign,4,goal_reuse,oracle_qrm,32,-218.75,-375.0,-93.75,0.9380530973451328,0.8990825688073395,0.9734513274336283,0.002187500000000002,0.0009375000000000008,0.0037500000000000033,7,25,0
benign,6,goal_reuse,oracle_qrm,32,-156.25,-375.0,62.5,0.9640287769784173,0.9136690647482014,1.013986013986014,0.0015625000000000014,-0.0006250000000000006,0.0037500000000000033,7,22,3
benign,8,goal_reuse,oracle_qrm,32,-343.75,-562.5,-93.75,0.9271523178807947,0.88,0.9788732394366197,0.003437500000000003,0.0009375000000000008,0.005625000000000005,13,16,3
benign,12,goal_reuse,oracle_qrm,32,-531.25,-750.0,-312.5,0.9028571428571428,0.8614414304617314,0.9418604651162791,0.005624999999999998,0.00375,0.007500000000000003,16,15,1
benign,16,goal_reuse,oracle_qrm,32,-875.0,-1187.5,-562.5,0.8556701030927835,0.81,0.9015565276480081,0.008749999999999973,0.005624999999999988,0.011874999999999965,21,10,1
deadline,2,goal_reuse,count,32,1375.0,1000.0,1750.0,1.4782608695652173,1.3592233009708738,1.6129032258064515,-0.013750000000000005,-0.01781249999999999,-0.010000000000000009,0,9,23
deadline,4,goal_reuse,count,32,5093.75,4187.5,6062.5,2.283464566929134,2.103448275862069,2.463773913043478,-0.05124999999999997,-0.060937499999999964,-0.04249999999999997,0,0,32
deadline,6,goal_reuse,count,32,9250.0,8281.25,10312.5,3.0136054421768708,2.827814569536424,3.2056789737171467,-0.09312499999999996,-0.10343749999999997,-0.08374999999999996,0,0,32
deadline,8,goal_reuse,count,32,14062.5,12718.75,15406.25,3.848101265822785,3.575944572305332,4.119205298013245,-0.14125,-0.15468749999999998,-0.12812499999999996,0,0,32
deadline,12,goal_reuse,count,32,22625.0,20655.46875,24718.75,4.731958762886598,4.5,4.974365482233503,-0.229375,-0.25187499999999996,-0.20843749999999997,0,0,32
deadline,16,goal_reuse,count,32,30593.75,28500.0,32812.5,5.40990990990991,5.177271288837745,5.6589887934646,-0.3090625,-0.33125000000000004,-0.288125,0,0,32
deadline,2,goal_reuse,progressive,32,1187.5,812.5,1562.5,1.4130434782608696,1.2924528301886793,1.5465116279069768,-0.011562500000000003,-0.0153125,-0.008125,0,10,22
deadline,4,goal_reuse,progressive,32,5062.5,4218.75,5937.5,2.2755905511811023,2.099235064033815,2.4609388851950356,-0.05187499999999998,-0.06062499999999998,-0.043437499999999976,0,0,32
deadline,6,goal_reuse,progressive,32,9125.0,8218.75,10062.5,2.9863945578231292,2.8066666666666666,3.1726856015187845,-0.09124999999999997,-0.10062499999999996,-0.08218749999999997,0,0,32
deadline,8,goal_reuse,progressive,32,13437.5,12156.25,14750.0,3.721518987341772,3.4662576687116564,3.9872611464968153,-0.13499999999999998,-0.148125,-0.121875,0,0,32
deadline,12,goal_reuse,progressive,32,21750.0,19781.25,23812.5,4.587628865979381,4.331605535860376,4.858712635869565,-0.21812499999999996,-0.23843749999999997,-0.19874999999999998,0,0,32
deadline,16,goal_reuse,progressive,32,29406.25,27468.75,31500.0,5.238738738738738,5.0135119985456305,5.467889908256881,-0.29781250000000004,-0.319375,-0.27749999999999997,0,0,32
deadline,2,goal_reuse,learned_qrm,32,750.0,312.5,1187.5,1.2608695652173914,1.107134188626907,1.4,-0.008125,-0.011874999999999993,-0.004687500000000001,3,11,18
deadline,4,goal_reuse,learned_qrm,32,2125.0,1625.0,2625.0,1.5354330708661417,1.4153846153846155,1.6529008930951745,-0.02124999999999997,-0.026249999999999978,-0.01624999999999997,1,3,28
deadline,6,goal_reuse,learned_qrm,32,2718.75,2312.5,3125.0,1.5918367346938775,1.5,1.6928571428571428,-0.027499999999999945,-0.03156249999999994,-0.023437499999999965,0,0,32
deadline,8,goal_reuse,learned_qrm,32,4281.25,3625.0,4937.5,1.8670886075949367,1.7266547619047619,2.012822580645161,-0.04343749999999995,-0.04999999999999994,-0.03718749999999994,0,0,32
deadline,12,goal_reuse,learned_qrm,32,5250.0,4468.75,6093.75,1.865979381443299,1.7461139896373057,1.9894736842105263,-0.05249999999999996,-0.060937499999999964,-0.04468749999999995,0,0,32
deadline,16,goal_reuse,learned_qrm,32,5718.75,5093.75,6406.25,1.8243243243243243,1.7394957983193278,1.9166666666666667,-0.0571875,-0.06406250000000001,-0.05093749999999998,0,0,32
deadline,2,goal_reuse,count_replay,32,-1218.75,-1625.0,-843.75,0.5760869565217391,0.5154639175257731,0.65,0.012500000000000004,0.008437500000000007,0.016875,23,9,0
deadline,4,goal_reuse,count_replay,32,-843.75,-1187.5,-500.0,0.7874015748031497,0.7142857142857143,0.8672663977095262,0.008437500000000007,0.0050000000000000044,0.01187500000000001,21,8,3
