condition,variant,k,n,mean_capped_first90,ci_low,ci_high,median_capped_first90,solved,stable_solved,mean_capped_stable90,auc,final_success,final90,updates_per_step
benign,count,2,32,3937.5,3375.0,4500.0,4000.0,32,32,3937.5,0.965625,1.0,32,1.0
benign,count,4,32,8187.5,7375.0,9000.0,8000.0,32,32,8312.5,0.9225,1.0,32,1.0
benign,count,6,32,12281.25,11500.0,13063.281249999989,12500.0,32,32,12406.25,0.8815625,1.0,32,1.0
benign,count,8,32,17125.0,16000.0,18312.5,17000.0,32,32,17187.5,0.8334375,1.0,32,1.0
benign,count,12,32,25750.0,24125.0,27375.0,26000.0,32,32,25937.5,0.7462500000000001,1.0,32,1.0
benign,count,16,32,33781.25,31812.5,35812.5,34000.0,32,32,34437.5,0.6625000000000001,1.0,32,1.0
benign,progressive,2,32,3781.25,3187.5,4375.0,4000.0,32,32,3781.25,0.9671874999999999,1.0,32,1.0
benign,progressive,4,32,8343.75,7500.0,9218.75,8500.0,32,32,8343.75,0.9215625000000001,1.0,32,1.0
benign,progressive,6,32,12687.5,11843.75,13593.75,12500.0,32,32,12687.5,0.878125,1.0,32,1.0
benign,progressive,8,32,16906.25,15750.0,18125.0,17000.0,32,32,17093.75,0.835,1.0,32,1.0
benign,progressive,12,32,25656.25,23968.75,27468.75,25500.0,32,32,25906.25,0.7471875000000001,1.0,32,1.0
benign,progressive,16,32,33437.5,31655.46875,35281.25,34000.0,32,32,33781.25,0.66875,1.0,32,1.0
benign,learned_qrm,2,32,3281.25,2812.5,3750.0,3500.0,32,32,3375.0,0.9715624999999999,1.0,32,1.9930590625
benign,learned_qrm,4,32,4906.25,4343.75,5437.5,5000.0,32,32,4906.25,0.9559375,1.0,32,3.9607818750000003
benign,learned_qrm,6,32,6218.75,5750.0,6718.75,6000.0,32,32,6218.75,0.9428125,1.0,32,5.912855625
benign,learned_qrm,8,32,7343.75,6842.96875,7875.0,7000.0,32,32,7343.75,0.9315625000000001,1.0,32,7.85035625
benign,learned_qrm,12,32,9218.75,8593.75,9843.75,9000.0,32,32,9218.75,0.9128125,1.0,32,11.6860271875
benign,learned_qrm,16,32,10250.0,9750.0,10750.0,10000.0,32,32,10250.0,0.9025000000000001,1.0,32,15.477644062500001
benign,count_replay,2,32,1406.25,1218.75,1593.75,1000.0,32,32,1406.25,0.9909375,1.0,32,9.0
benign,count_replay,4,32,2750.0,2500.0,3031.25,3000.0,32,32,2750.0,0.9775,1.0,32,9.0
benign,count_replay,6,32,4218.75,3906.25,4531.25,4000.0,32,32,4218.75,0.9628125,1.0,32,9.0
benign,count_replay,8,32,5718.75,5312.5,6156.25,6000.0,32,32,5718.75,0.9478125,1.0,32,9.0
benign,count_replay,12,32,8625.0,7875.0,9437.5,8500.0,32,32,8687.5,0.9184375,1.0,32,9.0
benign,count_replay,16,32,11781.25,11156.25,12437.5,12000.0,32,32,11781.25,0.8871875,1.0,32,9.0
benign,goal_reuse,2,32,2593.75,2218.75,3000.0,2000.0,32,32,2593.75,0.9790625,1.0,32,9.0
benign,goal_reuse,4,32,3531.25,3187.5,3843.75,4000.0,32,32,3531.25,0.9696874999999999,1.0,32,9.0
benign,goal_reuse,6,32,4343.75,4062.5,4593.75,4000.0,32,32,4343.75,0.9615625,1.0,32,9.0
benign,goal_reuse,8,32,4718.75,4406.25,5031.25,5000.0,32,32,4718.75,0.9578125,1.0,32,9.0
benign,goal_reuse,12,32,5468.75,5187.5,5750.0,6000.0,32,32,5593.75,0.9496875,1.0,32,9.0
benign,goal_reuse,16,32,6062.5,5718.75,6406.25,6000.0,32,32,6062.5,0.944375,1.0,32,9.0
benign,progressive_goal,2,32,2468.75,2062.5,2906.25,2000.0,32,32,2468.75,0.9803124999999999,1.0,32,9.0
benign,progressive_goal,4,32,3656.25,3281.25,4062.5,4000.0,32,32,3656.25,0.9684375,1.0,32,9.0
benign,progressive_goal,6,32,4312.5,4000.0,4593.75,4000.0,32,32,4312.5,0.961875,1.0,32,9.0
benign,progressive_goal,8,32,4812.5,4500.0,5125.0,5000.0,32,32,4812.5,0.9568749999999999,1.0,32,9.0
benign,progressive_goal,12,32,5593.75,5312.5,5875.0,6000.0,32,32,5593.75,0.9490624999999999,1.0,32,9.0
benign,progressive_goal,16,32,6093.75,5781.25,6406.25,6000.0,32,32,6093.75,0.9440625,1.0,32,9.0
benign,oracle_goal,2,32,2468.75,2031.25,2906.25,2000.0,32,32,2468.75,0.9803125,1.0,32,9.0
benign,oracle_goal,4,32,3281.25,3000.0,3562.5,3000.0,32,32,3281.25,0.9721875,1.0,32,9.0
benign,oracle_goal,6,32,4218.75,3875.0,4531.25,4000.0,32,32,4218.75,0.9628125,1.0,32,9.0
benign,oracle_goal,8,32,4312.5,4000.0,4625.0,4000.0,32,32,4312.5,0.9618749999999999,1.0,32,9.0
benign,oracle_goal,12,32,4875.0,4656.25,5062.5,5000.0,32,32,4968.75,0.955625,1.0,32,9.0
benign,oracle_goal,16,32,5187.5,4937.5,5437.5,5000.0,32,32,5187.5,0.9531249999999999,1.0,32,9.0
benign,oracle_qrm,2,32,2468.75,2031.25,2906.25,2000.0,32,32,2468.75,0.9803125,1.0,32,2.0
benign,oracle_qrm,4,32,3312.5,3000.0,3625.0,3000.0,32,32,3312.5,0.971875,1.0,32,4.0
benign,oracle_qrm,6,32,4187.5,3843.75,4531.25,4000.0,32,32,4187.5,0.963125,1.0,32,6.0
benign,oracle_qrm,8,32,4375.0,4062.5,4687.5,4000.0,32,32,4375.0,0.9612499999999999,1.0,32,8.0
benign,oracle_qrm,12,32,4937.5,4625.0,5218.75,5000.0,32,32,5000.0,0.9553125,1.0,32,12.0
benign,oracle_qrm,16,32,5187.5,4906.25,5468.75,5000.0,32,32,5187.5,0.953125,1.0,32,16.0
deadline,count,2,32,4250.0,3499.2187500000005,5062.5,4000.0,32,32,4312.5,0.9621875,1.0,32,1.0
deadline,count,4,32,9062.5,7843.75,10375.0,9000.0,32,32,9125.0,0.9140625,1.0,32,1.0
deadline,count,6,32,13843.75,12750.0,15125.781249999989,13000.0,32,32,13968.75,0.8659375,1.0,32,1.0
deadline,count,8,32,19000.0,17562.5,20593.75,19000.0,32,32,19125.0,0.814375,1.0,32,1.0
deadline,count,12,32,28687.5,26343.75,31218.75,28500.0,32,32,29187.5,0.7150000000000001,1.0,32,1.0
deadline,count,16,32,37531.25,35093.75,40093.75,37500.0,32,32,38062.5,0.6265624999999999,1.0,32,1.0
deadline,progressive,2,32,4062.5,3281.25,4843.75,4000.0,32,32,4062.5,0.964375,1.0,32,1.0
deadline,progressive,4,32,9031.25,7875.0,10250.0,8500.0,32,32,9250.0,0.9134374999999999,1.0,32,1.0
deadline,progressive,6,32,13718.75,12656.25,14875.0,13000.0,32,32,13718.75,0.8678125000000001,1.0,32,1.0
deadline,progressive,8,32,18375.0,16937.5,19907.03124999999,18000.0,32,32,18500.0,0.8206249999999999,1.0,32,1.0
deadline,progressive,12,32,27812.5,25500.0,30281.25,27500.0,32,32,27875.0,0.72625,1.0,32,1.0
deadline,progressive,16,32,36343.75,34093.75,38750.0,36500.0,32,32,36968.75,0.6378124999999999,1.0,32,1.0
deadline,learned_qrm,2,32,3625.0,2843.75,4437.5,3500.0,32,32,3781.25,0.9678125,1.0,32,1.9911534375
deadline,learned_qrm,4,32,6093.75,5281.25,6907.031249999989,6000.0,32,32,6093.75,0.9440625,1.0,32,3.9422175
deadline,learned_qrm,6,32,7312.5,6781.25,7875.0,7000.0,32,32,7375.0,0.9315625000000001,1.0,32,5.881961875
deadline,learned_qrm,8,32,9218.75,8468.75,10000.0,9000.0,32,32,9343.75,0.9121875,1.0,32,7.7883925000000005
deadline,learned_qrm,12,32,11312.5,10281.25,12437.5,11000.0,32,32,11312.5,0.891875,1.0,32,11.581544999999998
deadline,learned_qrm,16,32,12656.25,11781.25,13625.0,13000.0,32,32,12656.25,0.8784375,1.0,32,15.331974062499999
deadline,count_replay,2,32,1656.25,1406.25,1906.25,2000.0,32,32,1656.25,0.9884375,1.0,32,9.0
deadline,count_replay,4,32,3125.0,2718.75,3593.75,3000.0,32,32,3125.0,0.97375,1.0,32,9.0
deadline,count_replay,6,32,4812.5,4406.25,5250.0,4500.0,32,32,4875.0,0.9565625,1.0,32,9.0
deadline,count_replay,8,32,7000.0,6312.5,7687.5,7000.0,32,32,7000.0,0.935,1.0,32,9.0
deadline,count_replay,12,32,10843.75,9937.5,11812.5,10500.0,32,32,10843.75,0.8965625,1.0,32,9.0
deadline,count_replay,16,32,14343.75,13281.25,15438.281249999989,14000.0,32,32,14343.75,0.8615625,1.0,32,9.0
deadline,goal_reuse,2,32,2875.0,2343.75,3437.5,3000.0,32,32,2937.5,0.9759374999999999,1.0,32,9.0
deadline,goal_reuse,4,32,3968.75,3500.0,4437.5,4000.0,32,32,3968.75,0.9653125,1.0,32,9.0
deadline,goal_reuse,6,32,4593.75,4250.0,4937.5,4500.0,32,32,4593.75,0.9590624999999999,1.0,32,9.0
deadline,goal_reuse,8,32,4937.5,4593.75,5281.25,5000.0,32,32,4937.5,0.955625,1.0,32,9.0
deadline,goal_reuse,12,32,6062.5,5656.25,6531.25,6000.0,32,32,6062.5,0.944375,1.0,32,9.0
deadline,goal_reuse,16,32,6937.5,6531.25,7406.25,7000.0,32,32,6937.5,0.935625,1.0,32,9.0
deadline,progressive_goal,2,32,2812.5,2312.5,3343.75,3000.0,32,32,2875.0,0.9765625,1.0,32,9.0
deadline,progressive_goal,4,32,3937.5,3468.75,4406.25,4000.0,32,32,3937.5,0.965625,1.0,32,9.0
