condition,k,seed,shortest_steps,horizon,optimal_success_bound,threshold90_feasible
benign,4,200,32,96,1.0,True
benign,4,201,24,96,1.0,True
benign,4,202,36,96,1.0,True
benign,4,203,32,96,1.0,True
benign,4,204,24,96,1.0,True
benign,4,205,32,96,1.0,True
benign,4,206,24,96,1.0,True
benign,4,207,36,96,1.0,True
benign,4,208,28,96,1.0,True
benign,4,209,32,96,1.0,True
benign,4,210,36,96,1.0,True
benign,4,211,20,96,1.0,True
benign,4,212,32,96,1.0,True
benign,4,213,32,96,1.0,True
benign,4,214,28,96,1.0,True
benign,4,215,36,96,1.0,True
benign,4,216,32,96,1.0,True
benign,4,217,40,96,1.0,True
benign,4,218,40,96,1.0,True
benign,4,219,32,96,1.0,True
benign,4,220,28,96,1.0,True
benign,4,221,28,96,1.0,True
benign,4,222,40,96,1.0,True
benign,4,223,24,96,1.0,True
benign,4,224,44,96,1.0,True
benign,4,225,28,96,1.0,True
benign,4,226,28,96,1.0,True
benign,4,227,36,96,1.0,True
benign,4,228,24,96,1.0,True
benign,4,229,40,96,1.0,True
benign,4,230,20,96,1.0,True
benign,4,231,32,96,1.0,True
benign,8,200,64,192,1.0,True
benign,8,201,52,192,1.0,True
benign,8,202,68,192,1.0,True
benign,8,203,64,192,1.0,True
benign,8,204,72,192,1.0,True
benign,8,205,56,192,1.0,True
benign,8,206,56,192,1.0,True
benign,8,207,72,192,1.0,True
benign,8,208,44,192,1.0,True
benign,8,209,72,192,1.0,True
benign,8,210,72,192,1.0,True
benign,8,211,52,192,1.0,True
benign,8,212,60,192,1.0,True
benign,8,213,88,192,1.0,True
benign,8,214,60,192,1.0,True
benign,8,215,76,192,1.0,True
benign,8,216,56,192,1.0,True
benign,8,217,68,192,1.0,True
benign,8,218,76,192,1.0,True
benign,8,219,64,192,1.0,True
benign,8,220,56,192,1.0,True
benign,8,221,60,192,1.0,True
benign,8,222,80,192,1.0,True
benign,8,223,52,192,1.0,True
benign,8,224,68,192,1.0,True
benign,8,225,72,192,1.0,True
benign,8,226,60,192,1.0,True
benign,8,227,72,192,1.0,True
benign,8,228,56,192,1.0,True
benign,8,229,84,192,1.0,True
benign,8,230,48,192,1.0,True
benign,8,231,76,192,1.0,True
benign,16,200,132,384,1.0,True
benign,16,201,144,384,1.0,True
benign,16,202,144,384,1.0,True
benign,16,203,144,384,1.0,True
benign,16,204,144,384,1.0,True
benign,16,205,128,384,1.0,True
benign,16,206,120,384,1.0,True
benign,16,207,124,384,1.0,True
benign,16,208,108,384,1.0,True
benign,16,209,148,384,1.0,True
benign,16,210,132,384,1.0,True
benign,16,211,124,384,1.0,True
benign,16,212,124,384,1.0,True
benign,16,213,156,384,1.0,True
benign,16,214,116,384,1.0,True
benign,16,215,148,384,1.0,True
benign,16,216,120,384,1.0,True
benign,16,217,136,384,1.0,True
benign,16,218,132,384,1.0,True
benign,16,219,148,384,1.0,True
benign,16,220,148,384,1.0,True
benign,16,221,132,384,1.0,True
benign,16,222,148,384,1.0,True
benign,16,223,120,384,1.0,True
benign,16,224,132,384,1.0,True
benign,16,225,132,384,1.0,True
benign,16,226,136,384,1.0,True
benign,16,227,140,384,1.0,True
benign,16,228,132,384,1.0,True
benign,16,229,160,384,1.0,True
benign,16,230,120,384,1.0,True
benign,16,231,136,384,1.0,True
deadline,4,200,32,64,1.0,True
deadline,4,201,24,64,1.0,True
deadline,4,202,36,64,1.0,True
deadline,4,203,32,64,1.0,True
deadline,4,204,24,64,1.0,True
deadline,4,205,32,64,1.0,True
deadline,4,206,24,64,1.0,True
deadline,4,207,36,64,1.0,True
deadline,4,208,28,64,1.0,True
deadline,4,209,32,64,1.0,True
deadline,4,210,36,64,1.0,True
deadline,4,211,20,64,1.0,True
deadline,4,212,32,64,1.0,True
deadline,4,213,32,64,1.0,True
deadline,4,214,28,64,1.0,True
deadline,4,215,36,64,1.0,True
deadline,4,216,32,64,1.0,True
deadline,4,217,40,64,1.0,True
deadline,4,218,40,64,1.0,True
deadline,4,219,32,64,1.0,True
deadline,4,220,28,64,1.0,True
deadline,4,221,28,64,1.0,True
deadline,4,222,40,64,1.0,True
deadline,4,223,24,64,1.0,True
deadline,4,224,44,64,1.0,True
deadline,4,225,28,64,1.0,True
deadline,4,226,28,64,1.0,True
deadline,4,227,36,64,1.0,True
deadline,4,228,24,64,1.0,True
deadline,4,229,40,64,1.0,True
deadline,4,230,20,64,1.0,True
deadline,4,231,32,64,1.0,True
deadline,8,200,64,128,1.0,True
deadline,8,201,52,128,1.0,True
deadline,8,202,68,128,1.0,True
deadline,8,203,64,128,1.0,True
deadline,8,204,72,128,1.0,True
deadline,8,205,56,128,1.0,True
deadline,8,206,56,128,1.0,True
deadline,8,207,72,128,1.0,True
deadline,8,208,44,128,1.0,True
deadline,8,209,72,128,1.0,True
deadline,8,210,72,128,1.0,True
deadline,8,211,52,128,1.0,True
deadline,8,212,60,128,1.0,True
deadline,8,213,88,128,1.0,True
deadline,8,214,60,128,1.0,True
deadline,8,215,76,128,1.0,True
deadline,8,216,56,128,1.0,True
deadline,8,217,68,128,1.0,True
deadline,8,218,76,128,1.0,True
