condition,k,baseline,variant,n,cost_delta,delta_low,delta_high,cost_ratio,ratio_low,ratio_high,auc_delta,auc_delta_low,auc_delta_high,wins,ties,losses
benign,4,count_replay,goal_reuse,32,593.75,375.0,812.5,1.2435897435897436,1.144578313253012,1.36986301369863,-0.005937500000000005,-0.008125000000000007,-0.0037500000000000033,0,16,16
benign,8,count_replay,goal_reuse,32,-781.25,-1218.75,-343.75,0.8493975903614458,0.7845303867403315,0.9251700680272109,0.00781249999999999,0.0034375000000000065,0.012187499999999983,17,12,3
benign,16,count_replay,goal_reuse,32,-5812.5,-6500.0,-5156.25,0.4945652173913043,0.46596858638743455,0.5258620689655172,0.05843749999999995,0.05218749999999994,0.06499999999999996,32,0,0
benign,4,count_replay,delayed_goal,32,2250.0,1843.75,2687.5,1.9230769230769231,1.746831223628692,2.142857142857143,-0.02250000000000001,-0.026875000000000003,-0.018437500000000013,0,1,31
benign,8,count_replay,delayed_goal,32,5156.25,4375.0,5906.25,1.9939759036144578,1.8466257668711656,2.1358024691358026,-0.05156249999999997,-0.05906249999999999,-0.043749999999999956,0,2,30
benign,16,count_replay,delayed_goal,32,12312.5,11343.75,13250.0,2.0706521739130435,1.9771963824289405,2.160002624671916,-0.1228125,-0.13218749999999999,-0.11312500000000003,0,0,32
benign,4,count_replay,known_goal,32,1937.5,1562.5,2343.75,1.794871794871795,1.621942979564931,2.0,-0.01937500000000001,-0.023437499999999993,-0.015625000000000014,0,2,30
benign,8,count_replay,known_goal,32,875.0,343.75,1437.5,1.1686746987951808,1.063823637928914,1.294125816993464,-0.00874999999999999,-0.014374999999999985,-0.0034374999999999996,7,8,17
benign,16,count_replay,known_goal,32,-3750.0,-4437.5,-3062.5,0.6739130434782609,0.6308900523560209,0.7214520289946821,0.03781250000000002,0.03125,0.044687500000000026,31,1,0
deadline,4,count_replay,goal_reuse,32,593.75,375.0,843.75,1.2159090909090908,1.1224489795918366,1.337842596117244,-0.005937500000000005,-0.008437500000000007,-0.0037500000000000033,1,14,17
deadline,8,count_replay,goal_reuse,32,-1687.5,-2156.25,-1250.0,0.7272727272727273,0.6767665882967607,0.7836296823138927,0.016874999999999973,0.012499999999999983,0.02156249999999996,28,3,1
deadline,16,count_replay,goal_reuse,32,-7406.25,-8250.0,-6593.75,0.47098214285714285,0.44591539806771596,0.49888155632950176,0.07437500000000001,0.06624999999999998,0.08281250000000001,32,0,0
deadline,4,count_replay,delayed_goal,32,2875.0,2562.5,3218.75,2.0454545454545454,1.9175257731958764,2.2025359219979475,-0.029062499999999995,-0.03249999999999998,-0.025937499999999992,0,0,32
deadline,8,count_replay,delayed_goal,32,5937.5,5125.0,6781.25,1.9595959595959596,1.855202034084662,2.0663790560471975,-0.05937499999999998,-0.0678125,-0.05124999999999998,0,0,32
deadline,16,count_replay,delayed_goal,32,13593.75,12562.5,14562.5,1.9709821428571428,1.9010271810708932,2.0438831544294933,-0.135625,-0.14500000000000002,-0.125625,0,0,32
deadline,4,count_replay,known_goal,32,2531.25,2000.0,3062.5,1.9204545454545454,1.7222222222222223,2.142857142857143,-0.025312499999999988,-0.03062499999999999,-0.020000000000000004,0,2,30
deadline,8,count_replay,known_goal,32,718.75,156.25,1281.25,1.1161616161616161,1.0226244343891402,1.216931216931217,-0.007187499999999989,-0.01281249999999997,-0.0015624999999999875,8,5,19
deadline,16,count_replay,known_goal,32,-5125.0,-6000.0,-4250.0,0.6339285714285714,0.5936808149405772,0.6808047587386018,0.05125000000000004,0.04218750000000004,0.06000000000000005,30,1,1
noisy,4,count_replay,goal_reuse,32,-31.25,-437.5,343.75,0.9925373134328358,0.9027777777777778,1.089430894308943,0.021382474119875004,0.014865037206921878,0.027890511308693747,10,11,11
noisy,8,count_replay,goal_reuse,32,-3312.5,-4156.25,-2562.5,0.6131386861313869,0.56,0.6721991701244814,0.05751209417546876,0.04715658143467502,0.06920632436518596,30,2,0
noisy,16,count_replay,goal_reuse,32,-11687.5,-13000.0,-10437.5,0.37142857142857144,0.3448275862068966,0.3996447602131439,0.12902327954465626,0.11625690349707972,0.1420128063261461,32,0,0
noisy,4,count_replay,delayed_goal,32,2906.25,2218.75,3687.5,1.6940298507462686,1.5202635135135134,1.893939393939394,-0.0072060468421875044,-0.014523368114630461,-0.0003478110822726684,0,3,29
noisy,8,count_replay,delayed_goal,32,8000.0,6562.5,9468.75,1.9343065693430657,1.7882342728758172,2.088237892330077,-0.05408128882409376,-0.06715103746014456,-0.041532451043439854,0,1,31
noisy,16,count_replay,delayed_goal,32,19343.75,17718.75,21031.25,2.0403361344537814,1.958947972197854,2.1230797101449275,-0.17731093084871874,-0.1929282147156664,-0.16137474189474296,0,0,32
noisy,4,count_replay,known_goal,32,2218.75,1437.5,3031.25,1.5298507462686568,1.3478183780450201,1.7328244274809161,0.0008764829914687591,-0.009049439421029674,0.00954435615416406,3,1,28
noisy,8,count_replay,known_goal,32,-93.75,-1093.75,1000.0,0.9890510948905109,0.8805957414293719,1.1220494981066298,0.028989552991000003,0.01818965118687813,0.0402233463988961,17,3,12
noisy,16,count_replay,known_goal,32,-8875.0,-10062.5,-7687.5,0.5226890756302521,0.4865708159019385,0.561525129982669,0.10552955863456251,0.09389219847105394,0.11686529711228438,32,0,0
