condition,k,baseline,variant,n,cost_delta,delta_low,delta_high,cost_ratio,ratio_low,ratio_high,auc_delta,auc_delta_low,auc_delta_high,wins,ties,losses
benign,4,delayed_goal,goal_reuse,32,-1656.25,-2062.5,-1281.25,0.6466666666666666,0.5963827359125945,0.7050359712230215,0.016562500000000004,0.012812499999999998,0.020625000000000004,26,6,0
benign,8,delayed_goal,goal_reuse,32,-5937.5,-6968.75,-4937.5,0.4259818731117825,0.38857142857142857,0.4721311475409836,0.059374999999999956,0.04937499999999996,0.06968749999999996,32,0,0
benign,16,delayed_goal,goal_reuse,32,-18125.0,-19343.75,-16968.75,0.2388451443569554,0.22797927461139897,0.25034204430628654,0.18124999999999994,0.16968749999999994,0.19343749999999996,32,0,0
benign,4,delayed_goal,known_goal,32,-312.5,-656.25,31.25,0.9333333333333333,0.8654942645074224,1.0070921985815602,0.0031249999999999993,-0.0003125000000000003,0.006562500000000002,14,10,8
benign,8,delayed_goal,known_goal,32,-4281.25,-5187.5,-3375.0,0.5861027190332326,0.5362266633253979,0.6470588235294118,0.042812499999999976,0.03374999999999996,0.05187499999999998,30,1,1
benign,16,delayed_goal,known_goal,32,-16062.5,-17312.5,-14843.75,0.32545931758530183,0.3053149241153453,0.3485254691689008,0.16062500000000005,0.14843750000000003,0.17312500000000003,32,0,0
benign,4,delayed_goal,count_replay,32,-2250.0,-2687.5,-1843.75,0.52,0.4666666666666667,0.5724651510122801,0.02250000000000001,0.018437500000000013,0.026875000000000003,31,1,0
benign,8,delayed_goal,count_replay,32,-5156.25,-5906.25,-4375.0,0.5015105740181269,0.4682080924855491,0.5415282392026578,0.05156249999999997,0.043749999999999956,0.05906249999999999,30,2,0
benign,16,delayed_goal,count_replay,32,-12312.5,-13250.0,-11343.75,0.48293963254593175,0.46296240043202375,0.5057666553653161,0.1228125,0.11312500000000003,0.13218749999999999,32,0,0
deadline,4,delayed_goal,goal_reuse,32,-2281.25,-2718.75,-1843.75,0.5944444444444444,0.5511363636363636,0.6444477911646587,0.02312499999999999,0.019062499999999993,0.027187499999999993,31,1,0
deadline,8,delayed_goal,goal_reuse,32,-7625.0,-8718.75,-6593.75,0.3711340206185567,0.34771925316889346,0.4,0.07624999999999996,0.06593749999999995,0.08718749999999996,32,0,0
deadline,16,delayed_goal,goal_reuse,32,-21000.0,-22500.0,-19468.75,0.23895809739524349,0.22693511133525157,0.2517814726840855,0.21000000000000002,0.1946875,0.225,32,0,0
deadline,4,delayed_goal,known_goal,32,-343.75,-906.25,218.75,0.9388888888888889,0.8448180076628353,1.0398117172756904,0.003750000000000007,-0.0018749999999999774,0.009062499999999998,16,5,11
deadline,8,delayed_goal,known_goal,32,-5218.75,-6281.25,-4218.75,0.5695876288659794,0.5240384615384616,0.6195660005011903,0.0521875,0.042187499999999996,0.06281250000000001,32,0,0
deadline,16,delayed_goal,known_goal,32,-18718.75,-20187.5,-17250.0,0.32163080407701017,0.30355220667384286,0.3419289762266264,0.18687500000000004,0.17218750000000005,0.20156250000000003,32,0,0
deadline,4,delayed_goal,count_replay,32,-2875.0,-3218.75,-2562.5,0.4888888888888889,0.4540221070446372,0.521505376344086,0.029062499999999995,0.025937499999999992,0.03249999999999998,32,0,0
deadline,8,delayed_goal,count_replay,32,-5937.5,-6781.25,-5125.0,0.5103092783505154,0.48393831594943704,0.5390248510167721,0.05937499999999998,0.05124999999999998,0.0678125,32,0,0
deadline,16,delayed_goal,count_replay,32,-13593.75,-14562.5,-12562.5,0.507361268403171,0.4892647595491039,0.5260314056047234,0.135625,0.125625,0.14500000000000002,32,0,0
noisy,4,delayed_goal,goal_reuse,32,-2937.5,-3625.781249999999,-2250.0,0.5859030837004405,0.5309734513274337,0.6502247675009388,0.02858852096206251,0.022896402323523454,0.03427459930495079,30,1,1
noisy,8,delayed_goal,goal_reuse,32,-11312.5,-13250.0,-9500.0,0.3169811320754717,0.28721495706555,0.35070140280561124,0.11159338299956252,0.09303043136289299,0.1315289439391133,32,0,0
noisy,16,delayed_goal,goal_reuse,32,-31031.25,-33562.5,-28593.75,0.18204283360790774,0.16997562918760342,0.1937984496124031,0.306334210393375,0.2824743729330586,0.33035061897920937,32,0,0
noisy,4,delayed_goal,known_goal,32,-687.5,-1656.25,281.25,0.9030837004405287,0.7801681034482758,1.0414980982019364,0.008082529833656264,-1.888639442030264e-05,0.015775859778482823,16,9,7
noisy,8,delayed_goal,known_goal,32,-8093.75,-10031.25,-6281.25,0.5113207547169811,0.45166817846816715,0.5826616871983744,0.08307084181509376,0.06627504138214375,0.10149363181680468,30,1,1
noisy,16,delayed_goal,known_goal,32,-28218.75,-30531.25,-25906.25,0.25617792421746294,0.24112862716258662,0.27412501104272796,0.2828404894832812,0.26129332944722583,0.3046179912773094,32,0,0
noisy,4,delayed_goal,count_replay,32,-2906.25,-3687.5,-2218.75,0.5903083700440529,0.528,0.657780701754386,0.0072060468421875044,0.00034781108227266596,0.014523368114630461,29,3,0
noisy,8,delayed_goal,count_replay,32,-8000.0,-9468.75,-6562.5,0.5169811320754717,0.47887264364528964,0.5592108456821666,0.05408128882409376,0.041532451043439854,0.06715103746014456,31,1,0
noisy,16,delayed_goal,count_replay,32,-19343.75,-21031.25,-17718.75,0.4901153212520593,0.47101387446208637,0.5104780801763199,0.17731093084871874,0.16137474189474293,0.19292821471566637,32,0,0
