condition,k,baseline,variant,n,cost_delta,delta_low,delta_high,cost_ratio,ratio_low,ratio_high,auc_delta,auc_delta_low,auc_delta_high,wins,ties,losses
benign,4,goal_reuse,delayed_goal,32,1656.25,1281.25,2062.5,1.5463917525773196,1.4183673469387754,1.676775568181818,-0.016562500000000004,-0.020625000000000004,-0.012812499999999998,0,6,26
benign,8,goal_reuse,delayed_goal,32,5937.5,4937.5,6968.75,2.347517730496454,2.1180555555555554,2.573529411764706,-0.059374999999999956,-0.06968749999999996,-0.04937499999999996,0,0,32
benign,16,goal_reuse,delayed_goal,32,18125.0,16968.75,19343.75,4.186813186813187,3.9945347685101784,4.386363636363637,-0.18124999999999994,-0.19343749999999996,-0.16968749999999994,0,0,32
benign,4,goal_reuse,known_goal,32,1343.75,1000.0,1687.5,1.443298969072165,1.3333333333333333,1.5591397849462365,-0.013437500000000005,-0.016875000000000008,-0.010000000000000009,0,6,26
benign,8,goal_reuse,known_goal,32,1656.25,1218.75,2125.0,1.375886524822695,1.272108843537415,1.4892086330935252,-0.01656249999999998,-0.021249999999999977,-0.012187499999999973,1,6,25
benign,16,goal_reuse,known_goal,32,2062.5,1625.0,2562.5,1.3626373626373627,1.2849162011173185,1.453551912568306,-0.02062499999999993,-0.025624999999999915,-0.016249999999999945,0,1,31
benign,4,goal_reuse,count_replay,32,-593.75,-812.5,-375.0,0.8041237113402062,0.73,0.8736842105263158,0.005937500000000005,0.0037500000000000033,0.008125000000000007,16,16,0
benign,8,goal_reuse,count_replay,32,781.25,343.75,1218.75,1.177304964539007,1.0808823529411764,1.2746478873239437,-0.00781249999999999,-0.012187499999999983,-0.0034375000000000065,3,12,17
benign,16,goal_reuse,count_replay,32,5812.5,5156.25,6500.0,2.021978021978022,1.901639344262295,2.146067415730337,-0.05843749999999995,-0.06499999999999996,-0.05218749999999994,0,0,32
deadline,4,goal_reuse,delayed_goal,32,2281.25,1843.75,2718.75,1.6822429906542056,1.5517160812117305,1.8144329896907216,-0.02312499999999999,-0.027187499999999993,-0.019062499999999993,0,1,31
deadline,8,goal_reuse,delayed_goal,32,7625.0,6593.75,8718.75,2.6944444444444446,2.5,2.875883325460557,-0.07624999999999996,-0.08718749999999996,-0.06593749999999995,0,0,32
deadline,16,goal_reuse,delayed_goal,32,21000.0,19468.75,22500.0,4.184834123222749,3.9716981132075473,4.4065459687877295,-0.21000000000000002,-0.225,-0.1946875,0,0,32
deadline,4,goal_reuse,known_goal,32,1937.5,1406.25,2500.0,1.5794392523364487,1.4368932038834952,1.7250068681318682,-0.019374999999999983,-0.02499999999999997,-0.014062499999999995,0,6,26
deadline,8,goal_reuse,known_goal,32,2406.25,1968.75,2843.75,1.5347222222222223,1.4342105263157894,1.6428571428571428,-0.024062499999999962,-0.028437499999999956,-0.019687499999999986,0,2,30
deadline,16,goal_reuse,known_goal,32,2281.25,1687.5,2937.5,1.3459715639810426,1.25,1.455,-0.02312499999999997,-0.029374999999999984,-0.017187499999999974,1,4,27
deadline,4,goal_reuse,count_replay,32,-593.75,-843.75,-375.0,0.822429906542056,0.7474720893141946,0.8909090909090909,0.005937500000000005,0.0037500000000000033,0.008437500000000007,17,14,1
deadline,8,goal_reuse,count_replay,32,1687.5,1250.0,2156.25,1.375,1.2761129696345856,1.4776143169502804,-0.016874999999999973,-0.02156249999999996,-0.012499999999999983,1,3,28
deadline,16,goal_reuse,count_replay,32,7406.25,6593.75,8250.0,2.123222748815166,2.004483804452274,2.2425778621551475,-0.07437500000000001,-0.08281250000000001,-0.06624999999999998,0,0,32
noisy,4,goal_reuse,delayed_goal,32,2937.5,2250.0,3625.7812499999886,1.7067669172932332,1.5379297283176594,1.8833333333333333,-0.02858852096206251,-0.03427459930495079,-0.022896402323523454,1,1,30
noisy,8,goal_reuse,delayed_goal,32,11312.5,9500.0,13250.0,3.1547619047619047,2.8514285714285714,3.481712826917426,-0.11159338299956252,-0.1315289439391133,-0.09303043136289299,0,0,32
noisy,16,goal_reuse,delayed_goal,32,31031.25,28593.75,33562.5,5.493212669683258,5.16,5.883196345126835,-0.306334210393375,-0.33035061897920937,-0.2824743729330586,0,0,32
noisy,4,goal_reuse,known_goal,32,2250.0,1562.5,3031.25,1.5413533834586466,1.3852459016393444,1.7252062299926125,-0.020505991128406245,-0.027992130305371874,-0.013500904853445319,0,6,26
noisy,8,goal_reuse,known_goal,32,3218.75,2312.5,4250.0,1.6130952380952381,1.4375,1.817610987791343,-0.028522541184468755,-0.03591732842212735,-0.021294769183857042,1,3,28
noisy,16,goal_reuse,known_goal,32,2812.5,2187.5,3531.25,1.407239819004525,1.310806497987349,1.5255813953488373,-0.02349372091009376,-0.029391106129871104,-0.018110719102594545,0,2,30
noisy,4,goal_reuse,count_replay,32,31.25,-343.75,437.5,1.0075187969924813,0.917910447761194,1.1076923076923078,-0.021382474119875004,-0.027890511308693754,-0.014865037206921878,11,11,10
noisy,8,goal_reuse,count_replay,32,3312.5,2562.5,4156.25,1.630952380952381,1.4876543209876543,1.7857142857142858,-0.05751209417546876,-0.06920632436518596,-0.04715658143467502,0,2,30
noisy,16,goal_reuse,count_replay,32,11687.5,10437.5,13000.0,2.6923076923076925,2.502222222222222,2.9,-0.12902327954465626,-0.1420128063261461,-0.11625690349707972,0,0,32
