condition,variant,k,n,mean_capped_first90,ci_low,ci_high,median_capped_first90,solved,stable_solved,mean_capped_stable90,auc,final_success,final90,updates_per_step
benign,goal_reuse,4,32,3031.25,2781.25,3281.25,3000.0,32,32,3031.25,0.9746875,1.0,32,9.0
benign,goal_reuse,8,32,4406.25,4125.0,4718.75,4000.0,32,32,4406.25,0.9609375,1.0,32,9.0
benign,goal_reuse,16,32,5687.5,5468.75,5906.25,6000.0,32,32,5687.5,0.948125,1.0,32,9.0
benign,delayed_goal,4,32,4687.5,4156.25,5250.0,4500.0,32,32,4687.5,0.958125,1.0,32,9.0
benign,delayed_goal,8,32,10343.75,9250.0,11500.0,10000.0,32,32,10343.75,0.9015625,1.0,32,9.0
benign,delayed_goal,16,32,23812.5,22500.0,25125.0,24000.0,32,32,23812.5,0.766875,1.0,32,9.0
benign,known_goal,4,32,4375.0,3937.5,4843.75,4000.0,32,32,4375.0,0.9612499999999999,1.0,32,4.5888478125
benign,known_goal,8,32,6062.5,5500.0,6656.25,6000.0,32,32,6062.5,0.944375,1.0,32,6.5700931250000005
benign,known_goal,16,32,7750.0,7312.5,8218.75,7500.0,32,32,7750.0,0.9275,1.0,32,8.119675625
benign,count_replay,4,32,2437.5,2125.0,2718.75,2500.0,32,32,2437.5,0.980625,1.0,32,9.0
benign,count_replay,8,32,5187.5,4656.25,5750.0,5000.0,32,32,5187.5,0.9531249999999999,1.0,32,9.0
benign,count_replay,16,32,11500.0,10812.5,12218.75,11000.0,32,32,11562.5,0.8896875,1.0,32,9.0
deadline,goal_reuse,4,32,3343.75,3000.0,3687.5,3000.0,32,32,3343.75,0.9715625,1.0,32,9.0
deadline,goal_reuse,8,32,4500.0,4125.0,4875.0,5000.0,32,32,4500.0,0.96,1.0,32,9.0
deadline,goal_reuse,16,32,6593.75,6250.0,6968.75,7000.0,32,32,6593.75,0.9390625,1.0,32,9.0
deadline,delayed_goal,4,32,5625.0,5000.0,6250.0,5500.0,32,32,5687.5,0.9484375,1.0,32,9.0
deadline,delayed_goal,8,32,12125.0,10812.5,13468.75,12000.0,32,32,12125.0,0.88375,1.0,32,9.0
deadline,delayed_goal,16,32,27593.75,25874.21875,29281.25,27500.0,32,32,27593.75,0.7290625,1.0,32,9.0
deadline,known_goal,4,32,5281.25,4562.5,6062.5,5000.0,32,32,5281.25,0.9521875,1.0,32,4.57720125
deadline,known_goal,8,32,6906.25,6312.5,7500.0,7000.0,32,32,6906.25,0.9359375,1.0,32,6.5511159375000005
deadline,known_goal,16,32,8875.0,8343.75,9437.5,9000.0,32,32,8937.5,0.9159375000000001,1.0,32,8.0955565625
deadline,count_replay,4,32,2750.0,2343.75,3156.25,3000.0,32,32,2750.0,0.9775,1.0,32,9.0
deadline,count_replay,8,32,6187.5,5562.5,6843.75,6000.0,32,32,6187.5,0.943125,1.0,32,9.0
deadline,count_replay,16,32,14000.0,13031.25,15000.0,13500.0,32,32,14062.5,0.8646875,1.0,32,9.0
noisy,goal_reuse,4,32,4156.25,3656.25,4656.25,4000.0,32,32,4218.75,0.9565732312195938,0.9815602624418749,31,9.0
noisy,goal_reuse,8,32,5250.0,4812.5,5687.5,5000.0,32,32,5375.0,0.9497644971559376,0.9994555687047499,32,9.0
noisy,goal_reuse,16,32,6906.25,6500.0,7281.25,7000.0,32,32,7031.25,0.931709107499625,0.9983550303484687,32,9.0
noisy,delayed_goal,4,32,7093.75,6156.25,8062.5,7000.0,32,32,7156.25,0.9279847102575313,0.9952684185931562,31,9.0
noisy,delayed_goal,8,32,16562.5,14437.5,18687.5,15500.0,32,32,16562.5,0.838171114156375,0.9978228079797813,32,9.0
noisy,delayed_goal,16,32,37937.5,35281.25,40593.75,36000.0,32,32,37937.5,0.62537489710625,0.9999778158850312,32,9.0
noisy,known_goal,4,32,6406.25,5468.75,7437.5,6000.0,32,32,6750.0,0.9360672400911876,0.9973636011125937,32,4.568645
noisy,known_goal,8,32,8468.75,7437.5,9593.75,8000.0,32,32,8687.5,0.9212419559714689,0.9921093277004376,30,6.5299531250000005
noisy,known_goal,16,32,9718.75,9062.5,10406.25,9500.0,32,32,9906.25,0.9082153865895313,0.9999911286606563,32,8.0695928125
noisy,count_replay,4,32,4187.5,3687.5,4687.5,4000.0,32,32,4312.5,0.9351907570997187,0.9610891862245312,27,9.0
noisy,count_replay,8,32,8562.5,7593.75,9593.75,8000.0,32,32,8750.0,0.8922524029804688,0.9441867050212813,26,9.0
noisy,count_replay,16,32,18593.75,17250.0,20031.25,18000.0,32,32,19156.25,0.8026858279549687,0.9886248006480625,32,9.0
