stage6_early_use: 20/1152, elapsed 0.1s
stage6_early_use: 40/1152, elapsed 0.2s
stage6_early_use: 60/1152, elapsed 0.3s
stage6_early_use: 80/1152, elapsed 0.4s
stage6_early_use: 100/1152, elapsed 0.5s
stage6_early_use: 120/1152, elapsed 0.6s
stage6_early_use: 140/1152, elapsed 0.6s
stage6_early_use: 160/1152, elapsed 0.7s
stage6_early_use: 180/1152, elapsed 0.8s
stage6_early_use: 200/1152, elapsed 1.0s
stage6_early_use: 220/1152, elapsed 1.1s
stage6_early_use: 240/1152, elapsed 1.2s
stage6_early_use: 260/1152, elapsed 1.4s
stage6_early_use: 280/1152, elapsed 1.5s
stage6_early_use: 300/1152, elapsed 1.6s
stage6_early_use: 320/1152, elapsed 1.7s
stage6_early_use: 340/1152, elapsed 1.8s
stage6_early_use: 360/1152, elapsed 2.0s
stage6_early_use: 380/1152, elapsed 2.1s
stage6_early_use: 400/1152, elapsed 2.2s
stage6_early_use: 420/1152, elapsed 2.2s
stage6_early_use: 440/1152, elapsed 2.3s
stage6_early_use: 460/1152, elapsed 2.4s
stage6_early_use: 480/1152, elapsed 2.5s
stage6_early_use: 500/1152, elapsed 2.6s
stage6_early_use: 520/1152, elapsed 2.7s
stage6_early_use: 540/1152, elapsed 2.8s
stage6_early_use: 560/1152, elapsed 2.9s
stage6_early_use: 580/1152, elapsed 3.0s
stage6_early_use: 600/1152, elapsed 3.1s
stage6_early_use: 620/1152, elapsed 3.3s
stage6_early_use: 640/1152, elapsed 3.4s
stage6_early_use: 660/1152, elapsed 3.5s
stage6_early_use: 680/1152, elapsed 3.6s
stage6_early_use: 700/1152, elapsed 3.8s
stage6_early_use: 720/1152, elapsed 3.9s
stage6_early_use: 740/1152, elapsed 4.0s
stage6_early_use: 760/1152, elapsed 4.1s
stage6_early_use: 780/1152, elapsed 4.2s
stage6_early_use: 800/1152, elapsed 4.4s
stage6_early_use: 820/1152, elapsed 4.8s
stage6_early_use: 840/1152, elapsed 5.6s
stage6_early_use: 860/1152, elapsed 7.1s
stage6_early_use: 880/1152, elapsed 7.5s
stage6_early_use: 900/1152, elapsed 7.7s
stage6_early_use: 920/1152, elapsed 8.1s
stage6_early_use: 940/1152, elapsed 9.3s
stage6_early_use: 960/1152, elapsed 10.7s
stage6_early_use: 980/1152, elapsed 11.0s
stage6_early_use: 1000/1152, elapsed 11.3s
stage6_early_use: 1020/1152, elapsed 11.9s
stage6_early_use: 1040/1152, elapsed 13.3s
stage6_early_use: 1060/1152, elapsed 14.5s
stage6_early_use: 1080/1152, elapsed 14.7s
stage6_early_use: 1100/1152, elapsed 15.0s
stage6_early_use: 1120/1152, elapsed 15.5s
stage6_early_use: 1140/1152, elapsed 16.9s
stage6_early_use: 1152/1152, elapsed 17.8s
