condition,variant,k,n,mean_capped_first90,ci_low,ci_high,median_capped_first90,solved,stable_solved,mean_capped_stable90,auc,final_success,final90,updates_per_step,state_accuracy,junction_state_accuracy,feature_states,true_states,next_goal_accuracy,next_goal_coverage,wrong_binding_rate,skill_target_success_rate,skill_other_progress_rate,both_branches_discovered,steps_until_both_success,prefix_until_both_success,frontier_until_both_success,best_single_branch_success,stochastic_final_success_e005,stochastic_final_success_e02
balanced,count_replay_e0.005,4,12,80000.0,80000.0,80000.0,80000.0,0,0,80000.0,0.06041666666666665,0.08333333333333333,0,6.0,0.75,0.5,4.0,6.0,,,,,,4,11498.75,10470.5,1028.25,0.16666666666666666,0.1233020137901028,0.23762063237592382
balanced,count_replay_e0.005,8,12,80000.0,80000.0,80000.0,80000.0,0,0,80000.0,0.02786458333333333,0.041666666666666664,0,6.0,0.875,0.5,8.0,10.0,,,,,,1,12220.0,10815.0,1405.0,0.08333333333333333,0.0675905249189555,0.10050155200954186
balanced,count_replay_e0.005,12,12,80000.0,80000.0,80000.0,80000.0,0,0,80000.0,0.013541666666666669,0.0,0,6.0,0.916666666667,0.5,12.0,14.0,,,,,,3,29872.666666666668,26459.0,3413.6666666666665,0.0,0.03175747054200072,0.08049059409292579
balanced,count_replay_e0.02,4,12,80000.0,80000.0,80000.0,80000.0,0,0,80000.0,0.05885416666666667,0.08333333333333333,0,6.0,0.75,0.5,4.0,6.0,,,,,,2,2675.0,1882.5,792.5,0.16666666666666666,0.11521357894574115,0.1977236312602555
balanced,count_replay_e0.02,8,12,80000.0,80000.0,80000.0,80000.0,0,0,80000.0,0.02734375,0.041666666666666664,0,6.0,0.875,0.5,8.0,10.0,,,,,,0,,,,0.08333333333333333,0.11489900849831103,0.20806058593238633
balanced,count_replay_e0.02,12,12,80000.0,80000.0,80000.0,80000.0,0,0,80000.0,0.010416666666666666,0.0,0,6.0,0.916666666667,0.5,12.0,14.0,,,,,,1,14452.0,11650.0,2802.0,0.0,0.002026788168404979,0.027424849646660854
balanced,count_replay_e0.05,4,12,80000.0,80000.0,80000.0,80000.0,0,0,80000.0,0.05364583333333333,0.0,0,6.0,0.75,0.5,4.0,6.0,,,,,,2,19436.5,18606.5,830.0,0.0,0.037992976374615316,0.09369574176011498
balanced,count_replay_e0.05,8,12,80000.0,80000.0,80000.0,80000.0,0,0,80000.0,0.01875,0.0,0,6.0,0.875,0.5,8.0,10.0,,,,,,2,9316.0,7378.5,1937.5,0.0,0.04307383645312094,0.10575750782702527
balanced,count_replay_e0.05,12,12,80000.0,80000.0,80000.0,80000.0,0,0,80000.0,0.010416666666666666,0.0,0,6.0,0.916666666667,0.5,12.0,14.0,,,,,,2,45240.0,42073.5,3166.5,0.0,0.013787628834194904,0.05966749923259238
balanced,count_replay_e0.2,4,12,80000.0,80000.0,80000.0,80000.0,0,0,80000.0,0.07239583333333334,0.0,0,6.0,0.75,0.5,4.0,6.0,,,,,,3,9397.666666666666,5018.333333333333,4379.333333333333,0.0,0.012319102435751668,0.06793483020576228
balanced,count_replay_e0.2,8,12,80000.0,80000.0,80000.0,80000.0,0,0,80000.0,0.015364583333333333,0.041666666666666664,0,6.0,0.875,0.5,8.0,10.0,,,,,,0,,,,0.08333333333333333,0.10021648435494988,0.16190363876763877
balanced,count_replay_e0.2,12,12,80000.0,80000.0,80000.0,80000.0,0,0,80000.0,0.007812500000000002,0.0,0,6.0,0.916666666667,0.5,12.0,14.0,,,,,,5,32409.0,25008.8,7400.2,0.0,0.04738537859911845,0.10494703365098779
balanced,history_replay_e0.005,4,12,3750.0,3416.6666666666665,4083.3333333333335,4000.0,12,12,3750.0,0.9630208333333333,1.0,12,6.0,1.0,1.0,7.0,6.0,,,,,,12,2408.8333333333335,936.5,1472.3333333333333,1.0,,
balanced,history_replay_e0.005,8,12,10583.333333333334,10081.250000000002,11083.333333333334,11000.0,12,12,10583.333333333334,0.8802083333333334,1.0,12,6.0,1.0,1.0,15.0,10.0,,,,,,12,8072.416666666667,4683.333333333333,3389.0833333333335,1.0,,
balanced,history_replay_e0.005,12,12,17500.0,16833.333333333332,18166.666666666668,18000.0,12,12,17500.0,0.796875,1.0,12,6.0,1.0,1.0,23.0,14.0,,,,,,12,14134.083333333334,8919.583333333334,5214.5,1.0,,
balanced,history_replay_e0.02,4,12,3833.3333333333335,3583.3333333333335,4000.0,4000.0,12,12,3833.3333333333335,0.9609375000000001,1.0,12,6.0,1.0,1.0,7.0,6.0,,,,,,12,2553.0,1016.1666666666666,1536.8333333333333,1.0,,
balanced,history_replay_e0.02,8,12,10583.333333333334,10166.666666666666,11000.0,11000.0,12,12,10583.333333333334,0.8802083333333334,1.0,12,6.0,1.0,1.0,15.0,10.0,,,,,,12,8135.416666666667,4902.75,3232.6666666666665,1.0,,
balanced,history_replay_e0.02,12,12,18083.333333333332,17500.0,18583.333333333332,18000.0,12,12,18083.333333333332,0.7885416666666667,1.0,12,6.0,1.0,1.0,23.0,14.0,,,,,,12,14673.25,9420.75,5252.5,1.0,,
balanced,history_replay_e0.05,4,12,3833.3333333333335,3500.0,4166.666666666667,4000.0,12,12,3833.3333333333335,0.9630208333333335,1.0,12,6.0,1.0,1.0,7.0,6.0,,,,,,12,2479.5,1011.4166666666666,1468.0833333333333,1.0,,
balanced,history_replay_e0.05,8,12,10750.0,10250.0,11250.0,11000.0,12,12,10750.0,0.8776041666666666,1.0,12,6.0,1.0,1.0,15.0,10.0,,,,,,12,8085.666666666667,4607.25,3478.4166666666665,1.0,,
balanced,history_replay_e0.05,12,12,18333.333333333332,17916.666666666668,18750.0,18000.0,12,12,18333.333333333332,0.7854166666666668,1.0,12,6.0,1.0,1.0,23.0,14.0,,,,,,12,15333.916666666666,9908.75,5425.166666666667,1.0,,
balanced,history_replay_e0.2,4,12,4333.333333333333,4083.3333333333335,4583.333333333333,4000.0,12,12,4333.333333333333,0.9557291666666666,1.0,12,6.0,1.0,1.0,7.0,6.0,,,,,,12,2843.0,1294.25,1548.75,1.0,,
balanced,history_replay_e0.2,8,12,11833.333333333334,11250.0,12500.0,11500.0,12,12,11833.333333333334,0.8630208333333332,1.0,12,6.0,1.0,1.0,15.0,10.0,,,,,,12,9278.166666666666,5842.166666666667,3436.0,1.0,,
balanced,history_replay_e0.2,12,12,20833.333333333332,20333.333333333332,21333.333333333332,21000.0,12,12,20833.333333333332,0.7578125,1.0,12,6.0,1.0,1.0,23.0,14.0,,,,,,12,17515.833333333332,11732.75,5783.083333333333,1.0,,
balanced,hand_replay_e0.005,4,12,3000.0,3000.0,3000.0,3000.0,12,12,3000.0,0.96875,1.0,12,6.0,1.0,1.0,6.0,6.0,,,,,,12,2257.3333333333335,852.3333333333334,1405.0,1.0,,
balanced,hand_replay_e0.005,8,12,6333.333333333333,6000.0,6666.666666666667,6000.0,12,12,6333.333333333333,0.9270833333333334,1.0,12,6.0,1.0,1.0,10.0,10.0,,,,,,12,5371.083333333333,2531.75,2839.3333333333335,1.0,,
balanced,hand_replay_e0.005,12,12,10333.333333333334,10083.333333333334,10583.333333333334,10000.0,12,12,10333.333333333334,0.8770833333333332,1.0,12,6.0,1.0,1.0,14.0,14.0,,,,,,12,8805.083333333334,4278.916666666667,4526.166666666667,1.0,,
balanced,hand_replay_e0.02,4,12,3166.6666666666665,3000.0,3416.6666666666665,3000.0,12,12,3166.6666666666665,0.9671875000000001,1.0,12,6.0,1.0,1.0,6.0,6.0,,,,,,12,2268.1666666666665,860.4166666666666,1407.75,1.0,,
balanced,hand_replay_e0.02,8,12,6416.666666666667,6000.0,6750.0,6500.0,12,12,6416.666666666667,0.9260416666666665,1.0,12,6.0,1.0,1.0,10.0,10.0,,,,,,12,5074.25,2356.5,2717.75,1.0,,
balanced,hand_replay_e0.02,12,12,10500.0,10083.333333333334,10916.666666666666,10500.0,12,12,10500.0,0.875,1.0,12,6.0,1.0,1.0,14.0,14.0,,,,,,12,9069.166666666666,4603.75,4465.416666666667,1.0,,
balanced,hand_replay_e0.05,4,12,3000.0,3000.0,3000.0,3000.0,12,12,3000.0,0.96875,1.0,12,6.0,1.0,1.0,6.0,6.0,,,,,,12,2245.25,885.9166666666666,1359.3333333333333,1.0,,
balanced,hand_replay_e0.05,8,12,6750.0,6500.0,7000.0,7000.0,12,12,6750.0,0.9218749999999999,1.0,12,6.0,1.0,1.0,10.0,10.0,,,,,,12,5572.0,2650.6666666666665,2921.3333333333335,1.0,,
balanced,hand_replay_e0.05,12,12,10750.0,10416.666666666666,11083.333333333334,11000.0,12,12,10750.0,0.8718749999999998,1.0,12,6.0,1.0,1.0,14.0,14.0,,,,,,12,9259.75,4660.083333333333,4599.666666666667,1.0,,
