development: 20/1152, elapsed 0.2s
development: 40/1152, elapsed 0.3s
development: 60/1152, elapsed 0.4s
development: 80/1152, elapsed 0.6s
development: 100/1152, elapsed 0.7s
development: 120/1152, elapsed 0.8s
development: 140/1152, elapsed 1.0s
development: 160/1152, elapsed 1.1s
development: 180/1152, elapsed 1.3s
development: 200/1152, elapsed 1.5s
development: 220/1152, elapsed 1.7s
development: 240/1152, elapsed 1.9s
development: 260/1152, elapsed 2.1s
development: 280/1152, elapsed 2.3s
development: 300/1152, elapsed 2.5s
development: 320/1152, elapsed 2.6s
development: 340/1152, elapsed 2.7s
development: 360/1152, elapsed 2.9s
development: 380/1152, elapsed 3.0s
development: 400/1152, elapsed 3.1s
development: 420/1152, elapsed 3.3s
development: 440/1152, elapsed 3.4s
development: 460/1152, elapsed 3.6s
development: 480/1152, elapsed 3.8s
development: 500/1152, elapsed 4.0s
development: 520/1152, elapsed 4.2s
development: 540/1152, elapsed 4.4s
development: 560/1152, elapsed 4.6s
development: 580/1152, elapsed 4.8s
development: 600/1152, elapsed 5.0s
development: 620/1152, elapsed 5.2s
development: 640/1152, elapsed 5.3s
development: 660/1152, elapsed 5.5s
development: 680/1152, elapsed 5.7s
development: 700/1152, elapsed 5.9s
development: 720/1152, elapsed 6.1s
development: 740/1152, elapsed 6.3s
development: 760/1152, elapsed 6.5s
development: 780/1152, elapsed 6.7s
development: 800/1152, elapsed 6.9s
development: 820/1152, elapsed 7.1s
development: 840/1152, elapsed 7.3s
development: 860/1152, elapsed 7.5s
development: 880/1152, elapsed 7.6s
development: 900/1152, elapsed 7.7s
development: 920/1152, elapsed 7.8s
development: 940/1152, elapsed 7.9s
development: 960/1152, elapsed 8.0s
development: 980/1152, elapsed 8.1s
development: 1000/1152, elapsed 8.2s
development: 1020/1152, elapsed 8.4s
development: 1040/1152, elapsed 8.6s
development: 1060/1152, elapsed 8.8s
development: 1080/1152, elapsed 9.0s
development: 1100/1152, elapsed 9.2s
development: 1120/1152, elapsed 9.4s
development: 1140/1152, elapsed 9.6s
development: 1152/1152, elapsed 9.7s
