condition,k,baseline,variant,n,cost_delta,delta_low,delta_high,cost_ratio,ratio_low,ratio_high,auc_delta,auc_delta_low,auc_delta_high,wins,ties,losses
h16,4,count_replay,delayed_skill,32,-92406.25,-92625.0,-92187.5,0.0759375,0.07375,0.078125,0.8526562500000001,0.84640625,0.858984375,32,0,0
h16,8,count_replay,delayed_skill,32,-79250.0,-79500.0,-79000.0,0.2075,0.205,0.21,0.76265625,0.75828125,0.7674218749999999,32,0,0
h16,12,count_replay,delayed_skill,32,-64187.5,-64468.75,-63906.25,0.358125,0.3553125,0.3609375,0.6240625,0.61828125,0.6296875,32,0,0
h16,4,count_replay,hand_replay,32,-96812.5,-96937.5,-96656.25,0.031875,0.030625,0.0334375,0.8971874999999999,0.8909375,0.9032031249999999,32,0,0
h16,8,count_replay,hand_replay,32,-92937.5,-93156.25,-92718.75,0.070625,0.0684375,0.0728125,0.8995312500000001,0.8953125,0.9039082031250001,32,0,0
h16,12,count_replay,hand_replay,32,-88250.0,-88531.25,-87968.75,0.1175,0.1146875,0.1203125,0.8646875,0.8601562500000001,0.8690625000000001,32,0,0
h16,4,count_replay,history_replay,32,-96093.75,-96218.75,-95968.75,0.0390625,0.0378125,0.0403125,0.8915625,0.885546875,0.897265625,32,0,0
h16,8,count_replay,history_replay,32,-88437.5,-88750.0,-88125.0,0.115625,0.1125,0.11875,0.8600000000000001,0.855466796875,0.864453125,32,0,0
h16,12,count_replay,history_replay,32,-79937.5,-80250.0,-79656.25,0.200625,0.1975,0.2034375,0.7889062499999999,0.78453125,0.7931250000000001,32,0,0
h16,4,count_replay,history_skill,32,-95750.0,-95937.5,-95562.5,0.0425,0.040625,0.044375,0.88796875,0.8819531249999999,0.89390625,32,0,0
h16,8,count_replay,history_skill,32,-92625.0,-92937.5,-92312.5,0.07375,0.070625,0.076875,0.901875,0.8967968749999999,0.906875,32,0,0
h16,12,count_replay,history_skill,32,-89656.25,-89937.5,-89375.0,0.1034375,0.100625,0.10625,0.8856250000000001,0.87984375,0.8909374999999999,32,0,0
h16,4,count_replay,immediate_skill,32,-95750.0,-95937.5,-95562.5,0.0425,0.040625,0.044375,0.88796875,0.8819531249999999,0.89390625,32,0,0
h16,8,count_replay,immediate_skill,32,-92625.0,-92937.5,-92312.5,0.07375,0.070625,0.076875,0.901875,0.8967968749999999,0.906875,32,0,0
h16,12,count_replay,immediate_skill,32,-89656.25,-89937.5,-89375.0,0.1034375,0.100625,0.10625,0.8856250000000001,0.87984375,0.8909374999999999,32,0,0
h16,4,count_replay,last_event_replay,32,0.0,0.0,0.0,1.0,1.0,1.0,0.010000000000000002,0.002890625000000001,0.017031249999999998,0,32,0
h16,8,count_replay,last_event_replay,32,0.0,0.0,0.0,1.0,1.0,1.0,0.0015625000000000003,-0.00453125,0.007580078124999973,0,32,0
h16,12,count_replay,last_event_replay,32,0.0,0.0,0.0,1.0,1.0,1.0,-0.0024218750000000004,-0.008125,0.0031249999999999997,0,32,0
h16,4,count_replay,learned_replay,32,-96093.75,-96218.75,-95968.75,0.0390625,0.0378125,0.0403125,0.8915625,0.885546875,0.897265625,32,0,0
h16,8,count_replay,learned_replay,32,-88437.5,-88750.0,-88125.0,0.115625,0.1125,0.11875,0.8600000000000001,0.855466796875,0.864453125,32,0,0
h16,12,count_replay,learned_replay,32,-79937.5,-80250.0,-79656.25,0.200625,0.1975,0.2034375,0.7889062499999999,0.78453125,0.7931250000000001,32,0,0
h16,4,count_replay,oracle_skill,32,-97000.0,-97000.0,-97000.0,0.03,0.03,0.03,0.89859375,0.8925000000000001,0.904453125,32,0,0
h16,8,count_replay,oracle_skill,32,-97031.25,-97093.75,-97000.0,0.0296875,0.0290625,0.03,0.9409375,0.9368749999999999,0.9451562499999999,32,0,0
h16,12,count_replay,oracle_skill,32,-97000.0,-97000.0,-97000.0,0.03,0.03,0.03,0.9525,0.94796875,0.95671875,32,0,0
h24,4,count_replay,delayed_skill,32,-93406.25,-93562.5,-93250.0,0.0659375,0.064375,0.0675,0.893671875,0.887890625,0.89890625,32,0,0
h24,8,count_replay,delayed_skill,32,-82343.75,-82625.78125,-82062.5,0.1765625,0.1737421875,0.179375,0.8056249999999999,0.8010937499999999,0.8103164062499999,32,0,0
h24,12,count_replay,delayed_skill,32,-70281.25,-70562.5,-70031.25,0.2971875,0.294375,0.2996875,0.695859375,0.6921875,0.699298828125,32,0,0
h24,4,count_replay,hand_replay,32,-96937.5,-97062.5,-96812.5,0.030625,0.029375,0.031875,0.929609375,0.9232812499999999,0.93546875,32,0,0
h24,8,count_replay,hand_replay,32,-93781.25,-94000.0,-93562.5,0.0621875,0.06,0.064375,0.9199999999999999,0.9159375000000001,0.9239062499999999,32,0,0
h24,12,count_replay,hand_replay,32,-90281.25,-90593.75,-89968.75,0.0971875,0.0940625,0.1003125,0.8958593749999999,0.892109375,0.899765625,32,0,0
h24,4,count_replay,history_replay,32,-96531.25,-96687.5,-96375.0,0.0346875,0.033125,0.03625,0.926796875,0.92078125,0.932421875,32,0,0
h24,8,count_replay,history_replay,32,-89968.75,-90218.75,-89718.75,0.1003125,0.0978125,0.1028125,0.88625,0.88234375,0.89015625,32,0,0
h24,12,count_replay,history_replay,32,-83718.75,-83968.75,-83468.75,0.1628125,0.1603125,0.1653125,0.8350781249999999,0.83109375,0.839140625,32,0,0
h24,4,count_replay,history_skill,32,-96875.0,-96968.75,-96750.0,0.03125,0.0303125,0.0325,0.9291406249999999,0.9234374999999999,0.934609375,32,0,0
h24,8,count_replay,history_skill,32,-94656.25,-94906.25,-94437.5,0.0534375,0.0509375,0.055625,0.9325,0.92828125,0.93671875,32,0,0
h24,12,count_replay,history_skill,32,-92625.0,-92906.25,-92312.5,0.07375,0.0709375,0.076875,0.923203125,0.91890625,0.927265625,32,0,0
h24,4,count_replay,immediate_skill,32,-96875.0,-96968.75,-96750.0,0.03125,0.0303125,0.0325,0.9291406249999999,0.9234374999999999,0.934609375,32,0,0
h24,8,count_replay,immediate_skill,32,-94656.25,-94906.25,-94437.5,0.0534375,0.0509375,0.055625,0.9325,0.92828125,0.93671875,32,0,0
h24,12,count_replay,immediate_skill,32,-92625.0,-92906.25,-92312.5,0.07375,0.0709375,0.076875,0.923203125,0.91890625,0.927265625,32,0,0
h24,4,count_replay,last_event_replay,32,0.0,0.0,0.0,1.0,1.0,1.0,0.00796875,0.0014843749999999994,0.014374999999999999,0,32,0
h24,8,count_replay,last_event_replay,32,0.0,0.0,0.0,1.0,1.0,1.0,0.0030468749999999992,-0.002968749999999999,0.008828125,0,32,0
h24,12,count_replay,last_event_replay,32,0.0,0.0,0.0,1.0,1.0,1.0,-0.0014843750000000002,-0.00546875,0.0026562500000000006,0,32,0
h24,4,count_replay,learned_replay,32,-96531.25,-96687.5,-96375.0,0.0346875,0.033125,0.03625,0.926796875,0.92078125,0.932421875,32,0,0
h24,8,count_replay,learned_replay,32,-89968.75,-90218.75,-89718.75,0.1003125,0.0978125,0.1028125,0.88625,0.88234375,0.89015625,32,0,0
h24,12,count_replay,learned_replay,32,-83718.75,-83968.75,-83468.75,0.1628125,0.1603125,0.1653125,0.8350781249999999,0.83109375,0.839140625,32,0,0
h24,4,count_replay,oracle_skill,32,-97031.25,-97093.75,-97000.0,0.0296875,0.0290625,0.03,0.930703125,0.9246874999999999,0.9364062499999999,32,0,0
h24,8,count_replay,oracle_skill,32,-97000.0,-97000.0,-97000.0,0.03,0.03,0.03,0.9524999999999999,0.9490625,0.95578125,32,0,0
h24,12,count_replay,oracle_skill,32,-97000.0,-97000.0,-97000.0,0.03,0.03,0.03,0.963984375,0.9609374999999999,0.966953125,32,0,0
