condition,k,baseline,variant,n,cost_delta,delta_low,delta_high,cost_ratio,ratio_low,ratio_high,auc_delta,auc_delta_low,auc_delta_high,wins,ties,losses
h16,4,delayed_skill,count_replay,32,92406.25,92187.5,92625.0,13.168724279835391,12.8,13.559322033898304,-0.8526562500000001,-0.858984375,-0.84640625,0,0,32
h16,8,delayed_skill,count_replay,32,79250.0,79000.0,79500.0,4.819277108433735,4.761904761904762,4.878048780487805,-0.76265625,-0.7674218749999999,-0.75828125,0,0,32
h16,12,delayed_skill,count_replay,32,64187.5,63906.25,64468.75,2.7923211169284468,2.7705627705627704,2.8144239226033423,-0.6240625,-0.6296875,-0.61828125,0,0,32
h16,4,delayed_skill,hand_replay,32,-4406.25,-4625.781249999999,-4156.25,0.41975308641975306,0.4,0.44166666666666665,0.04453124999999993,0.04203124999999994,0.046718749999999934,32,0,0
h16,8,delayed_skill,hand_replay,32,-13687.5,-14000.0,-13343.75,0.34036144578313254,0.32934131736526945,0.3514328808446455,0.13687500000000002,0.13343750000000001,0.14,32,0,0
h16,12,delayed_skill,hand_replay,32,-24062.5,-24500.0,-23656.25,0.32809773123909247,0.3191673894189072,0.33653846153846156,0.24062499999999998,0.2365625,0.245,32,0,0
h16,4,delayed_skill,history_replay,32,-3687.5,-3906.25,-3468.75,0.51440329218107,0.4940239043824701,0.5346938775510204,0.03890624999999993,0.03656249999999993,0.04109374999999993,32,0,0
h16,8,delayed_skill,history_replay,32,-9187.5,-9562.5,-8812.5,0.5572289156626506,0.5408618127786032,0.5733532934131736,0.09734374999999998,0.09359374999999999,0.10109374999999998,32,0,0
h16,12,delayed_skill,history_replay,32,-15750.0,-16250.0,-15343.75,0.5602094240837696,0.5487804878048781,0.5694200351493849,0.16484375,0.16078125,0.16953125,32,0,0
h16,4,delayed_skill,history_skill,32,-3343.75,-3656.25,-3031.25,0.5596707818930041,0.5284552845528455,0.5941422594142259,0.03531249999999993,0.03203124999999993,0.03828124999999992,32,0,0
h16,8,delayed_skill,history_skill,32,-13375.0,-13781.25,-13000.0,0.35542168674698793,0.3398203592814371,0.3705385846660903,0.13921874999999995,0.1359375,0.14249999999999996,32,0,0
h16,12,delayed_skill,history_skill,32,-25468.75,-25875.0,-25062.5,0.28883071553228623,0.2807323452484743,0.29729788128664536,0.26156250000000003,0.25765625000000003,0.265625,32,0,0
h16,4,delayed_skill,immediate_skill,32,-3343.75,-3656.25,-3031.25,0.5596707818930041,0.5284552845528455,0.5941422594142259,0.03531249999999993,0.03203124999999993,0.03828124999999992,32,0,0
h16,8,delayed_skill,immediate_skill,32,-13375.0,-13781.25,-13000.0,0.35542168674698793,0.3398203592814371,0.3705385846660903,0.13921874999999995,0.1359375,0.14249999999999996,32,0,0
h16,12,delayed_skill,immediate_skill,32,-25468.75,-25875.0,-25062.5,0.28883071553228623,0.2807323452484743,0.29729788128664536,0.26156250000000003,0.25765625000000003,0.265625,32,0,0
h16,4,delayed_skill,last_event_replay,32,92406.25,92187.5,92625.0,13.168724279835391,12.8,13.559322033898304,-0.8426562500000001,-0.8482031250000001,-0.836953125,0,0,32
h16,8,delayed_skill,last_event_replay,32,79250.0,79000.0,79500.0,4.819277108433735,4.761904761904762,4.878048780487805,-0.76109375,-0.7662499999999999,-0.755703125,0,0,32
h16,12,delayed_skill,last_event_replay,32,64187.5,63906.25,64468.75,2.7923211169284468,2.7705627705627704,2.8144239226033423,-0.626484375,-0.6309375,-0.621953125,0,0,32
h16,4,delayed_skill,learned_replay,32,-3687.5,-3906.25,-3468.75,0.51440329218107,0.4940239043824701,0.5346938775510204,0.03890624999999993,0.03656249999999993,0.04109374999999993,32,0,0
h16,8,delayed_skill,learned_replay,32,-9187.5,-9562.5,-8812.5,0.5572289156626506,0.5408618127786032,0.5733532934131736,0.09734374999999998,0.09359374999999999,0.10109374999999998,32,0,0
h16,12,delayed_skill,learned_replay,32,-15750.0,-16250.0,-15343.75,0.5602094240837696,0.5487804878048781,0.5694200351493849,0.16484375,0.16078125,0.16953125,32,0,0
h16,4,delayed_skill,oracle_skill,32,-4593.75,-4812.5,-4375.0,0.3950617283950617,0.384,0.4067796610169492,0.04593749999999994,0.043749999999999935,0.04812499999999993,32,0,0
h16,8,delayed_skill,oracle_skill,32,-17781.25,-18031.25,-17531.25,0.1430722891566265,0.13901345291479822,0.1458966565349544,0.17828124999999995,0.17578124999999994,0.18062499999999992,32,0,0
h16,12,delayed_skill,oracle_skill,32,-32812.5,-33093.75,-32531.25,0.08376963350785341,0.08311688311688312,0.08443271767810026,0.32843749999999994,0.32546875,0.33140624999999996,32,0,0
h24,4,delayed_skill,count_replay,32,93406.25,93250.0,93562.5,15.165876777251185,14.814814814814815,15.533980582524272,-0.893671875,-0.89890625,-0.887890625,0,0,32
h24,8,delayed_skill,count_replay,32,82343.75,82062.5,82625.78124999999,5.663716814159292,5.574912891986063,5.755654935511046,-0.8056249999999999,-0.81031640625,-0.8010937499999999,0,0,32
h24,12,delayed_skill,count_replay,32,70281.25,70031.25,70562.5,3.3648790746582544,3.3368091762252345,3.397027600849257,-0.695859375,-0.699298828125,-0.6921875,0,0,32
h24,4,delayed_skill,hand_replay,32,-3531.25,-3750.0,-3312.5,0.46445497630331756,0.4413145539906103,0.49029126213592233,0.03593749999999997,0.03359374999999998,0.03828124999999995,32,0,0
h24,8,delayed_skill,hand_replay,32,-11437.5,-11750.0,-11125.0,0.35221238938053095,0.33989266547406083,0.3644524236983842,0.11437500000000003,0.11125000000000003,0.11750000000000002,32,0,0
h24,12,delayed_skill,hand_replay,32,-20000.0,-20437.5,-19562.5,0.3270241850683491,0.3155694879832811,0.3382507903055848,0.20000000000000007,0.19562500000000005,0.20437500000000008,32,0,0
h24,4,delayed_skill,history_replay,32,-3125.0,-3375.0,-2843.75,0.5260663507109005,0.4953271028037383,0.5586854460093896,0.03312499999999996,0.030624999999999975,0.03562499999999994,32,0,0
h24,8,delayed_skill,history_replay,32,-7625.0,-7968.75,-7281.25,0.5681415929203539,0.5528169014084507,0.584070796460177,0.08062500000000007,0.07734375000000007,0.08390625000000007,32,0,0
h24,12,delayed_skill,history_replay,32,-13437.5,-13812.5,-13062.5,0.5478443743427971,0.5376569037656904,0.5579171094580234,0.13921875,0.1353125,0.143125,32,0,0
h24,4,delayed_skill,history_skill,32,-3468.75,-3687.5,-3250.0,0.47393364928909953,0.45161290322580644,0.5,0.035468749999999966,0.03343749999999998,0.03734374999999995,32,0,0
h24,8,delayed_skill,history_skill,32,-12312.5,-12656.25,-11968.75,0.30265486725663715,0.28852959368160624,0.31607142857142856,0.126875,0.12375,0.13,32,0,0
h24,12,delayed_skill,history_skill,32,-22343.75,-22750.0,-21937.5,0.24815983175604628,0.23819517313746066,0.2589098532494759,0.22734375000000004,0.22343750000000007,0.23093750000000005,32,0,0
h24,4,delayed_skill,immediate_skill,32,-3468.75,-3687.5,-3250.0,0.47393364928909953,0.45161290322580644,0.5,0.035468749999999966,0.03343749999999998,0.03734374999999995,32,0,0
h24,8,delayed_skill,immediate_skill,32,-12312.5,-12656.25,-11968.75,0.30265486725663715,0.28852959368160624,0.31607142857142856,0.126875,0.12375,0.13,32,0,0
h24,12,delayed_skill,immediate_skill,32,-22343.75,-22750.0,-21937.5,0.24815983175604628,0.23819517313746066,0.2589098532494759,0.22734375000000004,0.22343750000000007,0.23093750000000005,32,0,0
h24,4,delayed_skill,last_event_replay,32,93406.25,93250.0,93562.5,15.165876777251185,14.814814814814815,15.533980582524272,-0.885703125,-0.8895312499999999,-0.881640625,0,0,32
h24,8,delayed_skill,last_event_replay,32,82343.75,82062.5,82625.78124999999,5.663716814159292,5.574912891986063,5.755654935511046,-0.8025781249999999,-0.807421875,-0.7978124999999999,0,0,32
h24,12,delayed_skill,last_event_replay,32,70281.25,70031.25,70562.5,3.3648790746582544,3.3368091762252345,3.397027600849257,-0.6973437499999999,-0.7012499999999999,-0.6934374999999999,0,0,32
