condition,k,baseline,variant,n,cost_delta,delta_low,delta_high,cost_ratio,ratio_low,ratio_high,auc_delta,auc_delta_low,auc_delta_high,wins,ties,losses
h16,4,hand_replay,count_replay,32,96812.5,96656.25,96937.5,31.372549019607842,29.906542056074766,32.6530612244898,-0.8971874999999999,-0.9032031249999999,-0.8909375,0,0,32
h16,8,hand_replay,count_replay,32,92937.5,92718.75,93156.25,14.15929203539823,13.733905579399142,14.61187214611872,-0.8995312500000001,-0.9039082031250001,-0.8953125,0,0,32
h16,12,hand_replay,count_replay,32,88250.0,87968.75,88531.25,8.51063829787234,8.311688311688311,8.719346049046322,-0.8646875,-0.8690625000000001,-0.8601562500000001,0,0,32
h16,4,hand_replay,delayed_skill,32,4406.25,4156.25,4625.781249999989,2.3823529411764706,2.2641509433962264,2.5,-0.04453124999999993,-0.046718749999999934,-0.04203124999999994,0,0,32
h16,8,hand_replay,delayed_skill,32,13687.5,13343.75,14000.0,2.938053097345133,2.8454935622317596,3.036363636363636,-0.13687500000000002,-0.14,-0.13343750000000001,0,0,32
h16,12,hand_replay,delayed_skill,32,24062.5,23656.25,24500.0,3.047872340425532,2.9714285714285715,3.1331521739130435,-0.24062499999999998,-0.245,-0.2365625,0,0,32
h16,4,hand_replay,history_replay,32,718.75,562.5,875.0,1.2254901960784315,1.1714285714285715,1.28,-0.005625000000000005,-0.007031250000000006,-0.004218750000000004,0,9,23
h16,8,hand_replay,history_replay,32,4500.0,4187.5,4843.75,1.6371681415929205,1.5836909871244635,1.6940795854042912,-0.03953125000000002,-0.04234375000000003,-0.036562500000000026,0,0,32
h16,12,hand_replay,history_replay,32,8312.5,8000.0,8625.0,1.7074468085106382,1.671018276762402,1.7479674796747968,-0.07578125,-0.07874999999999999,-0.07296875,0,0,32
h16,4,hand_replay,history_skill,32,1062.5,843.75,1281.25,1.3333333333333333,1.2547169811320755,1.4158415841584158,-0.009218750000000008,-0.01109375000000001,-0.007187500000000006,0,6,26
h16,8,hand_replay,history_skill,32,312.5,-93.75,687.5,1.0442477876106195,0.987012987012987,1.1,0.002343749999999964,-0.001406250000000022,0.00624999999999995,5,13,14
h16,12,hand_replay,history_skill,32,-1406.25,-1812.5,-968.75,0.8803191489361702,0.8484023751572499,0.9153063161656317,0.02093750000000002,0.017031250000000015,0.024843750000000022,24,6,2
h16,4,hand_replay,immediate_skill,32,1062.5,843.75,1281.25,1.3333333333333333,1.2547169811320755,1.4158415841584158,-0.009218750000000008,-0.01109375000000001,-0.007187500000000006,0,6,26
h16,8,hand_replay,immediate_skill,32,312.5,-93.75,687.5,1.0442477876106195,0.987012987012987,1.1,0.002343749999999964,-0.001406250000000022,0.00624999999999995,5,13,14
h16,12,hand_replay,immediate_skill,32,-1406.25,-1812.5,-968.75,0.8803191489361702,0.8484023751572499,0.9153063161656317,0.02093750000000002,0.017031250000000015,0.024843750000000022,24,6,2
h16,4,hand_replay,last_event_replay,32,96812.5,96656.25,96937.5,31.372549019607842,29.906542056074766,32.6530612244898,-0.8871875,-0.892421875,-0.881640625,0,0,32
h16,8,hand_replay,last_event_replay,32,92937.5,92718.75,93156.25,14.15929203539823,13.733905579399142,14.61187214611872,-0.89796875,-0.903126953125,-0.8927343750000001,0,0,32
h16,12,hand_replay,last_event_replay,32,88250.0,87968.75,88531.25,8.51063829787234,8.311688311688311,8.719346049046322,-0.8671093750000001,-0.8715625,-0.86234375,0,0,32
h16,4,hand_replay,learned_replay,32,718.75,562.5,875.0,1.2254901960784315,1.1714285714285715,1.28,-0.005625000000000005,-0.007031250000000006,-0.004218750000000004,0,9,23
h16,8,hand_replay,learned_replay,32,4500.0,4187.5,4843.75,1.6371681415929205,1.5836909871244635,1.6940795854042912,-0.03953125000000002,-0.04234375000000003,-0.036562500000000026,0,0,32
h16,12,hand_replay,learned_replay,32,8312.5,8000.0,8625.0,1.7074468085106382,1.671018276762402,1.7479674796747968,-0.07578125,-0.07874999999999999,-0.07296875,0,0,32
h16,4,hand_replay,oracle_skill,32,-187.5,-343.75,-62.5,0.9411764705882353,0.897196261682243,0.9795918367346939,0.0014062500000000012,0.0004687500000000004,0.0025000000000000022,6,26,0
h16,8,hand_replay,oracle_skill,32,-4093.75,-4312.5,-3875.0,0.42035398230088494,0.4051724137931034,0.43577981651376146,0.04140624999999994,0.03906249999999996,0.04359374999999993,32,0,0
h16,12,hand_replay,oracle_skill,32,-8750.0,-9031.25,-8468.75,0.2553191489361702,0.24935064935064935,0.2615803814713896,0.08781249999999996,0.08484374999999997,0.09062499999999997,32,0,0
h24,4,hand_replay,count_replay,32,96937.5,96812.5,97062.5,32.6530612244898,31.372549019607842,34.04255319148936,-0.929609375,-0.93546875,-0.9232812499999999,0,0,32
h24,8,hand_replay,count_replay,32,93781.25,93562.5,94000.0,16.08040201005025,15.533980582524272,16.666666666666668,-0.9199999999999999,-0.9239062499999999,-0.9159375000000001,0,0,32
h24,12,hand_replay,count_replay,32,90281.25,89968.75,90593.75,10.289389067524116,9.968847352024921,10.631229235880399,-0.8958593749999999,-0.899765625,-0.892109375,0,0,32
h24,4,hand_replay,delayed_skill,32,3531.25,3312.5,3750.0,2.1530612244897958,2.0396039603960396,2.265957446808511,-0.03593749999999997,-0.03828124999999995,-0.03359374999999998,0,0,32
h24,8,hand_replay,delayed_skill,32,11437.5,11125.0,11750.0,2.8391959798994977,2.7438423645320196,2.942105263157895,-0.11437500000000003,-0.11750000000000002,-0.11125000000000003,0,0,32
h24,12,hand_replay,delayed_skill,32,20000.0,19562.5,20437.5,3.057877813504823,2.956386292834891,3.1688741721854305,-0.20000000000000007,-0.20437500000000008,-0.19562500000000005,0,0,32
h24,4,hand_replay,history_replay,32,406.25,250.0,562.5,1.1326530612244898,1.0792079207920793,1.1914893617021276,-0.0028125000000000025,-0.004062500000000004,-0.0015625000000000014,0,19,13
h24,8,hand_replay,history_replay,32,3812.5,3562.5,4062.5,1.6130653266331658,1.5609756097560976,1.6683680078248915,-0.03374999999999996,-0.03578124999999996,-0.03156249999999997,0,0,32
h24,12,hand_replay,history_replay,32,6562.5,6218.75,6906.25,1.67524115755627,1.6234177215189873,1.7308970099667773,-0.06078125000000005,-0.06421875000000005,-0.057343750000000054,0,0,32
h24,4,hand_replay,history_skill,32,62.5,-93.75,218.75,1.0204081632653061,0.9705882352941176,1.0729166666666667,-0.0004687500000000004,-0.0017187500000000015,0.0007812500000000007,2,26,4
