condition,k,baseline,variant,n,cost_delta,delta_low,delta_high,cost_ratio,ratio_low,ratio_high,auc_delta,auc_delta_low,auc_delta_high,wins,ties,losses
h16,4,history_replay,count_replay,32,96093.75,95968.75,96218.75,25.6,24.8062015503876,26.446280991735538,-0.8915625,-0.897265625,-0.885546875,0,0,32
h16,8,history_replay,count_replay,32,88437.5,88125.0,88750.0,8.64864864864865,8.421052631578947,8.88888888888889,-0.8600000000000001,-0.864453125,-0.855466796875,0,0,32
h16,12,history_replay,count_replay,32,79937.5,79656.25,80250.0,4.984423676012461,4.915514592933948,5.063291139240507,-0.7889062499999999,-0.7931250000000001,-0.78453125,0,0,32
h16,4,history_replay,delayed_skill,32,3687.5,3468.75,3906.25,1.944,1.8702290076335877,2.024193548387097,-0.03890624999999993,-0.04109374999999993,-0.03656249999999993,0,0,32
h16,8,history_replay,delayed_skill,32,9187.5,8812.5,9562.5,1.7945945945945947,1.7441253263707572,1.848901098901099,-0.09734374999999998,-0.10109374999999998,-0.09359374999999999,0,0,32
h16,12,history_replay,delayed_skill,32,15750.0,15343.75,16250.0,1.7850467289719627,1.7561728395061729,1.8222222222222222,-0.16484375,-0.16953125,-0.16078125,0,0,32
h16,4,history_replay,hand_replay,32,-718.75,-875.0,-562.5,0.816,0.78125,0.8536585365853658,0.005625000000000005,0.004218750000000004,0.007031250000000006,23,9,0
h16,8,history_replay,hand_replay,32,-4500.0,-4843.75,-4187.5,0.6108108108108108,0.5902910417824946,0.6314363143631436,0.03953125000000002,0.036562500000000026,0.04234375000000003,32,0,0
h16,12,history_replay,hand_replay,32,-8312.5,-8625.0,-8000.0,0.5856697819314641,0.5720930232558139,0.5984375,0.07578125,0.07296875,0.07874999999999999,32,0,0
h16,4,history_replay,history_skill,32,343.75,125.0,593.75,1.088,1.0307692307692307,1.153225806451613,-0.003593750000000003,-0.005781250000000005,-0.0014062500000000012,2,19,11
h16,8,history_replay,history_skill,32,-4187.5,-4718.75,-3656.25,0.6378378378378379,0.6010498687664042,0.6760727377966427,0.04187499999999998,0.037656249999999995,0.04609374999999999,32,0,0
h16,12,history_replay,history_skill,32,-9718.75,-10125.0,-9281.25,0.5155763239875389,0.49922958397534667,0.5322834645669291,0.09671875000000002,0.09250000000000003,0.10093749999999999,32,0,0
h16,4,history_replay,immediate_skill,32,343.75,125.0,593.75,1.088,1.0307692307692307,1.153225806451613,-0.003593750000000003,-0.005781250000000005,-0.0014062500000000012,2,19,11
h16,8,history_replay,immediate_skill,32,-4187.5,-4718.75,-3656.25,0.6378378378378379,0.6010498687664042,0.6760727377966427,0.04187499999999998,0.037656249999999995,0.04609374999999999,32,0,0
h16,12,history_replay,immediate_skill,32,-9718.75,-10125.0,-9281.25,0.5155763239875389,0.49922958397534667,0.5322834645669291,0.09671875000000002,0.09250000000000003,0.10093749999999999,32,0,0
h16,4,history_replay,last_event_replay,32,96093.75,95968.75,96218.75,25.6,24.8062015503876,26.446280991735538,-0.8815625,-0.886875,-0.8759375,0,0,32
h16,8,history_replay,last_event_replay,32,88437.5,88125.0,88750.0,8.64864864864865,8.421052631578947,8.88888888888889,-0.8584375,-0.8640625,-0.852890625,0,0,32
h16,12,history_replay,last_event_replay,32,79937.5,79656.25,80250.0,4.984423676012461,4.915514592933948,5.063291139240507,-0.791328125,-0.7952343749999999,-0.7871874999999999,0,0,32
h16,4,history_replay,learned_replay,32,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,32,0
h16,8,history_replay,learned_replay,32,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,32,0
h16,12,history_replay,learned_replay,32,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,32,0
h16,4,history_replay,oracle_skill,32,-906.25,-1031.25,-781.25,0.768,0.7441860465116279,0.7933884297520661,0.007031250000000006,0.005781250000000005,0.008281250000000007,28,4,0
h16,8,history_replay,oracle_skill,32,-8593.75,-8906.25,-8281.25,0.25675675675675674,0.24864827942696796,0.2646239554317549,0.08093749999999997,0.07812499999999996,0.08374999999999996,32,0,0
h16,12,history_replay,oracle_skill,32,-17062.5,-17343.75,-16750.0,0.14953271028037382,0.14746543778801843,0.1518987341772152,0.16359374999999995,0.16046875,0.16656249999999995,32,0,0
h24,4,history_replay,count_replay,32,96531.25,96375.0,96687.5,28.82882882882883,27.586206896551722,30.18867924528302,-0.926796875,-0.932421875,-0.92078125,0,0,32
h24,8,history_replay,count_replay,32,89968.75,89718.75,90218.75,9.968847352024921,9.72644376899696,10.223642172523961,-0.88625,-0.89015625,-0.88234375,0,0,32
h24,12,history_replay,count_replay,32,83718.75,83468.75,83968.75,6.142034548944338,6.049149338374291,6.237816764132553,-0.8350781249999999,-0.839140625,-0.83109375,0,0,32
h24,4,history_replay,delayed_skill,32,3125.0,2843.75,3375.0,1.9009009009009008,1.7899159663865547,2.018867924528302,-0.03312499999999996,-0.03562499999999994,-0.030624999999999975,0,0,32
h24,8,history_replay,delayed_skill,32,7625.0,7281.25,7968.75,1.7601246105919004,1.7121212121212122,1.8089171974522293,-0.08062500000000007,-0.08390625000000007,-0.07734375000000007,0,0,32
h24,12,history_replay,delayed_skill,32,13437.5,13062.5,13812.5,1.8253358925143954,1.7923809523809524,1.859922178988327,-0.13921875,-0.143125,-0.1353125,0,0,32
h24,4,history_replay,hand_replay,32,-406.25,-562.5,-250.0,0.8828828828828829,0.8392857142857143,0.926605504587156,0.0028125000000000025,0.0015625000000000014,0.004062500000000004,13,19,0
h24,8,history_replay,hand_replay,32,-3812.5,-4062.5,-3562.5,0.6199376947040498,0.5993881417744601,0.640625,0.03374999999999996,0.03156249999999997,0.03578124999999996,32,0,0
h24,12,history_replay,hand_replay,32,-6562.5,-6906.25,-6218.75,0.5969289827255279,0.5777351247600768,0.6159844054580896,0.06078125000000005,0.057343750000000054,0.06421875000000005,32,0,0
h24,4,history_replay,history_skill,32,-343.75,-532.0312499999993,-125.0,0.9009009009009009,0.8495575221238938,0.9615384615384616,0.002343750000000002,0.0007812500000000007,0.0039062500000000035,13,17,2
h24,8,history_replay,history_skill,32,-4687.5,-5031.25,-4343.75,0.5327102803738317,0.5046728971962616,0.560126582278481,0.04624999999999993,0.043281249999999924,0.049218749999999936,32,0,0
h24,12,history_replay,history_skill,32,-8906.25,-9343.75,-8437.5,0.45297504798464494,0.4323796992481203,0.4756335282651072,0.08812500000000004,0.08390625000000004,0.09234375,32,0,0
h24,4,history_replay,immediate_skill,32,-343.75,-532.0312499999993,-125.0,0.9009009009009009,0.8495575221238938,0.9615384615384616,0.002343750000000002,0.0007812500000000007,0.0039062500000000035,13,17,2
h24,8,history_replay,immediate_skill,32,-4687.5,-5031.25,-4343.75,0.5327102803738317,0.5046728971962616,0.560126582278481,0.04624999999999993,0.043281249999999924,0.049218749999999936,32,0,0
h24,12,history_replay,immediate_skill,32,-8906.25,-9343.75,-8437.5,0.45297504798464494,0.4323796992481203,0.4756335282651072,0.08812500000000004,0.08390625000000004,0.09234375,32,0,0
h24,4,history_replay,last_event_replay,32,96531.25,96375.0,96687.5,28.82882882882883,27.586206896551722,30.18867924528302,-0.9188281249999999,-0.92265625,-0.9146875,0,0,32
h24,8,history_replay,last_event_replay,32,89968.75,89718.75,90218.75,9.968847352024921,9.72644376899696,10.223642172523961,-0.8832031250000001,-0.8880488281250001,-0.87828125,0,0,32
h24,12,history_replay,last_event_replay,32,83718.75,83468.75,83968.75,6.142034548944338,6.049149338374291,6.237816764132553,-0.8365625,-0.84078125,-0.8323437499999999,0,0,32
h24,4,history_replay,learned_replay,32,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,32,0
h24,8,history_replay,learned_replay,32,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,32,0
h24,12,history_replay,learned_replay,32,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,32,0
h24,4,history_replay,oracle_skill,32,-500.0,-687.5,-312.5,0.8558558558558559,0.808695652173913,0.9056603773584906,0.0039062500000000035,0.002343750000000002,0.005625000000000005,15,17,0
h24,8,history_replay,oracle_skill,32,-7031.25,-7281.25,-6781.25,0.29906542056074764,0.2917933130699088,0.30670926517571884,0.06624999999999995,0.06390624999999994,0.06843749999999996,32,0,0
h24,12,history_replay,oracle_skill,32,-13281.25,-13531.25,-13031.25,0.18426103646833014,0.18147448015122875,0.1871345029239766,0.12890625,0.12609375,0.13156250000000003,32,0,0
