condition,k,baseline,variant,n,cost_delta,delta_low,delta_high,cost_ratio,ratio_low,ratio_high,auc_delta,auc_delta_low,auc_delta_high,wins,ties,losses
h16,4,immediate_skill,count_replay,32,95750.0,95562.5,95937.5,23.529411764705884,22.535211267605632,24.615384615384617,-0.88796875,-0.89390625,-0.8819531249999999,0,0,32
h16,8,immediate_skill,count_replay,32,92625.0,92312.5,92937.5,13.559322033898304,13.008130081300813,14.15929203539823,-0.901875,-0.906875,-0.8967968749999999,0,0,32
h16,12,immediate_skill,count_replay,32,89656.25,89375.0,89937.5,9.667673716012084,9.411764705882353,9.937888198757763,-0.8856250000000001,-0.8909374999999999,-0.87984375,0,0,32
h16,4,immediate_skill,delayed_skill,32,3343.75,3031.25,3656.25,1.786764705882353,1.6830985915492958,1.8923076923076922,-0.03531249999999993,-0.03828124999999992,-0.03203124999999993,0,0,32
h16,8,immediate_skill,delayed_skill,32,13375.0,13000.0,13781.25,2.8135593220338984,2.698774280796656,2.94273127753304,-0.13921874999999995,-0.14249999999999996,-0.1359375,0,0,32
h16,12,immediate_skill,delayed_skill,32,25468.75,25062.5,25875.0,3.4622356495468276,3.363629756871036,3.562111801242236,-0.26156250000000003,-0.265625,-0.25765625000000003,0,0,32
h16,4,immediate_skill,hand_replay,32,-1062.5,-1281.25,-843.75,0.75,0.7062937062937062,0.7969924812030075,0.009218750000000008,0.007187500000000006,0.01109375000000001,26,6,0
h16,8,immediate_skill,hand_replay,32,-312.5,-687.5,93.75,0.9576271186440678,0.9090909090909091,1.013157894736842,-0.002343749999999964,-0.00624999999999995,0.001406250000000022,14,13,5
h16,12,immediate_skill,hand_replay,32,1406.25,968.75,1812.5,1.13595166163142,1.0925304282160626,1.1786859979101358,-0.02093750000000002,-0.024843750000000022,-0.017031250000000015,2,6,24
h16,4,immediate_skill,history_replay,32,-343.75,-593.75,-125.0,0.9191176470588235,0.8671328671328671,0.9701492537313433,0.003593750000000003,0.0014062500000000012,0.005781250000000005,11,19,2
h16,8,immediate_skill,history_replay,32,4187.5,3656.25,4718.75,1.5677966101694916,1.4791308198380568,1.6637554585152838,-0.04187499999999998,-0.04609374999999999,-0.037656249999999995,0,0,32
h16,12,immediate_skill,history_replay,32,9718.75,9281.25,10125.0,1.9395770392749245,1.878698224852071,2.003086419753086,-0.09671875000000002,-0.10093749999999999,-0.09250000000000003,0,0,32
h16,4,immediate_skill,history_skill,32,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,32,0
h16,8,immediate_skill,history_skill,32,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,32,0
h16,12,immediate_skill,history_skill,32,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,32,0
h16,4,immediate_skill,last_event_replay,32,95750.0,95562.5,95937.5,23.529411764705884,22.535211267605632,24.615384615384617,-0.87796875,-0.88375,-0.871875,0,0,32
h16,8,immediate_skill,last_event_replay,32,92625.0,92312.5,92937.5,13.559322033898304,13.008130081300813,14.15929203539823,-0.9003125,-0.905859375,-0.894453125,0,0,32
h16,12,immediate_skill,last_event_replay,32,89656.25,89375.0,89937.5,9.667673716012084,9.411764705882353,9.937888198757763,-0.888046875,-0.89296875,-0.88328125,0,0,32
h16,4,immediate_skill,learned_replay,32,-343.75,-593.75,-125.0,0.9191176470588235,0.8671328671328671,0.9701492537313433,0.003593750000000003,0.0014062500000000012,0.005781250000000005,11,19,2
h16,8,immediate_skill,learned_replay,32,4187.5,3656.25,4718.75,1.5677966101694916,1.4791308198380568,1.6637554585152838,-0.04187499999999998,-0.04609374999999999,-0.037656249999999995,0,0,32
h16,12,immediate_skill,learned_replay,32,9718.75,9281.25,10125.0,1.9395770392749245,1.878698224852071,2.003086419753086,-0.09671875000000002,-0.10093749999999999,-0.09250000000000003,0,0,32
h16,4,immediate_skill,oracle_skill,32,-1250.0,-1437.5,-1062.5,0.7058823529411765,0.676056338028169,0.7384615384615385,0.01062500000000001,0.008906250000000008,0.012343750000000011,30,2,0
h16,8,immediate_skill,oracle_skill,32,-4406.25,-4718.75,-4093.75,0.4025423728813559,0.3849291921467654,0.4222222222222222,0.03906249999999998,0.03624999999999999,0.04171874999999996,32,0,0
h16,12,immediate_skill,oracle_skill,32,-7343.75,-7625.0,-7062.5,0.29003021148036257,0.2823529411764706,0.2981366459627329,0.06687499999999995,0.06406249999999994,0.06968749999999996,32,0,0
h24,4,immediate_skill,count_replay,32,96875.0,96750.0,96968.75,32.0,30.76923076923077,32.98969072164948,-0.9291406249999999,-0.934609375,-0.9234374999999999,0,0,32
h24,8,immediate_skill,count_replay,32,94656.25,94437.5,94906.25,18.71345029239766,17.97752808988764,19.631901840490798,-0.9325,-0.93671875,-0.92828125,0,0,32
h24,12,immediate_skill,count_replay,32,92625.0,92312.5,92906.25,13.559322033898304,13.008130081300813,14.09691629955947,-0.923203125,-0.927265625,-0.91890625,0,0,32
h24,4,immediate_skill,delayed_skill,32,3468.75,3250.0,3687.5,2.11,2.0,2.2142857142857144,-0.035468749999999966,-0.03734374999999995,-0.03343749999999998,0,0,32
h24,8,immediate_skill,delayed_skill,32,12312.5,11968.75,12656.25,3.304093567251462,3.1638418079096047,3.465848988301642,-0.126875,-0.13,-0.12375,0,0,32
h24,12,immediate_skill,delayed_skill,32,22343.75,21937.5,22750.0,4.029661016949152,3.8623481781376516,4.1982378854625555,-0.22734375000000004,-0.23093750000000005,-0.22343750000000007,0,0,32
h24,4,immediate_skill,hand_replay,32,-62.5,-218.75,93.75,0.98,0.9320388349514563,1.0303030303030303,0.0004687500000000004,-0.0007812500000000007,0.0017187500000000015,4,26,2
h24,8,immediate_skill,hand_replay,32,875.0,562.5,1187.5,1.1637426900584795,1.101123595505618,1.2321428571428572,-0.012499999999999973,-0.015624999999999948,-0.009531249999999977,1,12,19
h24,12,immediate_skill,hand_replay,32,2343.75,1937.5,2750.0,1.3177966101694916,1.2531632438678502,1.3849557522123894,-0.02734374999999998,-0.031249999999999983,-0.02328124999999999,0,0,32
h24,4,immediate_skill,history_replay,32,343.75,125.0,532.0312499999886,1.11,1.04,1.1770833333333333,-0.002343750000000002,-0.0039062500000000035,-0.0007812500000000007,2,17,13
h24,8,immediate_skill,history_replay,32,4687.5,4343.75,5031.25,1.8771929824561404,1.7853107344632768,1.9814814814814814,-0.04624999999999993,-0.049218749999999936,-0.043281249999999924,0,0,32
h24,12,immediate_skill,history_replay,32,8906.25,8437.5,9343.75,2.207627118644068,2.1024590163934427,2.3127820340930856,-0.08812500000000004,-0.09234375,-0.08390625000000004,0,0,32
h24,4,immediate_skill,history_skill,32,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,32,0
h24,8,immediate_skill,history_skill,32,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,32,0
h24,12,immediate_skill,history_skill,32,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,32,0
h24,4,immediate_skill,last_event_replay,32,96875.0,96750.0,96968.75,32.0,30.76923076923077,32.98969072164948,-0.921171875,-0.9247656249999999,-0.9174999999999999,0,0,32
h24,8,immediate_skill,last_event_replay,32,94656.25,94437.5,94906.25,18.71345029239766,17.97752808988764,19.631901840490798,-0.929453125,-0.933828125,-0.9249999999999999,0,0,32
h24,12,immediate_skill,last_event_replay,32,92625.0,92312.5,92906.25,13.559322033898304,13.008130081300813,14.09691629955947,-0.9246875,-0.92828125,-0.9209375,0,0,32
h24,4,immediate_skill,learned_replay,32,343.75,125.0,532.0312499999886,1.11,1.04,1.1770833333333333,-0.002343750000000002,-0.0039062500000000035,-0.0007812500000000007,2,17,13
h24,8,immediate_skill,learned_replay,32,4687.5,4343.75,5031.25,1.8771929824561404,1.7853107344632768,1.9814814814814814,-0.04624999999999993,-0.049218749999999936,-0.043281249999999924,0,0,32
h24,12,immediate_skill,learned_replay,32,8906.25,8437.5,9343.75,2.207627118644068,2.1024590163934427,2.3127820340930856,-0.08812500000000004,-0.09234375,-0.08390625000000004,0,0,32
h24,4,immediate_skill,oracle_skill,32,-156.25,-281.25,-31.25,0.95,0.9117647058823529,0.9896907216494846,0.0015625000000000014,0.0006250000000000006,0.0026562500000000024,5,27,0
h24,8,immediate_skill,oracle_skill,32,-2343.75,-2562.5,-2093.75,0.5614035087719298,0.5393258426966292,0.588957055214724,0.020000000000000018,0.017968750000000016,0.02203125000000002,32,0,0
h24,12,immediate_skill,oracle_skill,32,-4375.0,-4687.5,-4093.75,0.4067796610169492,0.3902439024390244,0.42290748898678415,0.04078124999999997,0.038124999999999985,0.04359374999999996,32,0,0
