condition,variant,k,n,mean_capped_first90,ci_low,ci_high,median_capped_first90,solved,stable_solved,mean_capped_stable90,auc,final_success,final90,updates_per_step,state_accuracy,junction_state_accuracy,feature_states,true_states,next_goal_accuracy,next_goal_coverage,wrong_binding_rate,skill_target_success_rate,skill_other_progress_rate,both_branches_discovered,steps_until_both_success,prefix_until_both_success,frontier_until_both_success,best_single_branch_success,stochastic_final_success_e005,stochastic_final_success_e02
h16,count_replay,4,32,100000.0,100000.0,100000.0,100000.0,0,0,100000.0,0.07640625000000001,0.125,0,6.0,0.75,0.5,4.0,6.0,,,,,,4,2575.0,1695.75,879.25,0.25,0.17079583726616593,0.2390910786554078
h16,count_replay,8,32,100000.0,100000.0,100000.0,100000.0,0,0,100000.0,0.03484375,0.03125,0,6.0,0.875,0.5,8.0,10.0,,,,,,3,14655.0,12534.666666666666,2120.3333333333335,0.0625,0.0617311130920676,0.10135023525453143
h16,count_replay,12,32,100000.0,100000.0,100000.0,100000.0,0,0,100000.0,0.022812500000000003,0.0,0,6.0,0.916666666667,0.5,12.0,14.0,,,,,,3,33962.333333333336,30820.0,3142.3333333333335,0.0,0.045535940205050654,0.0870187519279523
h16,delayed_skill,4,32,7593.75,7375.0,7812.5,8000.0,32,32,7593.75,0.9290625,1.0,32,6.0,1.0,1.0,7.0,6.0,1.0,1.0,0.0,0.874896403764179,0.12500977322979442,32,7101.375,4431.59375,2669.78125,1.0,,
h16,delayed_skill,8,32,20750.0,20500.0,21000.0,21000.0,32,32,20750.0,0.7975,1.0,32,6.0,1.0,1.0,15.0,10.0,1.0,1.0,0.0,0.93736394386952,0.06251046585619076,32,20288.1875,15797.8125,4490.375,1.0,,
h16,delayed_skill,12,32,35812.5,35531.25,36125.0,36000.0,32,32,35812.5,0.646875,1.0,32,6.0,1.0,1.0,23.0,14.0,1.0,1.0,0.0,0.9581402358614973,0.04168752388487892,32,35329.625,29137.84375,6191.78125,1.0,,
h16,hand_replay,4,32,3187.5,3062.5,3343.75,3000.0,32,32,3187.5,0.9735937499999999,1.0,32,6.0,1.0,1.0,6.0,6.0,,,,,,32,2394.46875,980.78125,1413.6875,1.0,,
h16,hand_replay,8,32,7062.5,6843.75,7281.25,7000.0,32,32,7062.5,0.9343750000000001,1.0,32,6.0,1.0,1.0,10.0,10.0,,,,,,32,5858.375,2992.40625,2865.96875,1.0,,
h16,hand_replay,12,32,11750.0,11468.75,12031.25,12000.0,32,32,11750.0,0.8875000000000001,1.0,32,6.0,1.0,1.0,14.0,14.0,,,,,,32,10268.4375,5848.78125,4419.65625,1.0,,
h16,history_replay,4,32,3906.25,3781.25,4031.25,4000.0,32,32,3906.25,0.9679687499999999,1.0,32,6.0,1.0,1.0,7.0,6.0,,,,,,32,2729.65625,1171.03125,1558.625,1.0,,
h16,history_replay,8,32,11562.5,11250.0,11875.0,12000.0,32,32,11562.5,0.89484375,1.0,32,6.0,1.0,1.0,15.0,10.0,,,,,,32,9184.5625,5664.71875,3519.84375,1.0,,
h16,history_replay,12,32,20062.5,19750.0,20343.75,20000.0,32,32,20062.5,0.81171875,1.0,32,6.0,1.0,1.0,23.0,14.0,,,,,,32,16864.59375,11491.21875,5373.375,1.0,,
h16,history_skill,4,32,4250.0,4062.5,4437.5,4000.0,32,32,4250.0,0.964375,1.0,32,6.0,1.0,1.0,7.0,6.0,1.0,1.0,0.0,0.8732952085711085,0.12629306821587616,32,3811.90625,1300.0625,2511.84375,1.0,,
h16,history_skill,8,32,7375.0,7062.5,7687.5,7000.0,32,32,7375.0,0.93671875,1.0,32,6.0,1.0,1.0,15.0,10.0,1.0,1.0,0.0,0.9359901376559978,0.06377319434681399,32,6881.75,2966.75,3915.0,1.0,,
h16,history_skill,12,32,10343.75,10062.5,10625.0,10000.0,32,32,10343.75,0.9084375,1.0,32,6.0,1.0,1.0,23.0,14.0,1.0,1.0,0.0,0.9568868687473792,0.04291843886659079,32,9752.6875,4331.28125,5421.40625,1.0,,
h16,immediate_skill,4,32,4250.0,4062.5,4437.5,4000.0,32,32,4250.0,0.964375,1.0,32,6.0,1.0,1.0,7.0,6.0,1.0,1.0,0.0,0.8732952085711085,0.12629306821587616,32,3811.90625,1300.0625,2511.84375,1.0,,
h16,immediate_skill,8,32,7375.0,7062.5,7687.5,7000.0,32,32,7375.0,0.93671875,1.0,32,6.0,1.0,1.0,15.0,10.0,1.0,1.0,0.0,0.9359901376559978,0.06377319434681399,32,6881.75,2966.75,3915.0,1.0,,
h16,immediate_skill,12,32,10343.75,10062.5,10625.0,10000.0,32,32,10343.75,0.9084375,1.0,32,6.0,1.0,1.0,23.0,14.0,1.0,1.0,0.0,0.9568868687473792,0.04291843886659079,32,9752.6875,4331.28125,5421.40625,1.0,,
h16,last_event_replay,4,32,100000.0,100000.0,100000.0,100000.0,0,0,100000.0,0.08640624999999999,0.03125,0,6.0,0.875,0.5,6.0,6.0,,,,,,4,4371.0,3109.25,1261.75,0.0625,0.07187657074530346,0.13373171646923485
h16,last_event_replay,8,32,100000.0,100000.0,100000.0,100000.0,0,0,100000.0,0.03640625,0.0625,0,6.0,0.9375,0.5,10.0,10.0,,,,,,0,,,,0.125,0.08805820027832399,0.12200492573294516
h16,last_event_replay,12,32,100000.0,100000.0,100000.0,100000.0,0,0,100000.0,0.020390625,0.015625,0,6.0,0.958333333333,0.5,14.0,14.0,,,,,,2,40867.0,37713.5,3153.5,0.03125,0.05306627665624859,0.08258345197837469
h16,learned_replay,4,32,3906.25,3781.25,4031.25,4000.0,32,32,3906.25,0.9679687499999999,1.0,32,6.0,1.0,1.0,7.0,6.0,,,,,,32,2729.65625,1171.03125,1558.625,1.0,,
h16,learned_replay,8,32,11562.5,11250.0,11875.0,12000.0,32,32,11562.5,0.89484375,1.0,32,6.0,1.0,1.0,15.0,10.0,,,,,,32,9184.5625,5664.71875,3519.84375,1.0,,
h16,learned_replay,12,32,20062.5,19750.0,20343.75,20000.0,32,32,20062.5,0.81171875,1.0,32,6.0,1.0,1.0,23.0,14.0,,,,,,32,16864.59375,11491.21875,5373.375,1.0,,
h16,oracle_skill,4,32,3000.0,3000.0,3000.0,3000.0,32,32,3000.0,0.975,1.0,32,6.0,1.0,1.0,6.0,6.0,1.0,1.0,0.0,0.8722657225543917,0.12536028558416948,32,1688.03125,1688.03125,0.0,1.0,,
h16,oracle_skill,8,32,2968.75,2906.25,3000.0,3000.0,32,32,2968.75,0.97578125,1.0,32,6.0,1.0,1.0,10.0,10.0,1.0,1.0,0.0,0.9357578007661542,0.06279426903150682,32,1889.65625,1889.65625,0.0,1.0,,
h16,oracle_skill,12,32,3000.0,3000.0,3000.0,3000.0,32,32,3000.0,0.9753125,1.0,32,6.0,1.0,1.0,14.0,14.0,1.0,1.0,0.0,0.9570128017749916,0.041913046540703304,32,2032.15625,2032.15625,0.0,1.0,,
