heldout: 20/1728, elapsed 0.2s
heldout: 40/1728, elapsed 0.3s
heldout: 60/1728, elapsed 0.5s
heldout: 80/1728, elapsed 0.7s
heldout: 100/1728, elapsed 0.9s
heldout: 120/1728, elapsed 1.1s
heldout: 140/1728, elapsed 1.3s
heldout: 160/1728, elapsed 1.5s
heldout: 180/1728, elapsed 1.8s
heldout: 200/1728, elapsed 2.1s
heldout: 220/1728, elapsed 2.2s
heldout: 240/1728, elapsed 2.4s
heldout: 260/1728, elapsed 2.6s
heldout: 280/1728, elapsed 2.8s
heldout: 300/1728, elapsed 3.0s
heldout: 320/1728, elapsed 3.2s
heldout: 340/1728, elapsed 3.5s
heldout: 360/1728, elapsed 3.8s
heldout: 380/1728, elapsed 4.1s
heldout: 400/1728, elapsed 4.3s
heldout: 420/1728, elapsed 4.5s
heldout: 440/1728, elapsed 4.7s
heldout: 460/1728, elapsed 5.0s
heldout: 480/1728, elapsed 5.3s
heldout: 500/1728, elapsed 5.5s
heldout: 520/1728, elapsed 5.7s
heldout: 540/1728, elapsed 6.0s
heldout: 560/1728, elapsed 6.3s
heldout: 580/1728, elapsed 6.5s
heldout: 600/1728, elapsed 6.7s
heldout: 620/1728, elapsed 6.9s
heldout: 640/1728, elapsed 7.1s
heldout: 660/1728, elapsed 7.3s
heldout: 680/1728, elapsed 7.5s
heldout: 700/1728, elapsed 7.7s
heldout: 720/1728, elapsed 7.9s
heldout: 740/1728, elapsed 8.2s
heldout: 760/1728, elapsed 8.5s
heldout: 780/1728, elapsed 8.7s
heldout: 800/1728, elapsed 8.8s
heldout: 820/1728, elapsed 9.0s
heldout: 840/1728, elapsed 9.1s
heldout: 860/1728, elapsed 9.3s
heldout: 880/1728, elapsed 9.4s
heldout: 900/1728, elapsed 9.5s
heldout: 920/1728, elapsed 9.7s
heldout: 940/1728, elapsed 9.9s
heldout: 960/1728, elapsed 10.1s
heldout: 980/1728, elapsed 10.2s
heldout: 1000/1728, elapsed 10.4s
heldout: 1020/1728, elapsed 10.7s
heldout: 1040/1728, elapsed 11.0s
heldout: 1060/1728, elapsed 11.3s
heldout: 1080/1728, elapsed 11.4s
heldout: 1100/1728, elapsed 11.6s
heldout: 1120/1728, elapsed 11.8s
heldout: 1140/1728, elapsed 12.0s
heldout: 1160/1728, elapsed 12.2s
heldout: 1180/1728, elapsed 12.4s
heldout: 1200/1728, elapsed 12.7s
heldout: 1220/1728, elapsed 12.9s
heldout: 1240/1728, elapsed 13.3s
heldout: 1260/1728, elapsed 13.5s
heldout: 1280/1728, elapsed 13.7s
heldout: 1300/1728, elapsed 13.9s
heldout: 1320/1728, elapsed 14.2s
heldout: 1340/1728, elapsed 14.5s
heldout: 1360/1728, elapsed 14.7s
heldout: 1380/1728, elapsed 14.9s
heldout: 1400/1728, elapsed 15.1s
heldout: 1420/1728, elapsed 15.4s
heldout: 1440/1728, elapsed 15.7s
heldout: 1460/1728, elapsed 15.9s
heldout: 1480/1728, elapsed 16.1s
heldout: 1500/1728, elapsed 16.3s
heldout: 1520/1728, elapsed 16.5s
heldout: 1540/1728, elapsed 16.7s
heldout: 1560/1728, elapsed 16.9s
heldout: 1580/1728, elapsed 17.1s
heldout: 1600/1728, elapsed 17.4s
heldout: 1620/1728, elapsed 17.7s
heldout: 1640/1728, elapsed 17.9s
heldout: 1660/1728, elapsed 18.0s
heldout: 1680/1728, elapsed 18.2s
heldout: 1700/1728, elapsed 18.3s
heldout: 1720/1728, elapsed 18.5s
heldout: 1728/1728, elapsed 18.5s
