condition,k,baseline,variant,n,cost_delta,delta_low,delta_high,cost_ratio,ratio_low,ratio_high,auc_delta,auc_delta_low,auc_delta_high,wins,ties,losses
h20_bridge3,8,count_replay,delayed_skill,32,-81125.0,-81406.25,-80875.0,0.18875,0.1859375,0.19125,0.786171875,0.77984375,0.7923437499999999,32,0,0
h20_bridge3,12,count_replay,delayed_skill,32,-68468.75,-68875.0,-68062.5,0.3153125,0.31125,0.319375,0.671640625,0.6661718750000001,0.6771875,32,0,0
h20_bridge3,8,count_replay,hand_replay,32,-92250.0,-92468.75,-92000.0,0.0775,0.0753125,0.08,0.897421875,0.891328125,0.903046875,32,0,0
h20_bridge3,12,count_replay,hand_replay,32,-88500.0,-88812.5,-88187.5,0.115,0.111875,0.118125,0.871953125,0.8667968749999999,0.876953125,32,0,0
h20_bridge3,8,count_replay,history_replay,32,-89562.5,-89781.25,-89343.75,0.104375,0.1021875,0.1065625,0.8750781249999999,0.8689843749999999,0.8807812500000001,32,0,0
h20_bridge3,12,count_replay,history_replay,32,-82343.75,-82750.0,-81937.5,0.1765625,0.1725,0.180625,0.816953125,0.811796875,0.8223437499999999,32,0,0
h20_bridge3,8,count_replay,history_skill,32,-94062.5,-94281.25,-93843.75,0.059375,0.0571875,0.0615625,0.9202343749999999,0.9152343749999999,0.9252343749999999,32,0,0
h20_bridge3,12,count_replay,history_skill,32,-91625.0,-91906.25,-91343.75,0.08375,0.0809375,0.0865625,0.906953125,0.9031250000000001,0.9107031250000001,32,0,0
h20_bridge3,8,count_replay,immediate_skill,32,-94062.5,-94281.25,-93843.75,0.059375,0.0571875,0.0615625,0.9202343749999999,0.9152343749999999,0.9252343749999999,32,0,0
h20_bridge3,12,count_replay,immediate_skill,32,-91625.0,-91906.25,-91343.75,0.08375,0.0809375,0.0865625,0.906953125,0.9031250000000001,0.9107031250000001,32,0,0
h20_bridge3,8,count_replay,last_event_replay,32,0.0,0.0,0.0,1.0,1.0,1.0,0.010000000000000002,0.004296875000000002,0.015859375000000002,0,32,0
h20_bridge3,12,count_replay,last_event_replay,32,0.0,0.0,0.0,1.0,1.0,1.0,-0.000234375,-0.00484375,0.004296875,0,32,0
h20_bridge3,8,count_replay,learned_replay,32,-89562.5,-89781.25,-89343.75,0.104375,0.1021875,0.1065625,0.8750781249999999,0.8689843749999999,0.8807812500000001,32,0,0
h20_bridge3,12,count_replay,learned_replay,32,-82343.75,-82750.0,-81937.5,0.1765625,0.1725,0.180625,0.816953125,0.811796875,0.8223437499999999,32,0,0
h20_bridge3,8,count_replay,oracle_skill,32,-97000.0,-97000.0,-97000.0,0.03,0.03,0.03,0.945078125,0.940078125,0.9498437499999999,32,0,0
h20_bridge3,12,count_replay,oracle_skill,32,-97000.0,-97000.0,-97000.0,0.03,0.03,0.03,0.957734375,0.955,0.9603125,32,0,0
