condition,k,baseline,variant,n,cost_delta,delta_low,delta_high,cost_ratio,ratio_low,ratio_high,auc_delta,auc_delta_low,auc_delta_high,wins,ties,losses
h20_bridge3,8,delayed_skill,count_replay,32,81125.0,80875.0,81406.25,5.298013245033113,5.228758169934641,5.378151260504202,-0.786171875,-0.7923437499999999,-0.77984375,0,0,32
h20_bridge3,12,delayed_skill,count_replay,32,68468.75,68062.5,68875.0,3.1714568880079286,3.131115459882583,3.21285140562249,-0.671640625,-0.6771875,-0.6661718750000001,0,0,32
h20_bridge3,8,delayed_skill,hand_replay,32,-11125.0,-11406.25,-10812.5,0.4105960264900662,0.3986820428336079,0.42358803986710963,0.11125000000000008,0.10812500000000008,0.1140625000000001,32,0,0
h20_bridge3,12,delayed_skill,hand_replay,32,-20031.25,-20468.75,-19593.75,0.3647175421209118,0.35522388059701493,0.3742456234412463,0.2003125,0.19593750000000001,0.20468749999999997,32,0,0
h20_bridge3,8,delayed_skill,history_replay,32,-8437.5,-8781.25,-8093.75,0.5529801324503312,0.5392156862745098,0.56738768718802,0.08890625000000006,0.08562500000000005,0.09203125000000006,32,0,0
h20_bridge3,12,delayed_skill,history_replay,32,-13875.0,-14375.0,-13375.0,0.5599603567888999,0.5464426877470355,0.5727002967359051,0.14531249999999996,0.14046874999999998,0.15015624999999996,32,0,0
h20_bridge3,8,delayed_skill,history_skill,32,-12937.5,-13312.5,-12562.5,0.31456953642384106,0.30179445350734097,0.3271819783531837,0.13406249999999997,0.130625,0.13749999999999996,32,0,0
h20_bridge3,12,delayed_skill,history_skill,32,-23156.25,-23625.0,-22656.25,0.26560951437066405,0.25671641791044775,0.2751004016064257,0.23531250000000004,0.23046875000000006,0.24000000000000005,32,0,0
h20_bridge3,8,delayed_skill,immediate_skill,32,-12937.5,-13312.5,-12562.5,0.31456953642384106,0.30179445350734097,0.3271819783531837,0.13406249999999997,0.130625,0.13749999999999996,32,0,0
h20_bridge3,12,delayed_skill,immediate_skill,32,-23156.25,-23625.0,-22656.25,0.26560951437066405,0.25671641791044775,0.2751004016064257,0.23531250000000004,0.23046875000000006,0.24000000000000005,32,0,0
h20_bridge3,8,delayed_skill,last_event_replay,32,81125.0,80875.0,81406.25,5.298013245033113,5.228758169934641,5.378151260504202,-0.776171875,-0.7814062499999999,-0.77078125,0,0,32
h20_bridge3,12,delayed_skill,last_event_replay,32,68468.75,68062.5,68875.0,3.1714568880079286,3.131115459882583,3.21285140562249,-0.671875,-0.6773437499999999,-0.66609375,0,0,32
h20_bridge3,8,delayed_skill,learned_replay,32,-8437.5,-8781.25,-8093.75,0.5529801324503312,0.5392156862745098,0.56738768718802,0.08890625000000006,0.08562500000000005,0.09203125000000006,32,0,0
h20_bridge3,12,delayed_skill,learned_replay,32,-13875.0,-14375.0,-13375.0,0.5599603567888999,0.5464426877470355,0.5727002967359051,0.14531249999999996,0.14046874999999998,0.15015624999999996,32,0,0
h20_bridge3,8,delayed_skill,oracle_skill,32,-15875.0,-16125.0,-15593.75,0.15894039735099338,0.1568627450980392,0.16134453781512606,0.15890625000000003,0.15609375000000003,0.1615625,32,0,0
h20_bridge3,12,delayed_skill,oracle_skill,32,-28531.25,-28937.5,-28125.0,0.09514370664023786,0.09393346379647749,0.0963855421686747,0.28609375,0.28203124999999996,0.2901562499999999,32,0,0
