condition,k,baseline,variant,n,cost_delta,delta_low,delta_high,cost_ratio,ratio_low,ratio_high,auc_delta,auc_delta_low,auc_delta_high,wins,ties,losses
h20_bridge3,8,hand_replay,count_replay,32,92250.0,92000.0,92468.75,12.903225806451612,12.5,13.278008298755188,-0.897421875,-0.903046875,-0.891328125,0,0,32
h20_bridge3,12,hand_replay,count_replay,32,88500.0,88187.5,88812.5,8.695652173913043,8.465608465608465,8.938547486033519,-0.871953125,-0.876953125,-0.8667968749999999,0,0,32
h20_bridge3,8,hand_replay,delayed_skill,32,11125.0,10812.5,11406.25,2.435483870967742,2.3607843137254902,2.5082644628099175,-0.11125000000000008,-0.1140625000000001,-0.10812500000000008,0,0,32
h20_bridge3,12,hand_replay,delayed_skill,32,20031.25,19593.75,20468.75,2.7418478260869565,2.672041935483871,2.8151260504201683,-0.2003125,-0.20468749999999997,-0.19593750000000001,0,0,32
h20_bridge3,8,hand_replay,history_replay,32,2687.5,2468.75,2906.25,1.346774193548387,1.3125,1.3817427385892116,-0.02234375000000002,-0.02375000000000002,-0.02078125000000002,0,0,32
h20_bridge3,12,hand_replay,history_replay,32,6156.25,5843.75,6468.75,1.5353260869565217,1.5013550135501355,1.569060773480663,-0.05500000000000005,-0.057968750000000055,-0.05203125000000004,0,0,32
h20_bridge3,8,hand_replay,history_skill,32,-1812.5,-2156.25,-1500.0,0.7661290322580645,0.7276176158471878,0.8024691358024691,0.02281249999999991,0.019999999999999907,0.026093749999999912,31,1,0
h20_bridge3,12,hand_replay,history_skill,32,-3125.0,-3562.5,-2687.5,0.7282608695652174,0.6973684210526315,0.7609920634920634,0.03500000000000003,0.030468750000000027,0.03953125000000003,32,0,0
h20_bridge3,8,hand_replay,immediate_skill,32,-1812.5,-2156.25,-1500.0,0.7661290322580645,0.7276176158471878,0.8024691358024691,0.02281249999999991,0.019999999999999907,0.026093749999999912,31,1,0
h20_bridge3,12,hand_replay,immediate_skill,32,-3125.0,-3562.5,-2687.5,0.7282608695652174,0.6973684210526315,0.7609920634920634,0.03500000000000003,0.030468750000000027,0.03953125000000003,32,0,0
h20_bridge3,8,hand_replay,last_event_replay,32,92250.0,92000.0,92468.75,12.903225806451612,12.5,13.278008298755188,-0.887421875,-0.892265625,-0.8825,0,0,32
h20_bridge3,12,hand_replay,last_event_replay,32,88500.0,88187.5,88812.5,8.695652173913043,8.465608465608465,8.938547486033519,-0.8721874999999999,-0.8771875,-0.86734375,0,0,32
h20_bridge3,8,hand_replay,learned_replay,32,2687.5,2468.75,2906.25,1.346774193548387,1.3125,1.3817427385892116,-0.02234375000000002,-0.02375000000000002,-0.02078125000000002,0,0,32
h20_bridge3,12,hand_replay,learned_replay,32,6156.25,5843.75,6468.75,1.5353260869565217,1.5013550135501355,1.569060773480663,-0.05500000000000005,-0.057968750000000055,-0.05203125000000004,0,0,32
h20_bridge3,8,hand_replay,oracle_skill,32,-4750.0,-5000.0,-4531.25,0.3870967741935484,0.375,0.3983402489626556,0.04765624999999993,0.04546874999999993,0.05015624999999993,32,0,0
h20_bridge3,12,hand_replay,oracle_skill,32,-8500.0,-8812.5,-8187.5,0.2608695652173913,0.25396825396825395,0.2681564245810056,0.08578124999999996,0.08249999999999996,0.08906249999999996,32,0,0
