condition,k,baseline,variant,n,cost_delta,delta_low,delta_high,cost_ratio,ratio_low,ratio_high,auc_delta,auc_delta_low,auc_delta_high,wins,ties,losses
h20_bridge3,8,history_replay,count_replay,32,89562.5,89343.75,89781.25,9.580838323353293,9.3841642228739,9.785932721712538,-0.8750781249999999,-0.8807812500000001,-0.8689843749999999,0,0,32
h20_bridge3,12,history_replay,count_replay,32,82343.75,81937.5,82750.0,5.663716814159292,5.536332179930795,5.797101449275362,-0.816953125,-0.8223437499999999,-0.811796875,0,0,32
h20_bridge3,8,history_replay,delayed_skill,32,8437.5,8093.75,8781.25,1.8083832335329342,1.7624633431085044,1.8545454545454545,-0.08890625000000006,-0.09203125000000006,-0.08562500000000005,0,0,32
h20_bridge3,12,history_replay,delayed_skill,32,13875.0,13375.0,14375.0,1.7858407079646017,1.7461139896373057,1.8300180831826403,-0.14531249999999996,-0.15015624999999996,-0.14046874999999998,0,0,32
h20_bridge3,8,history_replay,hand_replay,32,-2687.5,-2906.25,-2468.75,0.7425149700598802,0.7237237237237237,0.7619047619047619,0.02234375000000002,0.02078125000000002,0.02375000000000002,32,0,0
h20_bridge3,12,history_replay,hand_replay,32,-6156.25,-6468.75,-5843.75,0.6513274336283186,0.6373239436619719,0.6660649819494585,0.05500000000000005,0.05203125000000004,0.057968750000000055,32,0,0
h20_bridge3,8,history_replay,history_skill,32,-4500.0,-4843.75,-4156.25,0.5688622754491018,0.543026706231454,0.5950920245398773,0.045156249999999926,0.042187499999999926,0.04843749999999993,32,0,0
h20_bridge3,12,history_replay,history_skill,32,-9281.25,-9718.75,-8812.5,0.4743362831858407,0.45694200351493847,0.4928571428571429,0.09000000000000008,0.08546875000000007,0.09421875000000007,32,0,0
h20_bridge3,8,history_replay,immediate_skill,32,-4500.0,-4843.75,-4156.25,0.5688622754491018,0.543026706231454,0.5950920245398773,0.045156249999999926,0.042187499999999926,0.04843749999999993,32,0,0
h20_bridge3,12,history_replay,immediate_skill,32,-9281.25,-9718.75,-8812.5,0.4743362831858407,0.45694200351493847,0.4928571428571429,0.09000000000000008,0.08546875000000007,0.09421875000000007,32,0,0
h20_bridge3,8,history_replay,last_event_replay,32,89562.5,89343.75,89781.25,9.580838323353293,9.3841642228739,9.785932721712538,-0.8650781249999999,-0.8696875,-0.86046875,0,0,32
h20_bridge3,12,history_replay,last_event_replay,32,82343.75,81937.5,82750.0,5.663716814159292,5.536332179930795,5.797101449275362,-0.8171875,-0.8225,-0.8118749999999999,0,0,32
h20_bridge3,8,history_replay,learned_replay,32,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,32,0
h20_bridge3,12,history_replay,learned_replay,32,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,32,0
h20_bridge3,8,history_replay,oracle_skill,32,-7437.5,-7656.25,-7218.75,0.2874251497005988,0.28152492668621704,0.29357798165137616,0.06999999999999995,0.06781249999999994,0.07234374999999996,32,0,0
h20_bridge3,12,history_replay,oracle_skill,32,-14656.25,-15062.5,-14250.0,0.16991150442477876,0.16608996539792387,0.17391304347826086,0.14078125000000002,0.13687500000000002,0.14437500000000003,32,0,0
