condition,k,baseline,variant,n,cost_delta,delta_low,delta_high,cost_ratio,ratio_low,ratio_high,auc_delta,auc_delta_low,auc_delta_high,wins,ties,losses
h20_bridge3,8,immediate_skill,count_replay,32,94062.5,93843.75,94281.25,16.842105263157894,16.243654822335024,17.48633879781421,-0.9202343749999999,-0.9252343749999999,-0.9152343749999999,0,0,32
h20_bridge3,12,immediate_skill,count_replay,32,91625.0,91343.75,91906.25,11.940298507462687,11.552346570397113,12.355212355212355,-0.906953125,-0.9107031250000001,-0.9031250000000001,0,0,32
h20_bridge3,8,immediate_skill,delayed_skill,32,12937.5,12562.5,13312.5,3.1789473684210527,3.0564030612244895,3.3135135135135134,-0.13406249999999997,-0.13749999999999996,-0.130625,0,0,32
h20_bridge3,12,immediate_skill,delayed_skill,32,23156.25,22656.25,23625.0,3.764925373134328,3.6350364963503647,3.895348837209302,-0.23531250000000004,-0.24000000000000005,-0.23046875000000006,0,0,32
h20_bridge3,8,immediate_skill,hand_replay,32,1812.5,1500.0,2156.25,1.305263157894737,1.2461538461538462,1.3743482620320853,-0.02281249999999991,-0.026093749999999912,-0.019999999999999907,0,1,31
h20_bridge3,12,immediate_skill,hand_replay,32,3125.0,2687.5,3562.5,1.373134328358209,1.314074152151572,1.4339622641509433,-0.03500000000000003,-0.03953125000000003,-0.030468750000000027,0,0,32
h20_bridge3,8,immediate_skill,history_replay,32,4500.0,4156.25,4843.75,1.7578947368421052,1.6804123711340206,1.8415300546448088,-0.045156249999999926,-0.04843749999999993,-0.042187499999999926,0,0,32
h20_bridge3,12,immediate_skill,history_replay,32,9281.25,8812.5,9718.75,2.1082089552238807,2.028985507246377,2.1884615384615387,-0.09000000000000008,-0.09421875000000007,-0.08546875000000007,0,0,32
h20_bridge3,8,immediate_skill,history_skill,32,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,32,0
h20_bridge3,12,immediate_skill,history_skill,32,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,32,0
h20_bridge3,8,immediate_skill,last_event_replay,32,94062.5,93843.75,94281.25,16.842105263157894,16.243654822335024,17.48633879781421,-0.9102343749999999,-0.914453125,-0.9059355468749999,0,0,32
h20_bridge3,12,immediate_skill,last_event_replay,32,91625.0,91343.75,91906.25,11.940298507462687,11.552346570397113,12.355212355212355,-0.9071875,-0.91078125,-0.90359375,0,0,32
h20_bridge3,8,immediate_skill,learned_replay,32,4500.0,4156.25,4843.75,1.7578947368421052,1.6804123711340206,1.8415300546448088,-0.045156249999999926,-0.04843749999999993,-0.042187499999999926,0,0,32
h20_bridge3,12,immediate_skill,learned_replay,32,9281.25,8812.5,9718.75,2.1082089552238807,2.028985507246377,2.1884615384615387,-0.09000000000000008,-0.09421875000000007,-0.08546875000000007,0,0,32
h20_bridge3,8,immediate_skill,oracle_skill,32,-2937.5,-3156.25,-2718.75,0.5052631578947369,0.4873096446700508,0.5245901639344263,0.024843750000000022,0.02312500000000002,0.026562500000000024,32,0,0
h20_bridge3,12,immediate_skill,oracle_skill,32,-5375.0,-5656.25,-5093.75,0.3582089552238806,0.34657039711191334,0.37065637065637064,0.05078124999999994,0.048281249999999935,0.05328124999999994,32,0,0
