condition,variant,k,n,mean_capped_first90,ci_low,ci_high,median_capped_first90,solved,stable_solved,mean_capped_stable90,auc,final_success,final90,updates_per_step,state_accuracy,junction_state_accuracy,feature_states,true_states,next_goal_accuracy,next_goal_coverage,wrong_binding_rate,skill_target_success_rate,skill_other_progress_rate,both_branches_discovered,steps_until_both_success,prefix_until_both_success,frontier_until_both_success,best_single_branch_success,stochastic_final_success_e005,stochastic_final_success_e02
h20_bridge3,count_replay,8,32,100000.0,100000.0,100000.0,100000.0,0,0,100000.0,0.030078125,0.015625,0,6.0,0.75,0.5,8.0,12.0,,,,,,1,11033.0,8867.0,2166.0,0.03125,0.0778550629522557,0.18782463922331658
h20_bridge3,count_replay,12,32,100000.0,100000.0,100000.0,100000.0,0,0,100000.0,0.018046875000000004,0.015625,0,6.0,0.833333333333,0.5,12.0,16.0,,,,,,2,19437.0,15515.5,3921.5,0.03125,0.06794051881396006,0.12886935423423707
h20_bridge3,delayed_skill,8,32,18875.0,18593.75,19125.0,19000.0,32,32,18875.0,0.81625,1.0,32,6.0,1.0,1.0,15.0,12.0,1.0,1.0,0.0,0.9373434096138834,0.06252988756146109,32,18352.84375,14266.8125,4086.03125,1.0,,
h20_bridge3,delayed_skill,12,32,31531.25,31125.0,31937.5,32000.0,32,32,31531.25,0.6896875,1.0,32,6.0,1.0,1.0,23.0,16.0,1.0,1.0,0.0,0.9581508024629051,0.04170283637831836,32,31031.5,25229.3125,5802.1875,1.0,,
h20_bridge3,hand_replay,8,32,7750.0,7531.25,8000.0,8000.0,32,32,7750.0,0.9275,1.0,32,6.0,1.0,1.0,12.0,12.0,,,,,,32,6487.84375,3394.8125,3093.03125,1.0,,
h20_bridge3,hand_replay,12,32,11500.0,11187.5,11812.5,11000.0,32,32,11500.0,0.89,1.0,32,6.0,1.0,1.0,16.0,16.0,,,,,,32,9852.34375,5282.25,4570.09375,1.0,,
h20_bridge3,history_replay,8,32,10437.5,10218.75,10656.25,10000.0,32,32,10437.5,0.9051562500000001,1.0,32,6.0,1.0,1.0,15.0,12.0,,,,,,32,7970.625,4630.875,3339.75,1.0,,
h20_bridge3,history_replay,12,32,17656.25,17280.46875,18031.25,18000.0,32,32,17656.25,0.835,1.0,32,6.0,1.0,1.0,23.0,16.0,,,,,,32,14348.59375,9140.15625,5208.4375,1.0,,
h20_bridge3,history_skill,8,32,5937.5,5718.75,6156.25,6000.0,32,32,5937.5,0.9503124999999999,1.0,32,6.0,1.0,1.0,15.0,12.0,1.0,1.0,0.0,0.9364060553596689,0.06338632828720027,32,5367.03125,1871.875,3495.15625,1.0,,
h20_bridge3,history_skill,12,32,8375.0,8093.75,8656.25,8000.0,32,32,8375.0,0.925,1.0,32,6.0,1.0,1.0,23.0,16.0,1.0,1.0,0.0,0.9572664902919151,0.04258030282648013,32,7930.0625,2700.71875,5229.34375,1.0,,
h20_bridge3,immediate_skill,8,32,5937.5,5718.75,6156.25,6000.0,32,32,5937.5,0.9503124999999999,1.0,32,6.0,1.0,1.0,15.0,12.0,1.0,1.0,0.0,0.9364060553596689,0.06338632828720027,32,5367.03125,1871.875,3495.15625,1.0,,
h20_bridge3,immediate_skill,12,32,8375.0,8093.75,8656.25,8000.0,32,32,8375.0,0.925,1.0,32,6.0,1.0,1.0,23.0,16.0,1.0,1.0,0.0,0.9572664902919151,0.04258030282648013,32,7930.0625,2700.71875,5229.34375,1.0,,
h20_bridge3,last_event_replay,8,32,100000.0,100000.0,100000.0,100000.0,0,0,100000.0,0.040078125,0.015625,0,6.0,0.8125,0.5,10.0,12.0,,,,,,2,9764.5,7272.0,2492.5,0.03125,0.07382288875330564,0.147338243516124
h20_bridge3,last_event_replay,12,32,100000.0,100000.0,100000.0,100000.0,0,0,100000.0,0.017812500000000002,0.0,0,6.0,0.875,0.5,14.0,16.0,,,,,,3,25007.0,20843.666666666668,4163.333333333333,0.0,0.07400300681303613,0.16262388607051878
h20_bridge3,learned_replay,8,32,10437.5,10218.75,10656.25,10000.0,32,32,10437.5,0.9051562500000001,1.0,32,6.0,1.0,1.0,15.0,12.0,,,,,,32,7970.625,4630.875,3339.75,1.0,,
h20_bridge3,learned_replay,12,32,17656.25,17280.46875,18031.25,18000.0,32,32,17656.25,0.835,1.0,32,6.0,1.0,1.0,23.0,16.0,,,,,,32,14348.59375,9140.15625,5208.4375,1.0,,
h20_bridge3,oracle_skill,8,32,3000.0,3000.0,3000.0,3000.0,32,32,3000.0,0.97515625,1.0,32,6.0,1.0,1.0,12.0,12.0,1.0,1.0,0.0,0.9363240603459049,0.06268638569638593,32,1668.75,1668.75,0.0,1.0,,
h20_bridge3,oracle_skill,12,32,3000.0,3000.0,3000.0,3000.0,32,32,3000.0,0.97578125,1.0,32,6.0,1.0,1.0,16.0,16.0,1.0,1.0,0.0,0.9574479326267739,0.04181592118656903,32,1765.5,1765.5,0.0,1.0,,
