long_bridge: 20/576, elapsed 0.2s
long_bridge: 40/576, elapsed 0.4s
long_bridge: 60/576, elapsed 0.6s
long_bridge: 80/576, elapsed 0.8s
long_bridge: 100/576, elapsed 1.1s
long_bridge: 120/576, elapsed 1.4s
long_bridge: 140/576, elapsed 1.6s
long_bridge: 160/576, elapsed 1.8s
long_bridge: 180/576, elapsed 2.1s
long_bridge: 200/576, elapsed 2.3s
long_bridge: 220/576, elapsed 2.5s
long_bridge: 240/576, elapsed 2.9s
long_bridge: 260/576, elapsed 3.2s
long_bridge: 280/576, elapsed 3.4s
long_bridge: 300/576, elapsed 3.7s
long_bridge: 320/576, elapsed 4.0s
long_bridge: 340/576, elapsed 4.2s
long_bridge: 360/576, elapsed 4.5s
long_bridge: 380/576, elapsed 4.8s
long_bridge: 400/576, elapsed 5.1s
long_bridge: 420/576, elapsed 5.3s
long_bridge: 440/576, elapsed 5.5s
long_bridge: 460/576, elapsed 5.7s
long_bridge: 480/576, elapsed 6.0s
long_bridge: 500/576, elapsed 6.3s
long_bridge: 520/576, elapsed 6.5s
long_bridge: 540/576, elapsed 6.7s
long_bridge: 560/576, elapsed 6.8s
long_bridge: 576/576, elapsed 6.9s
