condition,variant,k,n,mean_capped_first90,ci_low,ci_high,median_capped_first90,solved,stable_solved,mean_capped_stable90,auc,final_success,final90,updates_per_step,state_accuracy,junction_state_accuracy,feature_states,true_states,next_goal_accuracy,next_goal_coverage,wrong_binding_rate,skill_target_success_rate,skill_other_progress_rate,both_branches_discovered,steps_until_both_success,prefix_until_both_success,frontier_until_both_success,best_single_branch_success,stochastic_final_success_e005,stochastic_final_success_e02
h16,immediate_e005,4,32,4062.5,3937.5,4187.5,4000.0,32,32,4062.5,0.965625,1.0,32,6.0,1.0,1.0,7.0,6.0,1.0,1.0,0.0,0.8734115405228369,0.1262341451795391,32,3587.5,1129.1875,2458.3125,1.0,,
h16,immediate_e005,8,32,6937.5,6718.75,7156.25,7000.0,32,32,6937.5,0.94015625,1.0,32,6.0,1.0,1.0,15.0,10.0,1.0,1.0,0.0,0.9360595518335659,0.06370782381656702,32,6429.0625,2671.8125,3757.25,1.0,,
h16,immediate_e005,12,32,10031.25,9656.25,10406.25,10000.0,32,32,10031.25,0.91171875,1.0,32,6.0,1.0,1.0,23.0,14.0,1.0,1.0,0.0,0.9569601048747616,0.04287050470979003,32,9483.0625,4146.75,5336.3125,1.0,,
h16,delayed_e005,4,32,7593.75,7375.0,7812.5,8000.0,32,32,7593.75,0.9290625,1.0,32,6.0,1.0,1.0,7.0,6.0,1.0,1.0,0.0,0.874896403764179,0.12500977322979442,32,7101.375,4431.59375,2669.78125,1.0,,
h16,delayed_e005,8,32,20750.0,20500.0,21000.0,21000.0,32,32,20750.0,0.7975,1.0,32,6.0,1.0,1.0,15.0,10.0,1.0,1.0,0.0,0.93736394386952,0.06251046585619076,32,20288.1875,15797.8125,4490.375,1.0,,
h16,delayed_e005,12,32,35812.5,35531.25,36125.0,36000.0,32,32,35812.5,0.646875,1.0,32,6.0,1.0,1.0,23.0,14.0,1.0,1.0,0.0,0.9581402358614973,0.04168752388487892,32,35329.625,29137.84375,6191.78125,1.0,,
h24,immediate_e005,4,32,3062.5,3000.0,3156.25,3000.0,32,32,3062.5,0.9746874999999999,1.0,32,6.0,1.0,1.0,7.0,6.0,1.0,1.0,0.0,0.8740825096308686,0.1256268590764449,32,2590.8125,759.65625,1831.15625,1.0,,
h24,immediate_e005,8,32,5125.0,4906.25,5343.75,5000.0,32,32,5125.0,0.9559374999999999,1.0,32,6.0,1.0,1.0,15.0,10.0,1.0,1.0,0.0,0.9366661592116917,0.06317122453498672,32,4720.84375,1395.5,3325.34375,1.0,,
h24,immediate_e005,12,32,7406.25,7187.5,7625.0,7000.0,32,32,7406.25,0.935,1.0,32,6.0,1.0,1.0,23.0,14.0,1.0,1.0,0.0,0.9575272721937335,0.04234801299968455,32,6926.6875,2029.25,4897.4375,1.0,,
h24,delayed_e005,4,32,6593.75,6406.25,6750.0,7000.0,32,32,6593.75,0.9390624999999999,1.0,32,6.0,1.0,1.0,7.0,6.0,1.0,1.0,0.0,0.8749032669460833,0.125006964779882,32,6145.03125,4153.46875,1991.5625,1.0,,
h24,delayed_e005,8,32,17656.25,17343.75,17968.75,18000.0,32,32,17656.25,0.8284374999999999,1.0,32,6.0,1.0,1.0,15.0,10.0,1.0,1.0,0.0,0.9373695702970776,0.06250956820214489,32,17166.09375,13457.75,3708.34375,1.0,,
h24,delayed_e005,12,32,29718.75,29437.5,29968.75,30000.0,32,32,29718.75,0.7078125,1.0,32,6.0,1.0,1.0,23.0,14.0,1.0,1.0,0.0,0.9581312052899328,0.04172119613882137,32,29246.75,23653.03125,5593.71875,1.0,,
