matched_epsilon: 20/384, elapsed 0.2s
matched_epsilon: 40/384, elapsed 0.4s
matched_epsilon: 60/384, elapsed 0.7s
matched_epsilon: 80/384, elapsed 1.0s
matched_epsilon: 100/384, elapsed 1.3s
matched_epsilon: 120/384, elapsed 1.4s
matched_epsilon: 140/384, elapsed 1.6s
matched_epsilon: 160/384, elapsed 1.9s
matched_epsilon: 180/384, elapsed 2.2s
matched_epsilon: 200/384, elapsed 2.5s
matched_epsilon: 220/384, elapsed 2.6s
matched_epsilon: 240/384, elapsed 2.9s
matched_epsilon: 260/384, elapsed 3.1s
matched_epsilon: 280/384, elapsed 3.4s
matched_epsilon: 300/384, elapsed 3.7s
matched_epsilon: 320/384, elapsed 3.8s
matched_epsilon: 340/384, elapsed 4.1s
matched_epsilon: 360/384, elapsed 4.3s
matched_epsilon: 380/384, elapsed 4.7s
matched_epsilon: 384/384, elapsed 4.7s
