condition,k,baseline,variant,n,cost_delta,delta_low,delta_high,cost_ratio,ratio_low,ratio_high,auc_delta,auc_delta_low,auc_delta_high,wins,ties,losses
h16,4,hand_replay,count_replay,32,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,32,0
h16,8,hand_replay,count_replay,32,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,32,0
h16,12,hand_replay,count_replay,32,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,32,0
h16,4,hand_replay,history_replay,32,1875.0,1718.75,2000.0,1.9090909090909092,1.7971014492753623,2.0,-0.015937500000000014,-0.017343750000000015,-0.014218750000000013,0,1,31
h16,8,hand_replay,history_replay,32,5687.5,5437.5,5937.5,1.9680851063829787,1.9025641025641025,2.0327868852459017,-0.05156249999999994,-0.05374999999999995,-0.04921874999999995,0,0,32
h16,12,hand_replay,history_replay,32,9343.75,8937.5,9750.0,1.8846153846153846,1.829479768786127,1.9397590361445782,-0.08625000000000002,-0.08953125000000002,-0.08281250000000002,0,0,32
h16,4,hand_replay,immediate_skill,32,2375.0,2218.75,2531.25,2.1515151515151514,2.044776119402985,2.25,-0.02125000000000002,-0.02296875000000002,-0.019531250000000017,0,0,32
h16,8,hand_replay,immediate_skill,32,1500.0,1187.5,1812.5,1.2553191489361701,1.2010309278350515,1.3118279569892473,-0.01015624999999996,-0.01296874999999996,-0.007187499999999982,0,4,28
h16,12,hand_replay,immediate_skill,32,-218.75,-656.25,218.75,0.9792899408284024,0.9387710347296814,1.021085929822007,0.009843750000000009,0.006093750000000005,0.013593750000000012,14,9,9
h16,4,hand_replay,last_event_replay,32,406.25,218.75,593.75,1.196969696969697,1.1029411764705883,1.2923076923076924,-0.004062500000000004,-0.005937500000000005,-0.002187500000000002,1,17,14
h16,8,hand_replay,last_event_replay,32,656.25,437.5,875.0,1.1117021276595744,1.074468085106383,1.148936170212766,-0.006562499999999954,-0.008749999999999935,-0.004374999999999973,0,13,19
h16,12,hand_replay,last_event_replay,32,625.0,250.0,968.75,1.0591715976331362,1.0231884057971015,1.094677722888732,-0.0062500000000000056,-0.009687500000000009,-0.0025000000000000022,5,10,17
h24,4,hand_replay,count_replay,32,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,32,0
h24,8,hand_replay,count_replay,32,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,32,0
h24,12,hand_replay,count_replay,32,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,32,0
h24,4,hand_replay,history_replay,32,1468.75,1281.25,1656.25,1.7230769230769232,1.6153846153846154,1.828125,-0.012500000000000011,-0.013906250000000012,-0.01109375000000001,0,1,31
h24,8,hand_replay,history_replay,32,4750.0,4375.0,5093.75,1.9212121212121211,1.8273809523809523,2.018633540372671,-0.04359374999999993,-0.04656249999999993,-0.04046874999999993,0,0,32
h24,12,hand_replay,history_replay,32,7656.25,7312.5,8031.25,1.8844765342960288,1.8251748251748252,1.9479553903345725,-0.07140625000000006,-0.07500000000000007,-0.06796875000000006,0,0,32
h24,4,hand_replay,immediate_skill,32,1093.75,937.5,1250.0,1.5384615384615385,1.453125,1.625,-0.010156250000000009,-0.01140625000000001,-0.008906250000000008,0,2,30
h24,8,hand_replay,immediate_skill,32,-31.25,-312.5,250.0,0.9939393939393939,0.9404761904761905,1.048780487804878,0.0029687500000000026,0.0004687500000000004,0.005625000000000005,9,14,9
h24,12,hand_replay,immediate_skill,32,-1406.25,-1750.0,-1031.25,0.8375451263537906,0.8006993006993007,0.8782287822878229,0.017499999999999974,0.013906249999999981,0.02093749999999996,24,7,1
h24,4,hand_replay,last_event_replay,32,437.5,250.0,625.0,1.2153846153846153,1.1194029850746268,1.3125,-0.004375000000000004,-0.0062500000000000056,-0.0025000000000000022,1,16,15
h24,8,hand_replay,last_event_replay,32,375.0,125.0,625.0,1.0727272727272728,1.0232558139534884,1.125,-0.0037500000000000033,-0.0062500000000000056,-0.0012500000000000011,4,13,15
h24,12,hand_replay,last_event_replay,32,437.5,125.0,750.0,1.0505415162454874,1.0142336134877967,1.0867924528301887,-0.004375000000000004,-0.007500000000000007,-0.0012500000000000011,5,11,16
