condition,k,baseline,variant,n,cost_delta,delta_low,delta_high,cost_ratio,ratio_low,ratio_high,auc_delta,auc_delta_low,auc_delta_high,wins,ties,losses
h16,4,history_replay,count_replay,32,-1875.0,-2000.0,-1718.75,0.5238095238095238,0.5,0.5564516129032258,0.015937500000000014,0.014218750000000013,0.017343750000000015,31,1,0
h16,8,history_replay,count_replay,32,-5687.5,-5937.5,-5437.5,0.5081081081081081,0.49193548387096775,0.5256064690026954,0.05156249999999994,0.04921874999999995,0.05374999999999995,32,0,0
h16,12,history_replay,count_replay,32,-9343.75,-9750.0,-8937.5,0.5306122448979592,0.515527950310559,0.5466034755134281,0.08625000000000002,0.08281250000000002,0.08953125000000002,32,0,0
h16,4,history_replay,hand_replay,32,-1875.0,-2000.0,-1718.75,0.5238095238095238,0.5,0.5564516129032258,0.015937500000000014,0.014218750000000013,0.017343750000000015,31,1,0
h16,8,history_replay,hand_replay,32,-5687.5,-5937.5,-5437.5,0.5081081081081081,0.49193548387096775,0.5256064690026954,0.05156249999999994,0.04921874999999995,0.05374999999999995,32,0,0
h16,12,history_replay,hand_replay,32,-9343.75,-9750.0,-8937.5,0.5306122448979592,0.515527950310559,0.5466034755134281,0.08625000000000002,0.08281250000000002,0.08953125000000002,32,0,0
h16,4,history_replay,immediate_skill,32,500.0,312.5,687.5,1.126984126984127,1.078740157480315,1.1788617886178863,-0.005312500000000005,-0.007187500000000006,-0.003437500000000003,0,17,15
h16,8,history_replay,immediate_skill,32,-4187.5,-4531.25,-3843.75,0.6378378378378379,0.6122994652406417,0.6639784946236559,0.041406249999999985,0.03749999999999999,0.04531249999999997,32,0,0
h16,12,history_replay,immediate_skill,32,-9562.5,-10031.25,-9062.5,0.5196232339089482,0.5015105729234605,0.5396825396825397,0.09609375000000003,0.09281250000000003,0.09921875000000004,32,0,0
h16,4,history_replay,last_event_replay,32,-1468.75,-1656.25,-1312.5,0.626984126984127,0.584,0.6693548387096774,0.01187500000000001,0.010308593750000013,0.013593750000000012,32,0,0
h16,8,history_replay,last_event_replay,32,-5031.25,-5281.25,-4750.0,0.5648648648648649,0.5456989247311828,0.5846994535519126,0.04499999999999999,0.04234375,0.04765625,32,0,0
h16,12,history_replay,last_event_replay,32,-8718.75,-9125.0,-8312.5,0.5620094191522763,0.5471406491499228,0.5766192733017378,0.08000000000000002,0.07703125000000002,0.08296875000000002,32,0,0
h24,4,history_replay,count_replay,32,-1468.75,-1656.25,-1281.25,0.5803571428571429,0.5470085470085471,0.6190476190476191,0.012500000000000011,0.01109375000000001,0.013906250000000012,31,1,0
h24,8,history_replay,count_replay,32,-4750.0,-5093.75,-4375.0,0.5205047318611987,0.49538461538461537,0.5472312703583062,0.04359374999999993,0.04046874999999993,0.04656249999999993,32,0,0
h24,12,history_replay,count_replay,32,-7656.25,-8031.25,-7312.5,0.5306513409961686,0.5133587786259542,0.5478927203065134,0.07140625000000006,0.06796875000000006,0.07500000000000007,32,0,0
h24,4,history_replay,hand_replay,32,-1468.75,-1656.25,-1281.25,0.5803571428571429,0.5470085470085471,0.6190476190476191,0.012500000000000011,0.01109375000000001,0.013906250000000012,31,1,0
h24,8,history_replay,hand_replay,32,-4750.0,-5093.75,-4375.0,0.5205047318611987,0.49538461538461537,0.5472312703583062,0.04359374999999993,0.04046874999999993,0.04656249999999993,32,0,0
h24,12,history_replay,hand_replay,32,-7656.25,-8031.25,-7312.5,0.5306513409961686,0.5133587786259542,0.5478927203065134,0.07140625000000006,0.06796875000000006,0.07500000000000007,32,0,0
h24,4,history_replay,immediate_skill,32,-375.0,-593.75,-156.25,0.8928571428571429,0.8347826086956521,0.9541284403669725,0.002343750000000002,0.0006250000000000006,0.0039062500000000035,15,14,3
h24,8,history_replay,immediate_skill,32,-4781.25,-5187.5,-4375.0,0.5173501577287066,0.4878048780487805,0.5477707006369427,0.04656249999999993,0.043281249999999924,0.04984374999999994,32,0,0
h24,12,history_replay,immediate_skill,32,-9062.5,-9437.5,-8718.75,0.4444444444444444,0.4291044776119403,0.4601941747572815,0.08890625000000005,0.08593750000000003,0.09203125000000004,32,0,0
h24,4,history_replay,last_event_replay,32,-1031.25,-1187.5,-875.0,0.7053571428571429,0.6637168141592921,0.7476635514018691,0.008125000000000007,0.006718750000000006,0.009531250000000008,29,3,0
h24,8,history_replay,last_event_replay,32,-4375.0,-4687.5,-4062.5,0.5583596214511041,0.5358255451713395,0.5806451612903226,0.03984374999999993,0.03718749999999992,0.04234374999999993,32,0,0
h24,12,history_replay,last_event_replay,32,-7218.75,-7593.75,-6843.75,0.5574712643678161,0.5400763358778626,0.5747137596250418,0.06703125000000007,0.06343750000000006,0.07062500000000006,32,0,0
