condition,k,baseline,variant,n,cost_delta,delta_low,delta_high,cost_ratio,ratio_low,ratio_high,auc_delta,auc_delta_low,auc_delta_high,wins,ties,losses
h16,4,immediate_skill,count_replay,32,-2375.0,-2531.25,-2218.75,0.4647887323943662,0.4444444444444444,0.48905109489051096,0.02125000000000002,0.019531250000000017,0.02296875000000002,32,0,0
h16,8,immediate_skill,count_replay,32,-1500.0,-1812.5,-1187.5,0.7966101694915254,0.7622950819672131,0.8326180257510729,0.01015624999999996,0.007187499999999982,0.01296874999999996,28,4,0
h16,12,immediate_skill,count_replay,32,218.75,-218.75,656.25,1.0211480362537764,0.9793495051578782,1.0652224705404307,-0.009843750000000009,-0.013593750000000012,-0.006093750000000005,9,9,14
h16,4,immediate_skill,hand_replay,32,-2375.0,-2531.25,-2218.75,0.4647887323943662,0.4444444444444444,0.48905109489051096,0.02125000000000002,0.019531250000000017,0.02296875000000002,32,0,0
h16,8,immediate_skill,hand_replay,32,-1500.0,-1812.5,-1187.5,0.7966101694915254,0.7622950819672131,0.8326180257510729,0.01015624999999996,0.007187499999999982,0.01296874999999996,28,4,0
h16,12,immediate_skill,hand_replay,32,218.75,-218.75,656.25,1.0211480362537764,0.9793495051578782,1.0652224705404307,-0.009843750000000009,-0.013593750000000012,-0.006093750000000005,9,9,14
h16,4,immediate_skill,history_replay,32,-500.0,-687.5,-312.5,0.8873239436619719,0.8482758620689655,0.927007299270073,0.005312500000000005,0.003437500000000003,0.007187500000000006,15,17,0
h16,8,immediate_skill,history_replay,32,4187.5,3843.75,4531.25,1.5677966101694916,1.5060728744939271,1.6331877729257642,-0.041406249999999985,-0.04531249999999997,-0.03749999999999999,0,0,32
h16,12,immediate_skill,history_replay,32,9562.5,9062.5,10031.25,1.9244712990936557,1.8529411764705883,1.9939760136954672,-0.09609375000000003,-0.09921875000000004,-0.09281250000000003,0,0,32
h16,4,immediate_skill,last_event_replay,32,-1968.75,-2218.75,-1718.75,0.5563380281690141,0.5104895104895105,0.6014492753623188,0.017187500000000015,0.014843750000000013,0.019531250000000017,32,0,0
h16,8,immediate_skill,last_event_replay,32,-843.75,-1125.0,-531.25,0.885593220338983,0.8493723849372385,0.9257722612492879,0.0035937500000000067,0.00031250000000002456,0.0067187500000000025,23,6,3
h16,12,immediate_skill,last_event_replay,32,843.75,437.5,1218.75,1.081570996978852,1.0411764705882354,1.1222570532915361,-0.016093750000000014,-0.019062500000000017,-0.013125000000000012,4,6,22
h24,4,immediate_skill,count_replay,32,-1093.75,-1250.0,-937.5,0.65,0.6153846153846154,0.6881720430107527,0.010156250000000009,0.008906250000000008,0.01140625000000001,30,2,0
h24,8,immediate_skill,count_replay,32,31.25,-250.0,312.5,1.0060975609756098,0.9534883720930233,1.0632911392405062,-0.0029687500000000026,-0.005625000000000005,-0.0004687500000000004,9,14,9
h24,12,immediate_skill,count_replay,32,1406.25,1031.25,1750.0,1.1939655172413792,1.138655462184874,1.2489082969432315,-0.017499999999999974,-0.02093749999999996,-0.013906249999999981,1,7,24
h24,4,immediate_skill,hand_replay,32,-1093.75,-1250.0,-937.5,0.65,0.6153846153846154,0.6881720430107527,0.010156250000000009,0.008906250000000008,0.01140625000000001,30,2,0
h24,8,immediate_skill,hand_replay,32,31.25,-250.0,312.5,1.0060975609756098,0.9534883720930233,1.0632911392405062,-0.0029687500000000026,-0.005625000000000005,-0.0004687500000000004,9,14,9
h24,12,immediate_skill,hand_replay,32,1406.25,1031.25,1750.0,1.1939655172413792,1.138655462184874,1.2489082969432315,-0.017499999999999974,-0.02093749999999996,-0.013906249999999981,1,7,24
h24,4,immediate_skill,history_replay,32,375.0,156.25,593.75,1.12,1.0480769230769231,1.1979166666666667,-0.002343750000000002,-0.0039062500000000035,-0.0006250000000000006,3,14,15
h24,8,immediate_skill,history_replay,32,4781.25,4375.0,5187.5,1.9329268292682926,1.8255813953488371,2.05,-0.04656249999999993,-0.04984374999999994,-0.043281249999999924,0,0,32
h24,12,immediate_skill,history_replay,32,9062.5,8718.75,9437.5,2.25,2.172995780590717,2.3304347826086955,-0.08890625000000005,-0.09203125000000004,-0.08593750000000003,0,0,32
h24,4,immediate_skill,last_event_replay,32,-656.25,-875.0,-437.5,0.79,0.7254901960784313,0.8571428571428571,0.005781250000000005,0.0037500000000000033,0.007968750000000007,18,14,0
h24,8,immediate_skill,last_event_replay,32,406.25,93.75,718.75,1.079268292682927,1.0179640718562875,1.14375,-0.006718750000000006,-0.009375000000000008,-0.004062500000000004,4,15,13
h24,12,immediate_skill,last_event_replay,32,1843.75,1531.25,2156.25,1.2543103448275863,1.2067510548523206,1.3022222222222222,-0.021874999999999978,-0.024687499999999977,-0.018902343750000026,0,2,30
