condition,variant,k,n,mean_capped_first90,ci_low,ci_high,median_capped_first90,solved,stable_solved,mean_capped_stable90,auc,final_success,final90,updates_per_step,state_accuracy,junction_state_accuracy,feature_states,true_states,next_goal_accuracy,next_goal_coverage,wrong_binding_rate,skill_target_success_rate,skill_other_progress_rate,both_branches_discovered,steps_until_both_success,prefix_until_both_success,frontier_until_both_success,best_single_branch_success,stochastic_final_success_e005,stochastic_final_success_e02
h16,count_replay,4,32,2062.5,2000.0,2156.25,2000.0,32,32,2062.5,0.984375,1.0,32,6.0,1.0,1.0,4.0,4.0,,,,,,32,1436.59375,486.4375,950.15625,1.0,0.9999957314795624,0.9988249846963437
h16,count_replay,8,32,5875.0,5687.5,6062.5,6000.0,32,32,5875.0,0.9462499999999999,1.0,32,6.0,1.0,1.0,8.0,8.0,,,,,,32,4866.34375,2336.15625,2530.1875,1.0,0.9999959204357187,0.9966550680349999
h16,count_replay,12,32,10562.5,10281.25,10843.75,10500.0,32,32,10562.5,0.899375,1.0,32,6.0,1.0,1.0,12.0,12.0,,,,,,32,8901.53125,4916.03125,3985.5,1.0,0.999730619269,0.9945793637437188
h16,hand_replay,4,32,2062.5,2000.0,2156.25,2000.0,32,32,2062.5,0.984375,1.0,32,6.0,1.0,1.0,4.0,4.0,,,,,,32,1436.59375,486.4375,950.15625,1.0,,
h16,hand_replay,8,32,5875.0,5687.5,6062.5,6000.0,32,32,5875.0,0.9462499999999999,1.0,32,6.0,1.0,1.0,8.0,8.0,,,,,,32,4866.34375,2336.15625,2530.1875,1.0,,
h16,hand_replay,12,32,10562.5,10281.25,10843.75,10500.0,32,32,10562.5,0.899375,1.0,32,6.0,1.0,1.0,12.0,12.0,,,,,,32,8901.53125,4916.03125,3985.5,1.0,,
h16,history_replay,4,32,3937.5,3843.75,4000.0,4000.0,32,32,3937.5,0.9684375,1.0,32,6.0,1.0,1.0,7.0,4.0,,,,,,32,2708.34375,1191.46875,1516.875,1.0,,
h16,history_replay,8,32,11562.5,11343.75,11781.25,12000.0,32,32,11562.5,0.8946875,1.0,32,6.0,1.0,1.0,15.0,8.0,,,,,,32,8986.6875,5524.40625,3462.28125,1.0,,
h16,history_replay,12,32,19906.25,19562.5,20250.0,20000.0,32,32,19906.25,0.8131250000000001,1.0,32,6.0,1.0,1.0,23.0,12.0,,,,,,32,16673.625,11382.8125,5290.8125,1.0,,
h16,immediate_skill,4,32,4437.5,4281.25,4593.75,4000.0,32,32,4437.5,0.963125,1.0,32,6.0,1.0,1.0,7.0,4.0,1.0,1.0,0.0,0.8732697678081404,0.12631527935109857,32,3921.8125,1339.46875,2582.34375,1.0,,
h16,immediate_skill,8,32,7375.0,7125.0,7625.0,7000.0,32,32,7375.0,0.9360937500000001,1.0,32,6.0,1.0,1.0,15.0,8.0,1.0,1.0,0.0,0.9359979092132356,0.06375486937880323,32,6855.40625,2961.3125,3894.09375,1.0,,
