same_map_control: 20/960, elapsed 0.2s
same_map_control: 40/960, elapsed 0.3s
same_map_control: 60/960, elapsed 0.5s
same_map_control: 80/960, elapsed 0.7s
same_map_control: 100/960, elapsed 0.9s
same_map_control: 120/960, elapsed 1.0s
same_map_control: 140/960, elapsed 1.2s
same_map_control: 160/960, elapsed 1.4s
same_map_control: 180/960, elapsed 1.6s
same_map_control: 200/960, elapsed 1.9s
same_map_control: 220/960, elapsed 2.1s
same_map_control: 240/960, elapsed 2.4s
same_map_control: 260/960, elapsed 2.7s
same_map_control: 280/960, elapsed 3.0s
same_map_control: 300/960, elapsed 3.2s
same_map_control: 320/960, elapsed 3.4s
same_map_control: 340/960, elapsed 3.7s
same_map_control: 360/960, elapsed 3.9s
same_map_control: 380/960, elapsed 4.3s
same_map_control: 400/960, elapsed 4.5s
same_map_control: 420/960, elapsed 4.6s
same_map_control: 440/960, elapsed 4.8s
same_map_control: 460/960, elapsed 5.1s
same_map_control: 480/960, elapsed 5.3s
same_map_control: 500/960, elapsed 5.4s
same_map_control: 520/960, elapsed 5.6s
same_map_control: 540/960, elapsed 5.8s
same_map_control: 560/960, elapsed 5.9s
same_map_control: 580/960, elapsed 6.1s
same_map_control: 600/960, elapsed 6.3s
same_map_control: 620/960, elapsed 6.4s
same_map_control: 640/960, elapsed 6.6s
same_map_control: 660/960, elapsed 6.8s
same_map_control: 680/960, elapsed 7.0s
same_map_control: 700/960, elapsed 7.2s
same_map_control: 720/960, elapsed 7.5s
same_map_control: 740/960, elapsed 7.7s
same_map_control: 760/960, elapsed 8.1s
same_map_control: 780/960, elapsed 8.3s
same_map_control: 800/960, elapsed 8.5s
same_map_control: 820/960, elapsed 8.7s
same_map_control: 840/960, elapsed 9.0s
same_map_control: 860/960, elapsed 9.3s
same_map_control: 880/960, elapsed 9.5s
same_map_control: 900/960, elapsed 9.7s
same_map_control: 920/960, elapsed 9.9s
same_map_control: 940/960, elapsed 10.1s
same_map_control: 960/960, elapsed 10.4s
