dataset,condition,k,n,hand_skill,immediate_skill,ratio,ratio_lo,ratio_hi,hand_auc,hand_final
heldout,h16,4,32,3718.75,4250.0,0.875,0.8321665560716656,0.9242424242424242,0.9678125,1.0
heldout,h16,8,32,4687.5,7375.0,0.635593220338983,0.6008399038627796,0.6723404255319149,0.958125,1.0
heldout,h16,12,32,5843.75,10343.75,0.5649546827794562,0.5402985074626866,0.5913312693498453,0.9465625,1.0
heldout,h24,4,32,3031.25,3125.0,0.97,0.9339622641509434,1.0,0.97484375,1.0
heldout,h24,8,32,3718.75,5343.75,0.695906432748538,0.6588235294117647,0.7365269461077845,0.9678125,1.0
heldout,h24,12,32,4406.25,7375.0,0.597457627118644,0.5650406504065041,0.631578947368421,0.9609375,1.0
same_map_control,h16,4,32,3031.25,4437.5,0.6830985915492958,0.6575342465753424,0.7101449275362319,0.9746874999999999,1.0
same_map_control,h16,8,32,4218.75,7375.0,0.5720338983050848,0.5330578512396694,0.6163793103448276,0.9628125,1.0
same_map_control,h16,12,32,5562.5,10343.75,0.5377643504531722,0.5073746312684366,0.5683229813664596,0.949375,1.0
same_map_control,h24,4,32,2468.75,3125.0,0.79,0.7211538461538461,0.8585858585858586,0.98046875,1.0
same_map_control,h24,8,32,3343.75,5125.0,0.6524390243902439,0.6047904191616766,0.7070063694267515,0.9715624999999999,1.0
same_map_control,h24,12,32,4375.0,7250.0,0.603448275862069,0.5785061085159899,0.6304347826086957,0.9612499999999999,1.0
