gamma,reward_ratio,method,k,budget,n,auc,final_success,solved,mean_capped_first90,shortest_length,terminal_reward,optimal_discounted_return,zero_above_optimal_return
0.98,0.5,history_replay,4,50000,12,0.7875000000000001,1.0,12,11333.333333333334,37,0.185,-0.16899900717908406,True
0.98,0.5,history_replay,4,100000,12,0.8937499999999999,1.0,12,11333.333333333334,37,0.185,-0.16899900717908406,True
0.98,0.5,history_replay,4,200000,12,0.9468749999999999,1.0,12,11333.333333333334,37,0.185,-0.16899900717908406,True
0.98,0.5,history_replay,12,50000,12,0.0,0.0,0,50000.0,133,0.665,-0.4190591209350639,True
0.98,0.5,history_replay,12,100000,12,0.0,0.0,0,100000.0,133,0.665,-0.4190591209350639,True
0.98,0.5,history_replay,12,200000,12,0.01875,0.6666666666666666,6,197666.66666666666,133,0.665,-0.4190591209350639,True
0.98,0.5,hand_replay,4,50000,12,0.8008333333333333,1.0,12,10583.333333333334,37,0.185,-0.16899900717908406,True
0.98,0.5,hand_replay,4,100000,12,0.9004166666666666,1.0,12,10583.333333333334,37,0.185,-0.16899900717908406,True
0.98,0.5,hand_replay,4,200000,12,0.9502083333333332,1.0,12,10583.333333333334,37,0.185,-0.16899900717908406,True
0.98,0.5,hand_replay,12,50000,12,0.0,0.0,0,50000.0,133,0.665,-0.4190591209350639,True
0.98,0.5,hand_replay,12,100000,12,0.0,0.0,0,100000.0,133,0.665,-0.4190591209350639,True
0.98,0.5,hand_replay,12,200000,12,0.3925,1.0,12,122250.0,133,0.665,-0.4190591209350639,True
0.98,0.5,immediate_skill,4,50000,12,0.9474999999999998,1.0,12,3250.0,37,0.185,-0.16899900717908406,True
0.98,0.5,immediate_skill,4,100000,12,0.9737499999999999,1.0,12,3250.0,37,0.185,-0.16899900717908406,True
0.98,0.5,immediate_skill,4,200000,12,0.9868750000000001,1.0,12,3250.0,37,0.185,-0.16899900717908406,True
0.98,0.5,immediate_skill,12,50000,12,0.8716666666666667,1.0,12,7333.333333333333,133,0.665,-0.4190591209350639,True
0.98,0.5,immediate_skill,12,100000,12,0.9358333333333334,1.0,12,7333.333333333333,133,0.665,-0.4190591209350639,True
0.98,0.5,immediate_skill,12,200000,12,0.9679166666666666,1.0,12,7333.333333333333,133,0.665,-0.4190591209350639,True
0.98,2,history_replay,4,50000,12,0.8000000000000003,1.0,12,10750.0,37,0.74,0.09918427897508858,False
0.98,2,history_replay,4,100000,12,0.9,1.0,12,10750.0,37,0.74,0.09918427897508858,False
0.98,2,history_replay,4,200000,12,0.9499999999999998,1.0,12,10750.0,37,0.74,0.09918427897508858,False
0.98,2,history_replay,12,50000,12,0.0,0.0,0,50000.0,133,2.66,-0.2804522078581998,True
0.98,2,history_replay,12,100000,12,0.0,0.0,0,100000.0,133,2.66,-0.2804522078581998,True
0.98,2,history_replay,12,200000,12,0.0334375,0.875,9,196250.0,133,2.66,-0.2804522078581998,True
0.98,2,hand_replay,4,50000,12,0.8150000000000001,1.0,12,9833.333333333334,37,0.74,0.09918427897508858,False
0.98,2,hand_replay,4,100000,12,0.9074999999999999,1.0,12,9833.333333333334,37,0.74,0.09918427897508858,False
0.98,2,hand_replay,4,200000,12,0.95375,1.0,12,9833.333333333334,37,0.74,0.09918427897508858,False
0.98,2,hand_replay,12,50000,12,0.0,0.0,0,50000.0,133,2.66,-0.2804522078581998,True
0.98,2,hand_replay,12,100000,12,0.0,0.0,0,100000.0,133,2.66,-0.2804522078581998,True
