mode,workers,risk,arm,seed,seconds,device
CUDA,4,lava,Y10,0,237.5,cuda
CUDA,4,lava,Y11,0,249.9,cuda
CUDA,4,safe,Y10,0,1359.5,cuda
CUDA,4,safe,Y11,0,1347.0,cuda
CPU,4,lava,Y10,0,277.0,cpu
CPU,4,lava,Y11,0,294.8,cpu
CPU,4,safe,Y10,0,2678.8,cpu
CPU,4,safe,Y11,0,2744.1,cpu
MPS,4,lava,Y10,0,110.6,cuda
MPS,4,lava,Y11,0,118.2,cuda
MPS,4,safe,Y10,0,928.9,cuda
MPS,4,safe,Y11,0,901.1,cuda
MPS,8,lava,Y10,0,145.0,cuda
MPS,8,lava,Y10,1,166.7,cuda
MPS,8,lava,Y11,0,162.7,cuda
MPS,8,lava,Y11,1,170.1,cuda
MPS,8,safe,Y10,0,1062.5,cuda
MPS,8,safe,Y10,1,1068.4,cuda
MPS,8,safe,Y11,0,1050.8,cuda
MPS,8,safe,Y11,1,1057.6,cuda
MPS,12,lava,Y10,0,164.2,cuda
MPS,12,lava,Y10,1,182.6,cuda
MPS,12,lava,Y10,2,168.2,cuda
MPS,12,lava,Y11,0,181.1,cuda
MPS,12,lava,Y11,1,170.4,cuda
MPS,12,lava,Y11,2,175.7,cuda
MPS,12,safe,Y10,0,1070.6,cuda
MPS,12,safe,Y10,1,1067.1,cuda
MPS,12,safe,Y10,2,1071.3,cuda
MPS,12,safe,Y11,0,1066.1,cuda
MPS,12,safe,Y11,1,1044.5,cuda
MPS,12,safe,Y11,2,1064.8,cuda
